"pid","countries","x","modalities","modalities2"
"32272344","[""Canada"", ""China""]","[""Cardiovascular magnetic resonance (CMR) images""], [""MRI"", ""Computer Vision""]","[""Cardiovascular magnetic resonance (CMR) images""]","[""MRI"", ""Computer Vision""]"
"32329723","[""Australia"", ""Canada"", ""China"", ""Finland"", ""Hong Kong"", ""Netherlands"", ""New Zealand"", ""Singapore"", ""Sweden"", ""United Kingdom"", ""United States""]",NULL,NULL,NULL
"32424317","[""Canada"", ""China"", ""Singapore"", ""United Kingdom""]","[""structural and functional network profiling"", ""biophysical simulations""], [""structural and functional network profiling"", ""biophysical simulations""]","[""structural and functional network profiling"", ""biophysical simulations""]","[""structural and functional network profiling"", ""biophysical simulations""]"
"32444812","[""Canada"", ""China"", ""France"", ""United States""]",NULL,NULL,"[""Text""]"
"32434127","[""Canada"", ""China"", ""France""]","[""CT"", ""angiography""], [""CT Scan"", ""MRI""]","[""CT"", ""angiography""]","[""CT Scan"", ""MRI""]"
"32445550","[""Canada"", ""China""]","[""Epidemiological data"", ""Clinical symptoms"", ""CT nodule-based radiomic features"", ""Tumor biomarkers""], [""epidemiological data"", ""clinical symptoms"", ""tumor biomarkers"", ""CT nodule-based radiomic features""]","[""Epidemiological data"", ""Clinical symptoms"", ""CT nodule-based radiomic features"", ""Tumor biomarkers""]","[""epidemiological data"", ""clinical symptoms"", ""tumor biomarkers"", ""CT nodule-based radiomic features""]"
"32452574","[""Canada"", ""China""]","[""Functional MRI"", ""Magnetic resonance imaging"", ""White matter""], [""magnetic resonance imaging"", ""fMRI""]","[""Functional MRI"", ""Magnetic resonance imaging"", ""White matter""]","[""magnetic resonance imaging"", ""fMRI""]"
"32473385","[""Canada"", ""China"", ""United States""]","[""miRNA""], [""miRNA""]","[""miRNA""]","[""miRNA""]"
"32500070","[""Canada"", ""China"", ""Hong Kong"", ""United Kingdom""]","[""ECG""], [""ECG"", ""electrophysiology""]","[""ECG""]","[""ECG"", ""electrophysiology""]"
"32535888","[""Canada"", ""China"", ""Hong Kong"", ""United Kingdom"", ""United States""]","[""Laboratory data"", ""Echocardiographic assessment"", ""Electrocardiographic P-wave indices""], {""Modality"": [{""Name"": ""electrocardiographic P-wave indices""}, {""Name"": ""echocardiographic assessment""}, {""Name"": ""neutrophil-to-lymphocyte ratio (NLR)""}, {""Name"": ""prognostic nutritional index (PNI)""}]}","[""Laboratory data"", ""Echocardiographic assessment"", ""Electrocardiographic P-wave indices""]","{""Modality"": [{""Name"": ""electrocardiographic P-wave indices""}, {""Name"": ""echocardiographic assessment""}, {""Name"": ""neutrophil-to-lymphocyte ratio (NLR)""}, {""Name"": ""prognostic nutritional index (PNI)""}]}"
"32554169","[""Canada"", ""China"", ""United States""]","[""CT""], [""Computed Tomography""]","[""CT""]","[""Computed Tomography""]"
"32582542","[""Canada"", ""China"", ""Pakistan""]","[""Serum Tumor Markers""], [{""Text"": ""Serum tumor markers"", ""Label"": """", ""NlmCategory"": """"}]","[""Serum Tumor Markers""]","[{""Text"": ""Serum tumor markers"", ""Label"": """", ""NlmCategory"": """"}]"
"32592462","[""Australia"", ""Canada"", ""China"", ""United States""]",NULL,"[""3D genome"", ""DNA loci""]",NULL
"32597194","[""Canada"", ""China""]","[""RNA""], [""RNA"", ""miRNA"", ""mRNA""]","[""RNA""]","[""RNA"", ""miRNA"", ""mRNA""]"
"32637418","[""Canada"", ""China""]",NULL,NULL,NULL
"32686118","[""Canada"", ""China"", ""Hong Kong"", ""United Kingdom"", ""United States""]","[""Imaging"", ""Pathology""], [""Image""]","[""Imaging"", ""Pathology""]","[""Image""]"
"32770817","[""Canada"", ""China""]","[""Age"", ""General adiposity (BMI)"", ""Visceral adiposity (Waist-to-Height Ratio, a Body Shape Index)"", ""Vital signs (systolic blood pressure, diastolic blood pressure, pulse)""], [""vital signs"", ""adiposity indexes""]","[""Age"", ""General adiposity (BMI)"", ""Visceral adiposity (Waist-to-Height Ratio, a Body Shape Index)"", ""Vital signs (systolic blood pressure, diastolic blood pressure, pulse)""]","[""vital signs"", ""adiposity indexes""]"
"32834174","[""Canada"", ""China"", ""India"", ""Taiwan""]",NULL,NULL,"[""Text""]"
"32845061","[""Canada"", ""China"", ""Hong Kong"", ""United States""]","[""Biological"", ""Clinical""], [""text""]","[""Biological"", ""Clinical""]","[""text""]"
"32887670","[""Canada"", ""China"", ""Japan"", ""Sweden""]",NULL,NULL,"[]"
"32955669","[""Canada"", ""China"", ""United States""]","[""PET""], [""image""]","[""PET""]","[""image""]"
"33005028","[""Canada"", ""China"", ""United States""]","[""Brain imaging""], [{""images"": []}, {""text"": []}]","[""Brain imaging""]","[{""images"": []}, {""text"": []}]"
"33032774","[""Canada"", ""China""]",NULL,NULL,NULL
"33033241","[""Australia"", ""Brazil"", ""Canada"", ""China"", ""Germany"", ""India"", ""Italy"", ""Japan"", ""Korea, Republic of"", ""Netherlands"", ""Norway"", ""Portugal"", ""South Africa"", ""Spain"", ""Sweden"", ""Switzerland"", ""United Kingdom"", ""United States""]","[""Structural neuroimaging""], [{""count"": 2, ""modality"": ""image""}, {""count"": 3, ""modality"": ""text""}]","[""Structural neuroimaging""]","[{""count"": 2, ""modality"": ""image""}, {""count"": 3, ""modality"": ""text""}]"
"33094925","[""Canada"", ""China"", ""Hong Kong"", ""United Kingdom""]","[""Electrocardiography"", ""Echocardiography"", ""Blood inflammatory marker""], [""atrial and ventricular measurements from electrocardiography"", ""echocardiography"", ""blood inflammatory marker [neutrophil-to-lymphocyte ratio (NLR)]"", ""prognostic nutritional index (PNI)""]","[""Electrocardiography"", ""Echocardiography"", ""Blood inflammatory marker""]","[""atrial and ventricular measurements from electrocardiography"", ""echocardiography"", ""blood inflammatory marker [neutrophil-to-lymphocyte ratio (NLR)]"", ""prognostic nutritional index (PNI)""]"
"33166800","[""Canada"", ""China""]","[""Brain networks""], [{""Modality"": ""Image""}]","[""Brain networks""]","[{""Modality"": ""Image""}]"
"33202340","[""Canada"", ""China""]","[""Structural T1-weighted MRI scan""], [""MRI""]","[""Structural T1-weighted MRI scan""]","[""MRI""]"
"33240071","[""Canada"", ""China"", ""Japan"", ""Netherlands"", ""Singapore""]","[""Medical Imaging""], [""Medical Images""]","[""Medical Imaging""]","[""Medical Images""]"
"33242116","[""Canada"", ""China"", ""India"", ""United States""]","[""fMRI""], [""static"", ""dynamic""]","[""fMRI""]","[""static"", ""dynamic""]"
"33294774","[""Canada"", ""China"", ""United States""]",NULL,NULL,"[""X-rays"", ""CT scans""]"
"33359305","[""Canada"", ""China""]","[""Spectroscopy""], [""Spectra"", ""Images""]","[""Spectroscopy""]","[""Spectra"", ""Images""]"
"33408329","[""Canada"", ""China""]","[""Functional MRI""], [""medical imaging"", ""neurocognitive information""]","[""Functional MRI""]","[""medical imaging"", ""neurocognitive information""]"
"33445089","[""Canada"", ""China"", ""United Kingdom"", ""United States""]","[""Visual processing"", ""Spatial memory"", ""Attention"", ""Executive function""], [""Cognitive"", ""Visual""]","[""Visual processing"", ""Spatial memory"", ""Attention"", ""Executive function""]","[""Cognitive"", ""Visual""]"
"33446647","[""Canada"", ""China""]","[""3 T imaging""], [""brain structural"", ""clinical""]","[""3 T imaging""]","[""brain structural"", ""clinical""]"
"33581336","[""Canada"", ""China""]","[""Whole-exome Sequencing Data""], [""Genomics"", ""Oncology""]","[""Whole-exome Sequencing Data""]","[""Genomics"", ""Oncology""]"
"33634751","[""Argentina"", ""Australia"", ""Austria"", ""Bangladesh"", ""Belgium"", ""Brazil"", ""Bulgaria"", ""Canada"", ""Chile"", ""China"", ""Croatia"", ""Cyprus"", ""Czechia"", ""Denmark"", ""Egypt"", ""Estonia"", ""Finland"", ""France"", ""Georgia"", ""Germany"", ""Greece"", ""Hong Kong"", ""Hungary"", ""Iceland"", ""India"", ""Indonesia"", ""Iran"", ""Iraq"", ""Ireland"", ""Israel"", ""Italy"", ""Jamaica"", ""Japan"", ""Jersey"", ""Korea, Republic of"", ""Luxembourg"", ""Macao"", ""Malaysia"", ""Malta"", ""Mexico"", ""Netherlands"", ""New Zealand"", ""Norway"", ""Palestinian Territory"", ""Poland"", ""Portugal"", ""Romania"", ""Russia"", ""Serbia"", ""Singapore"", ""Slovakia"", ""Slovenia"", ""South Africa"", ""South Korea"", ""Spain"", ""Sweden"", ""Switzerland"", ""Taiwan"", ""Thailand"", ""Tunisia"", ""Turkey"", ""United Arab Emirates"", ""United Kingdom"", ""United States"", ""Uruguay"", ""Venezuela""]",NULL,NULL,"[{""count"": 2, ""value"": ""Image""}, {""count"": 1, ""value"": ""Text""}, {""count"": 0, ""value"": ""Audio""}, {""count"": 0, ""value"": ""Video""}]"
"33639645","[""Canada"", ""China""]","[""Height"", ""Weight"", ""Body Mass Index"", ""Age"", ""Gender"", ""Systolic blood pressure"", ""Diastolic blood pressure"", ""Mean arterial pressure"", ""Pulse pressure"", ""Pulse""], [""Physiological signals"", ""Demographics""]","[""Height"", ""Weight"", ""Body Mass Index"", ""Age"", ""Gender"", ""Systolic blood pressure"", ""Diastolic blood pressure"", ""Mean arterial pressure"", ""Pulse pressure"", ""Pulse""]","[""Physiological signals"", ""Demographics""]"
"33726819","[""Australia"", ""Belgium"", ""Brazil"", ""Canada"", ""Chile"", ""China"", ""France"", ""Germany"", ""India"", ""Israel"", ""Italy"", ""Netherlands"", ""Saudi Arabia"", ""Singapore"", ""South Africa"", ""Spain"", ""Switzerland"", ""Thailand"", ""United Arab Emirates"", ""United Kingdom"", ""United States""]",NULL,NULL,"[""Text"", ""Image""]"
"33739635","[""Canada"", ""China"", ""United States""]","[""Computed Tomography""], [""Image""]","[""Computed Tomography""]","[""Image""]"
"33750311","[""Canada"", ""China""]","[""Height"", ""Weight"", ""Calculated Body Mass Index"", ""Age"", ""Race/Ethnicity"", ""Sex""], [""Height"", ""Weight"", ""Age"", ""Sex""]","[""Height"", ""Weight"", ""Calculated Body Mass Index"", ""Age"", ""Race/Ethnicity"", ""Sex""]","[""Height"", ""Weight"", ""Age"", ""Sex""]"
"33753312","[""Australia"", ""Canada"", ""China"", ""Finland"", ""France"", ""Germany"", ""United Kingdom"", ""United States""]",NULL,NULL,"[]"
"33780034","[""Canada"", ""China""]","[""Peptide plane""], [""Computer Science"", ""Biochemistry Molecular Biology""]","[""Peptide plane""]","[""Computer Science"", ""Biochemistry Molecular Biology""]"
"33789178","[""Canada"", ""China""]","[""Ultrasound""], [""Ultrasound images""]","[""Ultrasound""]","[""Ultrasound images""]"
"33824317","[""Canada"", ""China"", ""Hong Kong"", ""United Kingdom""]","[], {""genomics"": true}","[]","{""genomics"": true}"
"33856350","[""Canada"", ""China"", ""United States""]","[""Vital signs"", ""Electronic health records""], [""heart rate"", ""respiratory rate"", ""blood oxygen saturation (SpO2)"", ""age"", ""gender"", ""admission type"", ""first care unit"", ""cardiovascular disease history""]","[""Vital signs"", ""Electronic health records""]","[""heart rate"", ""respiratory rate"", ""blood oxygen saturation (SpO2)"", ""age"", ""gender"", ""admission type"", ""first care unit"", ""cardiovascular disease history""]"
"33891933","[""Canada"", ""China""]","[""Clinical""], [""Text""]","[""Clinical""]","[""Text""]"
"33937724","[""Canada"", ""China"", ""United States""]",NULL,NULL,"[""Text"", ""Image""]"
"33962603","[""Argentina"", ""Australia"", ""Austria"", ""Brazil"", ""Canada"", ""China"", ""Colombia"", ""Ecuador"", ""France"", ""Germany"", ""Greece"", ""India"", ""Italy"", ""Mexico"", ""Morocco"", ""Spain"", ""Thailand"", ""Tunisia"", ""Turkey"", ""United States"", ""Uruguay""]","[""Affiliation""], [{""tags"": null, ""Country"": ""Australia""}, {""tags"": null, ""Country"": ""Germany""}, {""tags"": null, ""Country"": ""India""}, {""tags"": null, ""Country"": ""Turkey""}, {""tags"": null, ""Country"": ""South Korea""}, {""tags"": null, ""Country"": ""Tunisia""}, {""tags"": null, ""Country"": ""Ecuador""}, {""tags"": null, ""Country"": ""Greece""}, {""tags"": null, ""Country"": ""Morocco""}, {""tags"": null, ""Country"": ""Thailand""}, {""tags"": null, ""Country"": ""USA""}, {""tags"": null, ""Country"": ""Austria""}, {""tags"": null, ""Country"": ""Spain""}]","[""Affiliation""]","[{""tags"": null, ""Country"": ""Australia""}, {""tags"": null, ""Country"": ""Germany""}, {""tags"": null, ""Country"": ""India""}, {""tags"": null, ""Country"": ""Turkey""}, {""tags"": null, ""Country"": ""South Korea""}, {""tags"": null, ""Country"": ""Tunisia""}, {""tags"": null, ""Country"": ""Ecuador""}, {""tags"": null, ""Country"": ""Greece""}, {""tags"": null, ""Country"": ""Morocco""}, {""tags"": null, ""Country"": ""Thailand""}, {""tags"": null, ""Country"": ""USA""}, {""tags"": null, ""Country"": ""Austria""}, {""tags"": null, ""Country"": ""Spain""}]"
"33963192","[""Austria"", ""Canada"", ""China"", ""Egypt"", ""France"", ""Germany"", ""Korea, Republic of"", ""Norway"", ""Spain"", ""United Kingdom"", ""United States""]",NULL,NULL,NULL
"33963834","[""Canada"", ""China""]","[""Gene expression"", ""Methylation""], [""Gene expression"", ""Methylation profiles""]","[""Gene expression"", ""Methylation""]","[""Gene expression"", ""Methylation profiles""]"
"34026680","[""Canada"", ""China"", ""United States""]","[""Fetal Heart Rate"", ""Arterial Blood Pressure""], [""electrocardiogram"", ""blood pressure""]","[""Fetal Heart Rate"", ""Arterial Blood Pressure""]","[""electrocardiogram"", ""blood pressure""]"
"34048901","[""Austria"", ""Brazil"", ""Canada"", ""China"", ""Germany"", ""Israel"", ""Japan"", ""Korea, Republic of"", ""Netherlands"", ""Norway"", ""Sweden"", ""Switzerland"", ""United Kingdom"", ""United States""]",NULL,NULL,"[""EEG"", ""fMRI""]"
"34079932","[""Canada"", ""China""]","[""MRI""], [""MRI""]","[""MRI""]","[""MRI""]"
"34080784","[""Canada"", ""China"", ""Greece"", ""Hong Kong"", ""United Kingdom""]","[""Medical records""], [""age"", ""sex"", ""variables in the modified frailty index"", ""Deyo's Charlson co-morbidity index (≥2)"", ""neutrophil-to-lymphocyte ratio (NLR)"", ""prognostic nutritional index""]","[""Medical records""]","[""age"", ""sex"", ""variables in the modified frailty index"", ""Deyo's Charlson co-morbidity index (≥2)"", ""neutrophil-to-lymphocyte ratio (NLR)"", ""prognostic nutritional index""]"
"34104876","[""Canada"", ""China"", ""Philippines""]","[""Metabolomic markers"", ""Sex"", ""Birth weight""], [""blood_samples""]","[""Metabolomic markers"", ""Sex"", ""Birth weight""]","[""blood_samples""]"
"34111849","[""Canada"", ""China"", ""Ireland"", ""United Kingdom""]","[""Electroencephalography (EEG)"", ""Upper limb MI tasks""], [""EEG""]","[""Electroencephalography (EEG)"", ""Upper limb MI tasks""]","[""EEG""]"
"34153625","[""Canada"", ""China""]","[""Medical images""], [""Image"", ""Text""]","[""Medical images""]","[""Image"", ""Text""]"
"34159195","[""Canada"", ""China""]","[""Blood Biomarkers""], [""blood panel"", ""machine learning""]","[""Blood Biomarkers""]","[""blood panel"", ""machine learning""]"
"34174347","[""Canada"", ""China""]","[""Biochemical""], [""biochemical indices""]","[""Biochemical""]","[""biochemical indices""]"
"34181661","[""Canada"", ""China""]","[""Clinical"", ""Computer Science""], [""depression"", ""symptoms""]","[""Clinical"", ""Computer Science""]","[""depression"", ""symptoms""]"
"34214980","[""Brazil"", ""Canada"", ""China"", ""Germany"", ""Hong Kong"", ""Japan"", ""Netherlands"", ""United Kingdom"", ""United States""]",NULL,"[null]",NULL
"34217560","[""Canada"", ""China""]","[""B-Mode Ultrasound""], [""Ultrasound images""]","[""B-Mode Ultrasound""]","[""Ultrasound images""]"
"34254200","[""Canada"", ""China""]","[""Diffusion-Weighted MRI""], [""MRI""]","[""Diffusion-Weighted MRI""]","[""MRI""]"
"34327623","[""Canada"", ""China""]","[""Computed Tomography (CT)""], [""Computed Tomography""]","[""Computed Tomography (CT)""]","[""Computed Tomography""]"
"34327851","[""Canada"", ""China"", ""United States""]",NULL,"[""Microbiota composition""]",NULL
"34337338","[""Canada"", ""China"", ""Hong Kong"", ""Japan"", ""United States""]","[""Histopathology""], [""Histopathology"", ""Machine Learning""]","[""Histopathology""]","[""Histopathology"", ""Machine Learning""]"
"34339947","[""Australia"", ""Brazil"", ""Canada"", ""China"", ""Finland"", ""Germany"", ""Iran"", ""Ireland"", ""Italy"", ""Mexico"", ""Spain"", ""United Kingdom"", ""United States""]","[""Temporalology"", ""Genetics""], [""MRI"", ""EEG""]","[""Temporalology"", ""Genetics""]","[""MRI"", ""EEG""]"
"34420885","[""Canada"", ""China""]",NULL,"[""Clinical"", ""Biochemical""]",NULL
"34430044","[""Canada"", ""China"", ""United States""]","[""Images""], [""Images""]","[""Images""]","[""Images""]"
"34451039","[""Australia"", ""Canada"", ""China"", ""Hong Kong"", ""New Zealand"", ""United States""]","[""Sensors""], [""knee adduction moment"", ""knee flexion moment""]","[""Sensors""]","[""knee adduction moment"", ""knee flexion moment""]"
"34507158","[""Canada"", ""China""]","[""clinical images"", ""dermoscopic images""], [""clinical images"", ""dermoscopic images""]","[""clinical images"", ""dermoscopic images""]","[""clinical images"", ""dermoscopic images""]"
"34526544","[""Australia"", ""Canada"", ""China""]",NULL,NULL,"[""Administrative health data"", ""Medication history"", ""Hospital admissions data""]"
"34587564","[""Canada"", ""China""]","[""Computed Tomography Angiography""], [""CTA images""]","[""Computed Tomography Angiography""]","[""CTA images""]"
"34625565","[""Canada"", ""China""]","[""Medical images""], [""medical images""]","[""Medical images""]","[""medical images""]"
