"pid","modalities","modalities2","x"
"29869321","{3D,ultrasound}","{3D,ultrasound,image}","{3D,image,ultrasound}"
"29886268","{Ultrasound}","{Ultrasound,Images,MRI,Data,Temporal,Information}","{Data,Images,Information,MRI,Temporal,Ultrasound}"
"29889330",NULL,"{fMRI,EEG}","{EEG,fMRI}"
"29905656","{Functional,magnetic,resonance,imaging}","{Blood,oxygenation-level-dependent,(BOLD),signal,Pain,ratings,Stimulus,temperatures}","{Blood,(BOLD),Functional,imaging,magnetic,oxygenation-level-dependent,Pain,ratings,resonance,signal,Stimulus,temperatures}"
"29921920","{Functional,connectivity,data}","{Blood-Oxygen-Level,Dependent,Signals}","{Blood-Oxygen-Level,connectivity,data,Dependent,Functional,Signals}"
"29923104","{SPECT,CT,MRI}","{Imaging}","{CT,Imaging,MRI,SPECT}"
"29971330","{Neuroanatomical,Maturity}","{T1-weighted_magnetic_resonance_images:,true}","{Maturity,Neuroanatomical,T1-weighted_magnetic_resonance_images:,true}"
"29980214","{Medical,imaging,Radiation,therapy}","{2D,Dose,Map,3D,Dose,Data}","{2D,3D,Data,Dose,imaging,Map,Medical,Radiation,therapy}"
"30020426","{Plasma,antibody,responses,Immunoglobulin,A,responses}","{plasma,antibody,responses}","{A,antibody,Immunoglobulin,plasma,Plasma,responses}"
"30084192","{fMRI}","{Department,of,Medical,Biophysics,University,of,Western,Ontario,London,ON,Canada.:,""null"",Lawson,Health,Research,Institute,London,Health,Sciences,Centre,London,ON,Canada.:,""null"",Department,of,Psychiatry,University,of,Western,Ontario,Schulich,School,of,Medicine,and,Dentistry,London,ON,Canada.:,""null""}","{and,Biophysics,Canada.:,Centre,Dentistry,Department,fMRI,Health,Institute,Lawson,London,Medical,Medicine,""null"",of,ON,Ontario,Psychiatry,Research,School,Schulich,Sciences,University,Western}"
"30089110","{thoracic,phase,signals}","{electrophysiology}","{electrophysiology,phase,signals,thoracic}"
"30089915","{Genomics}","{Genomics}","{Genomics}"
"30099076","{Computerized,tomography,Magnetic,resonance,imaging}","{Image,Text,Audio}","{Audio,Computerized,Image,imaging,Magnetic,resonance,Text,tomography}"
"30104567",NULL,"{text,image}","{image,text}"
"30114914","{Chemical,features}","{Chemical,features,Continuous,molecular,descriptors}","{Chemical,Continuous,descriptors,features,molecular}"
"30132040","{Functional,magnetic,resonance,imaging,(fMRI)}","{Functional,MRI}","{(fMRI),Functional,imaging,magnetic,MRI,resonance}"
"30171211","{structural,MRI}",NULL,"{MRI,structural}"
"30186761","{Fluorodeoxyglucose,positron,emission,tomography,(FDG-PET),Imaging}","{Fluorodeoxyglucose,positron,emission,tomography,(FDG-PET),Glucose,metabolism}","{emission,(FDG-PET),Fluorodeoxyglucose,Glucose,Imaging,metabolism,positron,tomography}"
"30209345","{""""}","{Computer,Vision,and,Robotics,(VICOROB),Medical,Image,Analysis,Lab,Department,of,Radiology,Children's,Hospital}","{"""",Analysis,and,Children's,Computer,Department,Hospital,Image,Lab,Medical,of,Radiology,Robotics,(VICOROB),Vision}"
"30216140","{Neural}","{Neural,features,Intention,to,move,in,a,direction}","{a,direction,features,in,Intention,move,Neural,to}"
"30252978","{3.0T,MRI,T2,-weighted,(T2,W),and,multi-b-value,diffusion-weighted,(DW),sequences,Apparent,diffusion,coefficient,maps}","{MRI,T2-weighted,images,Diffusion-weighted,images}","{3.0T,and,Apparent,coefficient,diffusion,diffusion-weighted,Diffusion-weighted,(DW),images,maps,MRI,multi-b-value,sequences,(T2,T2,T2-weighted,W),-weighted}"
"30262516","{Medical,Imaging,Echocardiography}","{Imaging,Clinical}","{Clinical,Echocardiography,Imaging,Medical}"
"30300751","{MRI}","{MRI:,Yes,CT:,No}","{CT:,MRI,MRI:,No,Yes}"
"30301895",NULL,"{Image}","{Image}"
"30337065","{echocardiograms}","{echocardiogram}","{echocardiogram,echocardiograms}"
"30336070","{robot}","{humanoid,robot's,mental,state,gaze,cues}","{cues,gaze,humanoid,mental,robot,robot's,state}"
"30340027","{Histopathology,images}","{Image}","{Histopathology,Image,images}"
"30354561","{Breath-by-breath,Time-series}","{Breath-by-Breath,Data}","{Breath-by-breath,Breath-by-Breath,Data,Time-series}"
"30367117","{RNA-seq}","{genomics,epidemiology}","{epidemiology,genomics,RNA-seq}"
"30381856","{liquid,chromatography,coupled,with,mass,spectrometry,proton,nuclear,magnetic,resonance,spectroscopy-based,metabolomics,targeted,proteomics,analysis}","{Metabolomics,Proteomics}","{analysis,chromatography,coupled,liquid,magnetic,mass,metabolomics,Metabolomics,nuclear,proteomics,Proteomics,proton,resonance,spectrometry,spectroscopy-based,targeted,with}"
"30409057","{Acoustic,Lip,Movement,Tongue,Movement}","{Acoustic,Lip,movement,Tongue,movement}","{Acoustic,Lip,movement,Movement,Tongue}"
"30459321","{Genetics}","{Images,Text}","{Genetics,Images,Text}"
"30503831",NULL,"{miRNA,beta-cell,function,insulin,sensitivity}","{beta-cell,function,insulin,miRNA,sensitivity}"
"30509988","{Nanoscale-resolution,scanning,Atomic,force,microscopy,(AFM),Subresonance,tapping}","{nanoscale-resolution,scanning}","{(AFM),Atomic,force,microscopy,nanoscale-resolution,Nanoscale-resolution,scanning,Subresonance,tapping}"
"30517157","{Optical,Coherence,Tomography,(OCT),Standard,Automated,Perimetry,(SAP)}","{Optical,Coherence,Tomography,Standard,Automated,Perimetry}","{Automated,Coherence,(OCT),Optical,Perimetry,(SAP),Standard,Tomography}"
"30522594","{Registry,Clinical}","{text}","{Clinical,Registry,text}"
"30523141","{MR,Imaging}","{medical,images}","{images,Imaging,medical,MR}"
"30587458","{proteomics,CT}","{tomography,angiography}","{angiography,CT,proteomics,tomography}"
"30595082","{Functional,magnetic,resonance,imaging,Proprioception}","{Sensory,Motor,Networks,Reaching,Accuracy}","{Accuracy,Functional,imaging,magnetic,Motor,Networks,Proprioception,Reaching,resonance,Sensory}"
"30617134","{gene,expression,copy-number,variation,cell,morphometry,protein,expression}","{microarray,data}","{cell,copy-number,data,expression,gene,microarray,morphometry,protein,variation}"
"30620412","{Radiotherapy}","{Image,Text}","{Image,Radiotherapy,Text}"
"30644411","{Blood,Biochemistry,Cell,Count}","{Modality:,Blood_Biochemistry,Description:,""null""}","{Biochemistry,Blood,Blood_Biochemistry,Cell,Count,Description:,Modality:,""null""}"
"30645667","{Biological,data}","{value:,Text,Image}","{Biological,data,Image,Text,value:}"
"30661193","{T1,contrast,enhanced,T2-FLAIR}","{MRI}","{contrast,enhanced,MRI,T1,T2-FLAIR}"
"30713485","{Facial,Videos}","{facial,videos,computer,vision,algorithms}","{algorithms,computer,facial,Facial,videos,Videos,vision}"
"30739657","{Medical,Imaging,Clinical,Data}","{text,clinical,data}","{clinical,Clinical,data,Data,Imaging,Medical,text}"
"30767173","{electronic,health,records}",NULL,"{electronic,health,records}"
"30773443","{transcript,expression}","{transcript,expression}","{expression,transcript}"
"30795962","{molecular,histologic}","{Microarray,Molecular}","{histologic,Microarray,molecular,Molecular}"
"30833926","{Eye,Movement,Psychometric,Neuroimaging}","{eye,movement,psychometric,tests,neuroimaging}","{eye,Eye,movement,Movement,neuroimaging,Neuroimaging,psychometric,Psychometric,tests}"
"30847821","{Imaging,Clinical}","{SPECT,Imaging,Clinical,Measures}","{Clinical,Imaging,Measures,SPECT}"
"30870597","{Medical,claims,Electroencephalogram,procedures}",NULL,"{claims,Electroencephalogram,Medical,procedures}"
"30885044","{DNA,methylation}","{DNA,methylation}","{DNA,methylation}"
"30923086","{Image}","{Neurological,Surgery,(R.J.H.,A.F.,X.D.-F.,L.H.T.,N.K.,M.S.B.,J.C.B.,S.D.,W.W.,J.F.T.).,Brain,and,Spinal,Injury,Center,(D.B.M.,R.J.H.,A.F.,X.D.-F.,L.H.T.,N.K.,M.S.B.,J.C.B.,S.D.,W.W.).}","{A.F.,and,Brain,Center,(D.B.M.,Image,Injury,J.C.B.,J.F.T.).,L.H.T.,M.S.B.,Neurological,N.K.,(R.J.H.,R.J.H.,S.D.,Spinal,Surgery,W.W.,W.W.).,X.D.-F.}"
"30948811","{MRI}","{value:,medical,imaging,value:,electroencephalography,(EEG)}","{(EEG),electroencephalography,imaging,medical,MRI,value:}"
"30958743","{Magnetic,Resonance,Imaging,T2-weighted,Apparent,Diffusion,Coefficient,Diffusion,Kurtosis,Imaging}","{Magnetic,Resonance,Imaging}","{Apparent,Coefficient,Diffusion,Imaging,Kurtosis,Magnetic,Resonance,T2-weighted}"
"30962703","{SBP,Serum,Creatinine,Glycosylated,Hemoglobin,DBP}","{Modality:,stenting,Modality:,best,medical,therapy}","{best,Creatinine,DBP,Glycosylated,Hemoglobin,medical,Modality:,SBP,Serum,stenting,therapy}"
"30992063",NULL,"{Genetics,Neurology}","{Genetics,Neurology}"
"31000909","{Intraoperative,Ultrasound}","{ultrasound}","{Intraoperative,ultrasound,Ultrasound}"
"31004711","{MRI}","{MRI}","{MRI}"
"31055684",NULL,"{robotic,movement,rob,integration,sounds,light,effects,complex,movements}","{complex,effects,integration,light,movement,movements,rob,robotic,sounds}"
"31076475","{Questionnaire,Interview,Focus,Group,Discussion}","{text,interviews,focus,group,discussions}","{Discussion,discussions,focus,Focus,group,Group,Interview,interviews,Questionnaire,text}"
"31104700","{electronic}","{Imputed,datasets,Original,dataset}","{dataset,datasets,electronic,Imputed,Original}"
"31117509",NULL,NULL,"{}"
"31133249","{Dermoscopic,images}","{Image}","{Dermoscopic,Image,images}"
"31138084","{MRI,CT}","{physiological,data,questionnaire,data}","{CT,data,MRI,physiological,questionnaire}"
"31150083","{electrocardiogram,neurological,status}","{Text}","{electrocardiogram,neurological,status,Text}"
"31150956","{MRI}","{MRI}","{MRI}"
"31161221","{Urine,miRNA,fingerprint}","{text}","{fingerprint,miRNA,text,Urine}"
"31173905","{MRI}","{modality:,MRI}","{modality:,MRI}"
"31176387","{Functional,connectivity,Clinical,symptoms}","{Functional,Magnetic,Resonance,Imaging}","{Clinical,connectivity,Functional,Imaging,Magnetic,Resonance,symptoms}"
"31211469","{Movement,Disorders,Neurology}","{image,text}","{Disorders,image,Movement,Neurology,text}"
"31227653","{Phenotype,Ontology,(HPO),terms}","{text:,true}","{(HPO),Ontology,Phenotype,terms,text:,true}"
"31249104","{Seminal,Plasma,Proteins}","{Transcriptomics,Proteomics,Secretomics}","{Plasma,Proteins,Proteomics,Secretomics,Seminal,Transcriptomics}"
"31267266","{demographic,clinical,occupational}","{Text}","{clinical,demographic,occupational,Text}"
"31317178",NULL,"{name:,Yale,University,description:,name:,Brigham,and,Women's,Hospital,description:,name:,Cedars-Sinai,Medical,Center,description:,""""}","{"""",and,Brigham,Cedars-Sinai,Center,description:,Hospital,Medical,name:,University,Women's,Yale}"
"31325985","{Electrophysiology}","{Modality:,Single,unit,neural,responses,Modality:,Local,field,potential,Modality:,Globus,pallidus,interna,firing,rate}","{Electrophysiology,field,firing,Globus,interna,Local,Modality:,neural,pallidus,potential,rate,responses,Single,unit}"
"31326191","{Medical,Imaging,Clinical,Data}","{image,text}","{Clinical,Data,image,Imaging,Medical,text}"
"31328849","{Registry,Data}","{Text,Heat,Map}","{Data,Heat,Map,Registry,Text}"
"31332903","{Functional,Magnetic,Resonance,Imaging,Blood,Oxygenation,Level-Dependent,(BOLD),signal}","{fMRI,BOLD}","{Blood,(BOLD),BOLD,fMRI,Functional,Imaging,Level-Dependent,Magnetic,Oxygenation,Resonance,signal}"
"31337542","{MR}","{MRI}","{MR,MRI}"
"31338709","{PET,CT}","{images}","{CT,images,PET}"
"31342622","{Whole,blood,Peripheral,monocytes}","{blood,samples,miRNA,expression}","{blood,expression,miRNA,monocytes,Peripheral,samples,Whole}"
"31390016","{text}",NULL,"{text}"
"31399127","{DNA,methylation}",NULL,"{DNA,methylation}"
"31417602","{""""}","{Imaging,Genomics}","{"""",Genomics,Imaging}"
"31434533","{Upper-limb,motor,and,proprioceptive,performance}","{Motor,Proprioceptive}","{and,motor,Motor,performance,proprioceptive,Proprioceptive,Upper-limb}"
"31444624","{iUS,MRI}","{image,data,brain,shift,measurement}","{brain,data,image,iUS,measurement,MRI,shift}"
"31444660","{Electronic,Health,Records,Laboratory,Tests}","{Laboratory,tests}","{Electronic,Health,Laboratory,Records,tests,Tests}"
"31446127","{MRI,Ultrasound}","{MRI,Ultrasound}","{MRI,Ultrasound}"
"31447230","{Imaging,Pathology}","{digital,imaging}","{digital,imaging,Imaging,Pathology}"
"31448366","{Computed,Tomography}","{Image,Clinical}","{Clinical,Computed,Image,Tomography}"
"31479590","{Text}","{text}","{text,Text}"
"31534203","{Pathology}","{""""}","{"""",Pathology}"
"31513271","{Imaging}","{""""}","{"""",Imaging}"
"31542646","{MRI}","{Image,Data}","{Data,Image,MRI}"
"31546048","{MRI}","{T1-weighted,MRIs}","{MRI,MRIs,T1-weighted}"
"31591579","{Single-cell,data}","{cytometry}","{cytometry,data,Single-cell}"
"31610776","{home,care,clients}","{Assistive,devices,Unsteady,gait}","{Assistive,care,clients,devices,gait,home,Unsteady}"
"31636101","{Images}","{Image}","{Image,Images}"
"31636895",NULL,NULL,"{}"
"31663066","{Genomic,data,Clinical,data}","{genomic,mutation}","{Clinical,data,genomic,Genomic,mutation}"
"31667829","{Clinical}","{text:,true,image:,""null""}","{Clinical,image:,""null"",text:,true}"
"31679176","{RNA-seq,Histology}","{transcripts}","{Histology,RNA-seq,transcripts}"
"31696396","{Text,Numerical}","{Tags:,Modality:,Text,Tags:,Modality:,Image,Tags:,Modality:,Audio}","{Audio,Image,Modality:,Numerical,Tags:,Text}"
"31728792","{Machine-Based}","{""null"",""null"",""null"",image,""null"",image,""null"",""null"",video,""null""}","{image,Machine-Based,""null"",video}"
"31730484","{Narrative,clinical,notes,Chart,review}","{natural,language,processing,knowledge-based,rules}","{Chart,clinical,knowledge-based,language,Narrative,natural,notes,processing,review,rules}"
"31736698","{fMRI}","{Modality:,Brain,imaging,Modality:,fMRI}","{Brain,fMRI,imaging,Modality:}"
"31769622","{magnetic,resonance,imaging}","{Brain,Volume,Cortical,Thickness}","{Brain,Cortical,imaging,magnetic,resonance,Thickness,Volume}"
"31785402","{T1-weighted,T2-weighted}","{T1-weighted,T2-weighted}","{T1-weighted,T2-weighted}"
"31796060","{text,bibliometrics}","{Text}","{bibliometrics,text,Text}"
"31805020","{age,vital,signs,(heart,rate,respiratory,rate,and,temperature),capillary,refill,time,altered,mental,state}","{Age,Respiratory,rate,Capillary,refill,time,Altered,mental,state}","{age,Age,altered,Altered,and,capillary,Capillary,(heart,mental,rate,refill,respiratory,Respiratory,signs,state,temperature),time,vital}"
"31815574","{Computed,Tomography}","{CT,scans}","{Computed,CT,scans,Tomography}"
"31821482","{Serial,PT-INR,values}","{prothrombin,time,international,normalized,ratio,measurements}","{international,measurements,normalized,prothrombin,PT-INR,ratio,Serial,time,values}"
"31835700","{RNA-Seq}","{gene,expression,mRNA}","{expression,gene,mRNA,RNA-Seq}"
"31852412","{Medical}","{Computed,Tomography}","{Computed,Medical,Tomography}"
"31866804","{EEG}","{EEG}","{EEG}"
"31871069",NULL,"{Image,data,Clinical,data}","{Clinical,data,Image}"
"31884486","{PET,imaging,Neuropsychological,tests,MRI,volumetrics,Cerebrospinal,fluid,biomarkers}","{Imaging,Biomarkers}","{biomarkers,Biomarkers,Cerebrospinal,fluid,imaging,Imaging,MRI,Neuropsychological,PET,tests,volumetrics}"
"31899530",NULL,"{Text,data,Image,data}","{data,Image,Text}"
"31918375","{Clinical,Imaging}","{SPECT,clinical}","{clinical,Clinical,Imaging,SPECT}"
"31937619","{MR,Imaging}","{MRI}","{Imaging,MR,MRI}"
"31967990","{Gene,expression,Drug,response}","{Gene,Expression,Drug,Response}","{Drug,expression,Expression,Gene,response,Response}"
"31971940","{Genomic,Biology}",NULL,"{Biology,Genomic}"
"31982495","{thermograms}","{thermal,imaging}","{imaging,thermal,thermograms}"
"31999324","{Functional,MRI,Behavioral,questionnaire}","{Functional,brain,measurements}","{Behavioral,brain,Functional,measurements,MRI,questionnaire}"
"32007318","{Computed,Tomography,(CT),scans}","{CT,scans}","{Computed,(CT),CT,scans,Tomography}"
"32024819","{genomics}","{genomics,genetics}","{genetics,genomics}"
"32024849","{Genomic}","{Genomics,Pathology}","{Genomic,Genomics,Pathology}"
"32025015",NULL,"{""""}","{""""}"
"32026444","{Bi-planar,radiographs,3D,reconstruction,Da,Vinci,views}","{radiographs,3D,reconstruction}","{3D,Bi-planar,Da,radiographs,reconstruction,views,Vinci}"
"32039563","{Clinical,Biological}","{clinical,biological}","{biological,Biological,clinical,Clinical}"
"32042111","{hand,motion}","{hand,motion,spectrotemporal,characteristics}","{characteristics,hand,motion,spectrotemporal}"
"32053425","{Photographs}","{Photographs,Videos}","{Photographs,Videos}"
"32069213","{Text}","{Text,Dialogue}","{Dialogue,Text}"
"32070812","{Electrical,Pneumatic}","{Electrical,median,nerve,stimulation,Pneumatic,stimulation}","{Electrical,median,nerve,Pneumatic,stimulation}"
"32071251","{Clinical}","{text}","{Clinical,text}"
"32079905","{Chest,computed,tomography,Dual-energy,x-ray,absorptiometry}","{Chest,Computed,Tomography}","{absorptiometry,Chest,computed,Computed,Dual-energy,tomography,Tomography,x-ray}"
"32108120","{Text}","{Text,Image}","{Image,Text}"
"32110753","{Medical}","{variables_used:,modality:,medical,variables:,68,modality:,demographics,variables:,""null""}","{68,demographics,medical,Medical,modality:,""null"",variables:,variables_used:}"
"32157112","{RNA-Seq}","{count:,1,modality:,microRNA}","{1,count:,microRNA,modality:,RNA-Seq}"
"32165206","{Molecular,Pathologic}","{Image,Text}","{Image,Molecular,Pathologic,Text}"
"32178532","{Clinical,Administrative}","{Clinical}","{Administrative,Clinical}"
"32185618","{Computed,Tomography,Positron,Emission,Tomography}","{PET,CT}","{Computed,CT,Emission,PET,Positron,Tomography}"
"32185875","{Whole,slide,imaging}","{Histology,Immunogenetics}","{Histology,imaging,Immunogenetics,slide,Whole}"
"32187319",NULL,"{Text}","{Text}"
"32198433","{Clinical,Variables}","{Age,at,diagnosis,Lymph,nodes}","{Age,at,Clinical,diagnosis,Lymph,nodes,Variables}"
"32206688","{Medical,images,Planar,(two-dimensional),medical,images,Volumetric,(three-dimensional),medical,images}","{Planar,(2D),Volumetric,(3D)}","{(2D),(3D),images,medical,Medical,Planar,(three-dimensional),(two-dimensional),Volumetric}"
"32211747","{genetic,contact,investigation}","{text}","{contact,genetic,investigation,text}"
"32211946","{Abdominal,Imaging}","{Abdominal,imaging,Prostate,cancer}","{Abdominal,cancer,imaging,Imaging,Prostate}"
"32217212","{Motion,Ground,Reaction,Force}","{Modality:,Motion}","{Force,Ground,Modality:,Motion,Reaction}"
"32235059","{PET,FDG-PET}","{PET}","{FDG-PET,PET}"
"32249734","{healthcare}","{healthcare,analytics,artificial,intelligence}","{analytics,artificial,healthcare,intelligence}"
"32287265","{mRNA,microarray}","{blood,muscle}","{blood,microarray,mRNA,muscle}"
"32303098","{Health,data}",NULL,"{data,Health}"
"32328990",NULL,NULL,"{}"
"32329723",NULL,NULL,"{}"
"32333121","{brain,extracts,NMR,DI/LC-MS/MS}","{metabolomics,NMR,and,DI/LC-MS/MS}","{and,brain,DI/LC-MS/MS,extracts,metabolomics,NMR}"
"32366785","{Amyloid,PET,FDG,PET}","{PET}","{Amyloid,FDG,PET}"
"32372384","{Temporal,Enhanced,Ultrasound,(TeUS),Apparent,Diffusion,Coefficient,(ADC),Magnetic,Resonance,Imaging,(MRI)}","{MRI,Ultrasound}","{(ADC),Apparent,Coefficient,Diffusion,Enhanced,Imaging,Magnetic,(MRI),MRI,Resonance,Temporal,(TeUS),Ultrasound}"
"32388549","{text}","{text}","{text}"
"32399513","{Digital,biomarkers}","{digital,biomarkers}","{biomarkers,digital,Digital}"
"32399621","{PET/CT}","{PET/CT}","{PET/CT}"
"32409715","{Medical,Imaging}","{3D,inputs,Multi-scale,input}","{3D,Imaging,input,inputs,Medical,Multi-scale}"
"32410265","{Administrative,databases}",NULL,"{Administrative,databases}"
"32413546","{Computed,Tomography,(CT)}","{Dose-volume,histograms,(DVHs):,true,Computed,tomography,images:,true}","{Computed,(CT),Dose-volume,(DVHs):,histograms,images:,tomography,Tomography,true}"
"32444812",NULL,"{Text}","{Text}"
"32439869","{Clinical,notes,Lab,tests,Billing,codes}","{text,image}","{Billing,Clinical,codes,image,Lab,notes,tests,text}"
"32467650","{France}","{Pathology}","{France,Pathology}"
"32463180","{""null""}","{Text,Image}","{Image,""null"",Text}"
"32473385","{miRNA}","{miRNA}","{miRNA}"
"32475986","{Three-dimensional}",NULL,"{Three-dimensional}"
"32493224","{Saliva}",NULL,"{Saliva}"
"32515116","{Text}","{numerical,ratings,written,reviews}","{numerical,ratings,reviews,Text,written}"
"32533137","{Nuclear,Medicine,Cardiovascular}","{ECG,Imaging}","{Cardiovascular,ECG,Imaging,Medicine,Nuclear}"
"32535888","{Laboratory,data,Echocardiographic,assessment,Electrocardiographic,P-wave,indices}","{Modality:,Name:,electrocardiographic,P-wave,indices,Name:,echocardiographic,assessment,Name:,neutrophil-to-lymphocyte,ratio,(NLR),Name:,prognostic,nutritional,index,(PNI)}","{assessment,data,echocardiographic,Echocardiographic,electrocardiographic,Electrocardiographic,index,indices,Laboratory,Modality:,Name:,neutrophil-to-lymphocyte,(NLR),nutritional,(PNI),prognostic,P-wave,ratio}"
"32540846",NULL,NULL,"{}"
"32554169","{CT}","{Computed,Tomography}","{Computed,CT,Tomography}"
"32563597",NULL,"{text}","{text}"
"32568668","{T1-precontrast,Fluid,Attenuated,Inversion,Recovery,(FLAIR),T1-postcontrast}","{T1-precontrast,Fluid,attenuated,inversion,recovery,(FLAIR),T1-postcontrast}","{attenuated,Attenuated,(FLAIR),Fluid,inversion,Inversion,recovery,Recovery,T1-postcontrast,T1-precontrast}"
"32571904","{Behavioral,Social,Psychological}","{Economic,factors,Social,factors,Psychological,factors}","{Behavioral,Economic,factors,Psychological,Social}"
"32592462","{3D,genome,DNA,loci}",NULL,"{3D,DNA,genome,loci}"
"32602222","{US}","{Image,Text}","{Image,Text,US}"
"32605433","{Electromyography}","{Electromyography}","{Electromyography}"
"32610095","{Metagenomics,Metabolomics}","{stool,microbiomes,serum,albumin,levels,age}","{age,albumin,levels,Metabolomics,Metagenomics,microbiomes,serum,stool}"
"32611681","{RNA}","{RNA,sequencing}","{RNA,sequencing}"
"32614505","{T1-weighted,magnetic,resonance,imaging,(MRI)}","{T1-weighted,MRI,images}","{images,imaging,magnetic,(MRI),MRI,resonance,T1-weighted}"
"32617525",NULL,NULL,"{}"
"32635216","{PET/CT}","{PET,CT}","{CT,PET,PET/CT}"
"32641740","{Inertial,Measurement,Units}","{IMUs}","{IMUs,Inertial,Measurement,Units}"
"32649890","{CT,scans}","{3D_image_data,Anatomical_features}","{3D_image_data,Anatomical_features,CT,scans}"
"32682223","{Neural,recordings,Robotics}","{Intracortical,neural,recordings}","{Intracortical,neural,Neural,recordings,Robotics}"
"32682719","{Imaging,Cardiology}",NULL,"{Cardiology,Imaging}"
"32686118","{Imaging,Pathology}","{Image}","{Image,Imaging,Pathology}"
"32687564",NULL,NULL,"{}"
"32701148","{Laboratory}","{text,image}","{image,Laboratory,text}"
"32710834",NULL,"{ForeName:,Jaewoo,Initials:,J,LastName:,Kang,ForeName:,Yuanfang,Initials:,Y,LastName:,Guan}","{ForeName:,Guan,Initials:,J,Jaewoo,Kang,LastName:,Y,Yuanfang}"
"32716959","{Ultrasound}","{Text,Data,Image,Data}","{Data,Image,Text,Ultrasound}"
"32719123",NULL,NULL,"{}"
"32719375",NULL,"{Department,of,Anesthesiology,Perioperative,and,Pain,Medicine,Stanford,University,Stanford,USA:,Audio,Text,Department,of,Pediatrics,Stanford,University,Stanford,USA:,Video,Image}","{and,Anesthesiology,Audio,Department,Image,Medicine,of,Pain,Pediatrics,Perioperative,Stanford,Text,University,USA:,Video}"
"32720232","{None}","{Psychiatry,Medicine}","{Medicine,None,Psychiatry}"
"32732917","{transcriptome,brain,imaging}","{Image,Text}","{brain,Image,imaging,Text,transcriptome}"
"32743554","{miRNA}","{miRNA,microRNA}","{microRNA,miRNA}"
"32758450",NULL,NULL,"{}"
"34010050",NULL,"{text,""null""}","{""null"",text}"
