PMID,PLD,Modality
39095975,FALSE,
39096240,FALSE,
39097076,TRUE,Clinical/imaging (motor outcome prediction; likely imaging + clinical metrics)
39097289,FALSE,
39097471,FALSE,Other (letter/correspondence)
39097589,FALSE,
39097627,FALSE,
39098369,FALSE,
39098450,TRUE,"Clinical + perioperative variables, ML modeling"
39100452,FALSE,
39101315,FALSE,
39101625,TRUE,Imaging (CCTA plaque quantification)
39103509,TRUE,"Neuroimaging + Multimodal (fMRI, DTI, PET, morphometry)"
39103539,TRUE,Sensor (EEG)
39103943,FALSE,
39104258,TRUE,"""Sensor (IMU)"", ""Clinical (activity labels)"
39104404,FALSE,"""Genomic (microbiome sequencing)"""
39104689,FALSE,
39107243,FALSE,
39111265,FALSE,
39111636,FALSE,
39111972,TRUE,"""Imaging (CMR)"", ""Clinical (outcomes)"""
39112632,TRUE,"Clinical (EHR, lab data)"
39113629,TRUE,"""Clinical (donor history)"", ""Other (operational records)"""
39113766,FALSE,"""Imaging (videolaryngoscopy images)"""
39114779,FALSE,
39115157,FALSE,
39116018,TRUE,Imaging analysis ML (videolaryngoscopy)
39116147,TRUE,Imaging (fMRI)
39116183,FALSE,
39116707,TRUE,Imaging (multi-modality MRI sequences)
39118320,FALSE,
39118548,FALSE,
39118805,TRUE,Imaging (tongue photos)
39120145,FALSE,
39121777,FALSE,
39121797,TRUE,"Imaging (navigation + imaging), Clinical procedure data"
39122153,FALSE,
39122422,TRUE,Textual (interviews) + Clinical (primary care clinicians)
39122730,FALSE,
39123282,FALSE,
39123865,FALSE,
39124000,TRUE,	Sensor (smartphone inertial)
39125691,FALSE,
39126604,TRUE,"Imaging (echo video), Clinical measurements"
39126706,FALSE,
39126971,TRUE,Clinical (ECG + angiography + demographics)
39127521,TRUE,Imaging (ultrasound)
39129081,FALSE,
39131274,FALSE,
39131324,FALSE,
39132480,TRUE,Imaging (CT scans)
39133267,FALSE,
39133721,FALSE,
39134582,FALSE,
39134725,FALSE,
39135903,FALSE,
39136393,FALSE,
39136673,TRUE,Clinical (intake variables)
39137884,FALSE,
39137885,FALSE,
39139542,TRUE,Imaging (OCT) + Textual
39140200,FALSE,
39141002,TRUE,Sensor (EEG)
39143109,TRUE,Sensor (IMU gait data)
39143616,TRUE,Biomechanical + Sensorimotor (wearable exoskeleton during TKAs)
39146234,FALSE,Other (Molecular simulation)
39146280,FALSE,
39147042,FALSE,
39147133,FALSE,
39147830,TRUE,"Imaging (MRI), Clinical metadata"
39148259,FALSE,
39148930,FALSE,
39148932,TRUE,Imaging (T1‑weighted MRI)
39149460,FALSE,
39149493,FALSE,
39150782,FALSE,
39151148,FALSE,
39151376,FALSE,
39151887,FALSE,"Public Health (epidemiology of metabolic diseases, DALYs/deaths analysis)"
39151894,FALSE,
39152127,FALSE,
39152359,FALSE,
39152475,FALSE,
39153834,TRUE,Clinical (plasma proteomics)
39153961,FALSE,
39154039,TRUE,"Imaging (T2-FLAIR MRI, radiomics + CNN classification for pLGG genetics)"
39154338,FALSE,
39154905,FALSE,
39155417,FALSE,
39155454,FALSE,
39155716,FALSE,
39155720,FALSE,
39155722,FALSE,
39156648,FALSE,
39158113,FALSE,
39158427,FALSE,Ethics Commentary (anorexia decision capacity; bioethics discussion)
39159140,FALSE,
39159446,FALSE,
39159584,FALSE,
39160016,TRUE,Imaging
39160211,FALSE,
39160586,FALSE,
39160644,TRUE,Clinical
39162740,FALSE,Professional Education (AI competence for healthcare providers)
39164888,TRUE,Clinical
39165097,FALSE,
39165145,TRUE,Imaging; Clinical
39165270,TRUE,Imaging
39165387,TRUE,Clinical; Sensor
39165503,FALSE,Clinical; Textual
39167442,TRUE,Clinical (EHR)
39167569,FALSE,
39168075,FALSE,
39168568,TRUE,Sensor; Clinical
39169095,FALSE,
39169245,FALSE,
39169408,TRUE,Sensor
39169480,FALSE,
39171102,TRUE,Clinical
39171205,TRUE,Imaging; Clinical
39171984,FALSE,
39172742,TRUE,Clinical
39172830,FALSE,
39173488,FALSE,
39173694,FALSE,
39175366,TRUE,Sensor
39175386,FALSE,
39176885,FALSE,
39176892,TRUE,Clinical (Service Util.)
39176900,TRUE,Clinical (EMR)
39176903,FALSE,
39176959,FALSE,
39177093,FALSE,
39178224,FALSE,
39178369,TRUE,Genomic (RNA‑seq); Clinical (ctDNA)
39178886,FALSE,
39178943,FALSE,Other (Proteomics)
39179588,FALSE,
39180117,FALSE,
39180304,FALSE,Other (Qualitative/Textual)
39180407,TRUE,Sensor (SEEG); Clinical
39180855,FALSE,Clinical (Control System)
39181958,FALSE,
39182418,TRUE,Imaging (fMRI)
39182775,FALSE,
39184692,FALSE,
39186764,TRUE,Clinical; Textual (EHR notes)
39186794,FALSE,Other (Cell morphology)
39187013,FALSE,
39187703,TRUE,Imaging (CT); Clinical
39189482,TRUE,Clinical (EHR structured data)
39189786,FALSE,
39191563,TRUE,Imaging (CT radiomic features)
39191756,FALSE,
39191772,TRUE,Genomic (cfDNA/ctDNA)
39194260,TRUE,Clinical; Pharmacokinetic (simulated)
39194400,TRUE,Imaging (CT scans)
39194990,FALSE,
39196703,FALSE,
39196891,FALSE,Other (Process-mining logs)
39196959,FALSE,
39197678,TRUE,Clinical; Imaging (clinicopathology)
39197681,FALSE,
39197760,FALSE,
39197980,FALSE,
39198137,TRUE,Imaging (MRI)
39198623,TRUE,Imaging + Clinical/Other (HIFU planning)
39198655,FALSE,
39199718,FALSE,
39201222,FALSE,
39202209,TRUE,Imaging (echocardiograms)
39203524,FALSE,
39204791,TRUE,Sensor; Imaging/Clinical (camera and sensor)
39205081,FALSE,
39207351,FALSE,Other (Wearables/apps commentary)
39208523,FALSE,
39209988,TRUE,"Imaging (MRI, multiple contrasts)"
39211048,FALSE,Clinical/Immunological (CD27 pathway)
39211428,FALSE,
39212671,TRUE,Imaging (cerebral ultrasound)
39212991,TRUE,Imaging (CT scans)
39213905,FALSE,
39214119,FALSE,
39214777,FALSE,Other (White paper/Review)
39216870,FALSE,
39217446,TRUE,Clinical; Sensor data (ECG‑AI)
39217803,FALSE,
39218845,FALSE,
39219096,TRUE,Imaging (camera selfies); Clinical
39219556,FALSE,
39220345,FALSE,Other (Textual/Ethnography)
39220549,FALSE,
39222561,FALSE,
39222663,TRUE,Imaging (fluorescein angiography)
39222907,FALSE,
39223133,FALSE,
39223171,FALSE,
39225775,TRUE,Imaging (PET radiomics)
39225790,TRUE,Imaging (fundus); Clinical
39226095,TRUE,Imaging (fundus)
39227061,FALSE,
39227660,FALSE,
39228010,FALSE,
39228995,FALSE,
39230789,FALSE,
39231549,TRUE,Clinical; Textual (genetic counselling RCT)
39232128,FALSE,
39232270,TRUE,Imaging; Genomic (histopathology + genomic)
39232812,FALSE,
39233007,FALSE,Other (Practice guidelines)
39234216,FALSE,
39236407,FALSE,
39236810,TRUE,Clinical; Sensor/Behavioral
39238140,TRUE,Clinical (Survey/Textual)
39239995,FALSE,Other (Materials science overview)
39240129,TRUE,Clinical (EHR); Imaging (Echo)
39240565,FALSE,
39242604,FALSE,
39244483,FALSE,
39245713,FALSE,
39246139,FALSE,Other (Position paper)
39247292,FALSE,
39247846,FALSE,
39248125,FALSE,
39249618,FALSE,
39250328,FALSE,Other (Clinical intervention)
39251880,FALSE,Commentary (Sensor/Behavioral)
39252427,FALSE,Other (Review/Editorial)
39252679,FALSE,
39252695,TRUE,Imaging (MRI)
39254193,FALSE,
39254470,FALSE,
39255470,FALSE,
39256075,FALSE,
39257289,TRUE,Clinical (Trial data)
39260829,FALSE,Other (Review/Commentary)
39261226,TRUE,Clinical (EHR)
39261642,FALSE,Other (Ethics Commentary)
39261740,FALSE,
39261837,FALSE,
39264706,FALSE,
39264972,TRUE,Imaging (DTI/fMRI white-matter connectivity)
39265163,FALSE,
39265481,FALSE,
39270714,TRUE,Sensor/Behavioral (accelerometer data)
39272633,TRUE,Clinical; Biomarker (Inflammatory protein panel)
39272680,FALSE,
39274208,TRUE,Textual (speech recordings)
39275505,FALSE,
39277668,FALSE,
39278469,TRUE,"Imaging (multimodal brain MRI: structural, functional, diffusion)"
39279844,FALSE,
39280352,FALSE,
39281042,TRUE,Sensor (mobile/Apple Health); Clinical (stress ratings)
39282630,FALSE,
39282795,FALSE,
39283190,TRUE,Clinical (ICU EHR)
39283589,FALSE,
39283667,TRUE,"Clinical (trial data: e‑cigarettes, weight)"
39284485,FALSE,
39284602,TRUE,Clinical (EHR-based ML warning)
39285176,FALSE,
39285345,TRUE,Clinical (biomarkers)
39285373,TRUE,Clinical; Genomic (pediatric ALL)
39286491,FALSE,
39287522,TRUE,Imaging (chest CT); Clinical
39287776,FALSE,
39290307,TRUE,Clinical (EHR/psychiatric)
39290362,TRUE,Clinical (transplant data)
39290876,FALSE,
39291994,FALSE,
39293215,FALSE,
39294334,FALSE,
39295471,TRUE,Sensor/Behavioral (mobile app depression)
39295734,FALSE,Other (in silico + phantom imaging data)
39297189,FALSE,
39297852,TRUE,Imaging (echo); Clinical (cohort outcomes)
39300081,FALSE,
39302455,FALSE,
39302479,FALSE,
39302582,FALSE,
39303472,FALSE,
39303691,FALSE,
39304601,FALSE,
39304672,TRUE,Clinical (EHR cohort)
39306801,TRUE,Clinical (survey + lesion features)
39306906,TRUE,Clinical; Genomic; Textual (recommender)
39307095,FALSE,"Other (metabolomics, clustering)"
39308760,FALSE,Other (imaging harmonization method)
39309658,FALSE,
39309663,TRUE,Clinical; Imaging (multimodal data)
39311140,FALSE,
39311919,TRUE,Clinical; Metabolomic
39312142,FALSE,
39312296,TRUE,Clinical/Other (AI–trial metadata)
39312500,FALSE,
39312778,FALSE,Other (LLM in guideline creation)
39313595,FALSE,
39314688,FALSE,Other (EEG processing guidelines)
39315514,FALSE,
39316160,TRUE,Clinical; Imaging (ICH prognostic ML)
39317757,FALSE,Other (AI policy commentary)
39317911,FALSE,
39318702,TRUE,Imaging (RSFC fMRI); Clinical (psychometric)
39319317,FALSE,
39319335,FALSE,
39319516,FALSE,
39321336,FALSE,
39321537,FALSE,
39322490,FALSE,
39323812,FALSE,
39324295,FALSE,
39324357,TRUE,Clinical; Multi-study surgical ML
39325010,TRUE,Clinical; Transcriptomic (TME score)
39325425,FALSE,
39325508,FALSE,Other (Guideline consensus)
39325686,FALSE,
39325691,FALSE,Other (Protein–metabolite ML)
39325959,FALSE,
39326263,FALSE,
39326743,FALSE,
39328929,TRUE,Clinical; Imaging (MR-guided RT plans)
39329626,FALSE,
39330030,TRUE,Clinical (EHR/lab values)
39330487,TRUE,Genomic; Metabolomic; Transcriptomic
39330540,FALSE,
39330905,FALSE,
39331565,FALSE,
39332081,TRUE,Sensor (EEG)
39333580,FALSE,
39334143,FALSE,Other (Plant tissue culture ML)
39335379,FALSE,
39335390,FALSE,
39337060,TRUE,Sensor/Behavioral; Textual (VR speech)
39337104,FALSE,
39338033,FALSE,
39338662,FALSE,
39338830,FALSE,
39338848,TRUE,Sensor (EEG)
39342676,FALSE,Other (Simulation; ECG methodology)
39344066,FALSE,
39344772,TRUE,Sensor/Behavioral (knee biomechanics)
39347450,FALSE,
39348189,FALSE,Other (simulated vignettes)
39349065,TRUE,Clinical; Textual; Labs; Vitals
39349642,FALSE,
39349818,FALSE,
39349864,FALSE,
39353189,FALSE,
39353303,FALSE,
39353461,TRUE,Imaging (MRI); Clinical data
39354219,FALSE,Other (Letter/commentary)
39354632,FALSE,
39357799,FALSE,
39358379,FALSE,Other (Planetary modeling)
39360189,FALSE,Textual/Phenology (Plant science)
39360579,FALSE,
39360851,FALSE,Other (Neuropathology review)
39361051,FALSE,
39361325,FALSE,
39362762,TRUE,"Imaging (SPECT, CT); Clinical"
39362974,FALSE,
39363013,FALSE,
39363322,FALSE,
39365655,FALSE,Other (LLM/Textual commentary)
39368996,TRUE,Imaging (MRI); Clinical (Genetic correlation)
39369015,FALSE,
39369312,FALSE,Other (Methodology/Measurement accuracy)
39370551,FALSE,
39371527,FALSE,Other (Policy/Ethics commentary)
39372456,TRUE,Imaging (CCTA)
39372459,TRUE,Imaging (echocardiogram video) + Clinical
39373438,FALSE,Other (Quantum simulation ML)
39373492,FALSE,
39374375,FALSE,
39374978,TRUE,Textual/Clinical (survey dataset)
39375316,FALSE,
39377792,TRUE,Clinical; Behavioral (criminal offense predictors)
39377901,TRUE,Clinical; Surgical outcomes
39378622,FALSE,Proteomic/Chromatography
39378691,FALSE,
39378772,FALSE,
39380092,FALSE,Other (metabolomics in mice)
39380895,FALSE,
39381140,FALSE,
39383676,FALSE,
39385257,TRUE,Imaging (echocardiogram) + Clinical
39385801,TRUE,Clinical (EHR/lab data)
39385845,TRUE,Imaging (CMR scans)
39388213,FALSE,
39390632,FALSE,
39392111,FALSE,
39393085,FALSE,Physical Chemistry/Computational
39394122,FALSE,
39394211,FALSE,
39394473,FALSE,Other (environmental ML methods)
39395154,TRUE,Clinical (assessment scores)
39395202,FALSE,
39395210,FALSE,Imaging (retinal fundus); Method challenge dataset
39395724,FALSE,Other (computational model/image fusion)
39396189,FALSE,
39397017,FALSE,
39397290,TRUE,Textual (education/nursing assignments)
39397816,FALSE,Textual + Image (multimodal chemical mining)
39398421,FALSE,
39399054,TRUE,Sensor (EEG); Clinical (pain sensitivity biomarker)
39400305,FALSE,
39400567,TRUE,Imaging (cardiac MRI/CMR belt sports athletes)
39401600,FALSE,
39402535,FALSE,
39402625,FALSE,Genomic (in silico/RNA‑seq pipeline)
39404416,FALSE,
39405314,FALSE,
39405390,TRUE,"Imaging (CCTA plaque quantification, deep learning)"
39409286,FALSE,
39409347,TRUE,Sensor (inertial IMU); Clinical (manual wheelchair propulsion)
39409353,FALSE,Sensor (IoT localization via DNN)
39409425,FALSE,
39409470,FALSE,
39409480,FALSE,
39409523,TRUE,Sensor (bed-load cells)
39409899,FALSE,
39410555,TRUE,Clinical (EHR); Textual (NLP named entity recognition)
39412991,FALSE,
39413784,FALSE,
39413795,FALSE,Other (peptidomics workflow; proteomics + transcriptomic + clinical)
39415214,FALSE,
39415942,FALSE,
39417143,TRUE,Imaging (volumetric MRI); Clinical (gait/neuropsych)
39417677,FALSE,
39418366,FALSE,
39419847,FALSE,
39420135,FALSE,Other (single-cell network inference)
39421012,FALSE,
39422586,FALSE,
39423564,TRUE,Imaging (histopathology slides); Clinical
39424073,TRUE,Clinical (registry); Outcomes
39424499,FALSE,Other (protocol/scoping review)
39424635,TRUE,Sensor (audio cough sounds); Clinical metadata
39424855,FALSE,
39424948,FALSE,Other (ethics assessment tool description)
39425951,FALSE,Other (Research ethics viewpoint)
39426036,FALSE,❓Unknown
39427574,FALSE,
39427991,FALSE,
39428880,TRUE,Imaging (fMRI neurofeedback)
39429874,FALSE,Other (bulk/single-cell microbiome review)
39430511,FALSE,
39431809,TRUE,Clinical + Surgical (OR complexity)
39432516,FALSE,
39433733,FALSE,Other (photonic tensor core hardware study)
39435397,TRUE,Clinical (EHR/administrative health data)
39435450,FALSE,Other (ML models for peptide bioactivity)
39435472,TRUE,Sensor (saliva Raman) + Clinical (COVID status)
39437603,FALSE,
39438527,FALSE,Other (integrated mobile clinics commentary)
39438551,TRUE,Clinical; Lifestyle questionnaire
39439213,TRUE,Imaging (histopath slide review)
39439627,TRUE,Clinical; Imaging (CBCT-guided SABR)
39441075,FALSE,Other (Plant omics resource description)
39441598,FALSE,Clinical + Imaging (AI chatbot benchmarking)
39441796,FALSE,Structural (protein–protein interactions)
39441897,FALSE,Other (robotic cell manipulation)
39442384,TRUE,Imaging (CT body composition)
39442454,FALSE,
39443525,FALSE,
39443629,TRUE,Imaging (MRI radiomics); Clinical
39444331,TRUE,Clinical; Sensor/Ventilator waveform analysis
39445836,FALSE,
39446304,TRUE,Imaging (4D respiratory CBCT)
39446657,FALSE,Other (anesthesia research vision statement)
39447096,TRUE,Imaging (histopathology) + Clinical
39447688,TRUE,Imaging (fMRI connectivity) + Clinical
39447842,FALSE,
39448369,FALSE,Other (infection surveillance commentary)
39450049,TRUE,Imaging (3D T1‑weighted MRI); Clinical (MS demographics)
39450736,FALSE,
39451503,TRUE,Clinical; Textual; Questionnaires (MSES & RNLI)
39452006,TRUE,Imaging (DTI FA values); Clinical (TLE demographics)
39453102,FALSE,
39453409,FALSE,
39453412,FALSE,Other (AAPM QA guidelines on robotic radiosurgery)
39453878,TRUE,Clinical (EHR/administrative); Sensor features via deep feature synthesis
39454372,FALSE,
39455713,FALSE,
39459832,FALSE,
39460159,FALSE,
39460487,FALSE,
39460933,FALSE,
39461956,FALSE,Other (Silicon photonic security/PUF)
9463128,TRUE,Imaging (CT radiomics)
39464130,FALSE,Other (preclinical computational)
39465261,FALSE,
39466099,FALSE,Other (platform description)
39466358,FALSE,
39466423,FALSE,
39468586,FALSE,Other (Embryo morphology imaging)
39468626,FALSE,
39470044,FALSE,Other (Policy review – AI governance)
39470297,TRUE,"Clinical (Demographics, HAM-D scores, Genetics)"
39470422,TRUE,Imaging (mpMRI segmentation) + Clinical
39470660,TRUE,Sensor (uroflowmetry via sound)
39470681,FALSE,Other (AI chatbot evaluation)
39470955,FALSE,
39471234,TRUE,Clinical; Socioeconomic predictors (EHR)
39472236,FALSE,
39472484,FALSE,Sensor + Mechanical (Fluid dynamics)
39473368,FALSE,
39475656,TRUE,Clinical; EHR/ED visit predictors (oncology)
39475693,FALSE,
39477930,FALSE,Other (Microbial structural biology)
39478004,TRUE,Imaging (ROP fundus photos)
39478913,FALSE,
39479356,FALSE,
39481033,FALSE,
39483192,FALSE,Other (conference ethics summary)
39484089,TRUE,Clinical (EHR/surg data) + Imaging (post-op outcomes)
39484366,FALSE,
39486343,FALSE,
39486813,FALSE,
39487434,TRUE,Clinical (cohort data) + Genomic/symptom predictors
39488053,FALSE,Other (genomic variant database entry)
39490015,FALSE,
39490695,FALSE,
39495097,FALSE,
39495449,FALSE,
39496168,FALSE,
39498698,FALSE,
39498885,FALSE,
39499532,FALSE,Other (computational compound screening)
39500028,TRUE,Imaging (4D CTP) + Clinical (metadata)
39501360,FALSE,Other (simulation/computation in method comparison)
39502287,FALSE,
39502452,TRUE,Imaging (MRI FLAIR)
39503604,TRUE,Imaging (abdominal CT)
39508981,FALSE,
39509384,FALSE,
39509543,FALSE,
39509585,FALSE,
39509811,FALSE,
39510141,TRUE,Imaging (PSMA PET/multiparametric MRI) + Clinical
39511103,TRUE,Imaging (structural & functional connectomes via MRI/DTI) + Clinical
39511143,TRUE,Imaging (breast MRI) + Clinical (neoadjuvant therapy response)
39511301,TRUE,Imaging (H&E histopathology) + Genomic (RNA-seq cell quant)
39511921,FALSE,Other (Program descriptive—for Africa‑FINGERS dementia prevention)
39513447,FALSE,
39513706,FALSE,
39513745,TRUE,Clinical; Viral load dynamics
39513940,TRUE,Genomic (multi‑region sequencing)
39515502,TRUE,Clinical; Sensor/ECG
39515818,TRUE,Clinical; Survey/Textual (ED virtual triage)
39516139,FALSE,Other (Clinical practice recommendations – pain)
39516141,FALSE,Other (Pain-assessment clinical position statement)
39516292,FALSE,
39517699,TRUE,Sensor (bed sensors); Clinical (staff focus groups)
39517707,FALSE,
39517834,TRUE,Sensor (vaginal dynamometry); Clinical (muscle contraction)
39519384,TRUE,Clinical; Metabolomic (plasma biomarkers for breast cancer)
39522157,FALSE,
39522429,FALSE,❓Unknown (likely genomic variant data)
39522892,TRUE,Imaging (MRI/fMRI); Clinical (fibromyalgia severity correlations)
39523365,FALSE,Other (Developmental psychology)
39523535,TRUE,"Clinical (PHQ‑9, GAD‑7 scores from EHR)"
39523740,FALSE,
39526423,FALSE,
39526523,FALSE,
39526583,FALSE,
39526672,FALSE,
39529702,TRUE,Imaging (CT-based simulation) + Case report
39532560,FALSE,
39532933,TRUE,"Clinical (demographics, disease features)"
39535777,FALSE,
39538148,TRUE,Clinical (COVID-19 comorbidities)
39538197,TRUE,Clinical (EHR/admin codes) + Longitudinal data
39539499,FALSE,Other (computational neuroscience)
39540986,FALSE,Other (Reinforcement learning for home care scheduling)
39541188,FALSE,
39543155,TRUE,Imaging (MRI features + clinical RT phenotypes)
39543390,FALSE,
39543820,TRUE,Sensor (EEG monitoring in neonates) + Clinical outcomes
39544176,TRUE,Imaging (MRI-based tumor location distributions)
39545207,FALSE,Textual (AI-generated residency statements)
39546235,FALSE,
39546793,FALSE,
39546876,FALSE,
39546940,TRUE,Clinical; Textual (EHR SDOH extraction)
39547458,FALSE,
39553535,FALSE,
39553826,FALSE,
39554598,FALSE,
39554880,FALSE,
39555243,FALSE,
39555321,TRUE,Clinical; Imaging & Surgical
39556102,FALSE,
39557736,FALSE,Other (tool/checklist validation: RIDGE for DL segmentation)
39557985,FALSE,
39558756,FALSE,
39560185,TRUE,"Imaging (lesion volume, fMRI, ALFF)"
39560355,FALSE,
39560909,TRUE,Clinical (ED triage via EHR)
39561305,FALSE,
39561445,FALSE,
39562606,TRUE,Clinical (routine labs); Genomic labels for CA
39565826,FALSE,
39565918,FALSE,
39567590,FALSE,Sensor/Simulation (geophysics + ML)
39569353,FALSE,Other (deep reinforcement learning sim)
39569866,TRUE,Sensor (neuroprosthesis calibration data)
39570833,FALSE,
39571686,FALSE,
39573886,FALSE,
39574505,TRUE,Imaging (pCASL & structural MRI) + Clinical (PTSD/Healthy controls)
39574865,TRUE,Imaging (structural MRI; brain age models) + Clinical (stroke)
39575878,FALSE,
39577351,TRUE,Sensor (aortic pressure waveform) + Clinical (STEMI outcomes)
39578510,FALSE,
39579746,TRUE,Clinical; Textual (self-reported mood/anxiety via PD‑PROP)
39580084,FALSE,
39580772,FALSE,Other (computational drug design)
39581301,TRUE,"Clinical; Tabular (lab data, genomic labels)"
39581785,TRUE,Imaging (Hyperpolarized ¹²⁹Xe & ¹H MRI) + Clinical
39582547,FALSE,Other (AI ethics narrative review)
39583805,FALSE,
39585761,FALSE,Textual (cognitive model + psych data)
39586755,FALSE,
39587162,FALSE,
39587223,FALSE,
39587801,TRUE,Clinical Trial Metadata
39588857,FALSE,
