"pid","combined_modalities"
"29679492","{""Clinical plans\""]"",""[\""DVHs"",""organ-at-risk\""]""}"
"29689632","{""[\""Ultrasound\""]""}"
"29748112","{""[\""Video\""]""}"
"29766373","{""[\""MRI\""]""}"
"29775951","{""[\""Image\""]"",""[\""Retinal Blood Vessel\""]""}"
"29803920","{""[\""Anterior-posterior (AP)"",""Lateral (LAT)\""]""}"
"29860189","{""[\""Nasal airflow\""]""}"
"29879201","{""[\""nursing notes\""]"",""[\""Text\""]""}"
"29890954","{""Electronic Records\""]"",""[\""MRSA Colonization"",""[\""Text\""]""}"
"29893482","{""needle insertion\""]"",""[\""robot""}"
"29905649","{""[\""Functional MRI\""]"",""[\""MRI\""]""}"
"29964127","{""[\""Microsoft Azure Machine Learning Studio\""]"",""[\""Text\""]""}"
"29969172","{Clinical,""[\""Demographic"",""[\""Imaging\""]"",""Imaging and Operative Data\""]""}"
"30010088","{""[\""ECG\""]"",""[\""Electrocardiogram\""]""}"
"30012102","{""Cerebrospinal fluid samples\""]"",""CT scan\""]"",""[\""MRI""}"
"30012686","{""[\""Brain Imaging\""]"",""[\""Functional magnetic resonance imaging (fMRI)\""]""}"
"30015242","{""[\""Human"",""Machine\""]""}"
"30060575","{""Apparent Diffusion Coefficient\""]"",""[\""MRI"",""[\""MRI\""]""}"
"30064263","{""[\""dermoscopy"",""[\""Dermoscopy"",""hypodermoscopy\""]"",""Hypodermoscopy\""]""}"
"30111303","{""Gestational weight gain\""]"",""[\""Maternal characteristics""}"
"30121208","{""[\""magnetic resonance imaging"",""MRI\""]"",""[\""TMS"",""transcranial magnetic stimulation\""]""}"
"30150560","{""3D\""]"",""[\""3-dimensional (3D) linear accelerations\""]"",""[\""linear accelerations""}"
"30155514","{attentional,""[\""Cognitive"",""[{\""Modality\"": \""Cognitive"",""Motor\""]"",""Variables\"": [\""executive"",""Variables\"": null}]"",""visuoperceptive\""]}, {\""Modality\"": \""Motor""}"
"30216352","{""Clinical\""]"",""Clinical variables\""]"",Genetic,""Genetic variables"",""[\""Magnetic Resonance Imaging (MRI)"",""[\""Magnetic resonance (MR) imaging""}"
"30216362","{""Clinical data\""]"",""[\""Image data"",""[\""microarray\""]""}"
"30243203","{""[\""Cognitive"",""Repeatable Battery for the Assessment of Neuropsychological Status (RBANS)\""]"",""[\""robotic technology"",""Sensorimotor\""]""}"
"30243670","{""[\""MR\""]"",""[\""MRI\""]""}"
"30306886","{""Amygdala complex functional connectivity\""]"",""[\""fMRI\""]"",""[\""Resting-state mALFF""}"
"30352783","{""[\""Magnetic Resonance Imaging\""]"",""[\""MRI\""]""}"
"30383850","{""[\""Demographic data\""]""}"
"30412826","{""[\""Graph"",""Image\""]"",""[\""Magnetic Resonance Imaging (MRI)\""]""}"
"30442636","{""[\""Pain Scores\""]""}"
"30465152","{""[\""ECG"",""[\""ECG\""]"",""LV endocardial pacing\""]""}"
"30519968","{""Imaging\""]"",""[\""Neurocognitive performance\""]"",""[\""Neuropsychological tests""}"
"30545401","{""[\""16S rRNA gene amplicon sequencing\""]"",""[\""genomic data\""]""}"
"30552264","{""[\""Humanoid robot interaction\""]"",""[\""Text\""]""}"
"30603188","{""[\""speech"",""[\""Speech\""]"",""voice\""]""}"
"30607709","{""[{\""value\"": \""radiation therapy\""}, {\""value\"": \""chemotherapy\""}]""}"
"30614553","{""Texture features\""]"",""[\""Ultrasonography\""]"",""[\""Ultrasound (US)""}"
"30622091","{""[\""Electronic Health Records\""]"",""[{\""modality\"": \""laboratory tests\""}]""}"
"30629589","{""[\""health records\""]"",""[\""Lung Side"",""Platelet Count\""]""}"
"30662456","{""{\""Kinesthesia\"": null, \""Proprioception\"": null}"",""Robotic\""]"",""[\""Sensorimotor function""}"
"30686984","{""[\""fMRI\""]"",""[\""Functional Magnetic Resonance Imaging\""]""}"
"30688092","{Cognitive,""[{\""modality\"": \""sensorimotor\""}, {\""modality\"": \""cognitive\""}]"",""Proprioceptive\""]"",""[\""Sensorimotor""}"
"30688670","{""[\""text\""]""}"
"30701625","{""Diffusion weighted imaging\""]"",""[\""MRI"",T2-weighted}"
"30709363","{""Knee\""]"",""[\""Knee flexion angle"",""[\""Thigh"",""Thigh-segment acceleration\""]"",""Thigh-segment angular velocity""}"
"30709409","{""Force\""]"",""[\""Kinematic data (elbow movement), electromechanical signals\""]"",""[\""Motion""}"
"30734544","{""[\""EEG"",""fNIRS\""]""}"
"30739867","{""[{\""gene_expression\"": [\""RNA sequencing"",""Reduced representative bisulfite sequencing and assay for transposase-accessible chromatin sequencing\""]"",""[\""RNA sequencing"",""Stable isotope labeling with amino acids in cell culture"",""stable isotope labeling with amino acids in cell culture\""]}, {\""protein_expression\"": null}, {\""other\"": null}]""}"
"30770034","{""Blood Collection\""]"",""[\""HRV"",""[\""Physiological data\""]""}"
"30771620","{""Modality\"": \""Gene Ontology analysis\""}]"",""Modality\"": \""Genetics\""}, {\""Type\"": \""Research"",""[\""Text\""]"",""[{\""Type\"": \""Clinical""}"
"30785881","{""[\""mechanically ventilated children\""]"",""[\""Mechanically ventilated children\""]""}"
"30809047","{""[\""Computed Tomography (CT)\""]"",""[\""Computed Tomography Image\""]""}"
"30831526","{""gait\""]"",""[\""vision"",""[\""Vision\""]""}"
"30818293","{""[\""EEG\""]"",""[{\""Text\"": null, \""Label\"": \""EEG\""}, {\""Text\"": null, \""Label\"": \""Button clicks\""}]""}"
"30818294","{""[\""Computed Tomography (CT)\""]"",""[\""Dosimetric parameters"",""Geometric parameters\""]""}"
"30833164","{""[\""CT examinations\""]""}"
"30839433","{""Country\"": \""Canada\""}]"",""[\""Functional MRI\""]"",""[{\""Tag\"": \""Toronto, ON""}"
"30853041","{""[\""Audio"",""breath sounds\""]"",""Physiological signals\""]"",""[\""sound""}"
"30921785","{""[\""Radiation Medicine Program\""]""}"
"30941679","{""Mobile Point-of-Care\""]"",""[\""Ultrasound"",""[\""Ultrasound\""]""}"
"30947300","{""Comorbidities\""]"",""[\""Imaging features"",""Patient demographics""}"
"30959966","{""Clinical\""]"",""Copy number alteration\""]"",""[\""Gene expression"",""[\""Genomic""}"
"30963519","{""[\""Cerebral oxygen saturation"",""[\""Cognitive Visuospatial Task"",""Neurological assessment\""]"",""Robotics Technology\""]""}"
"30972106","{""clinical information\""]"",""[\""Gene expression"",""[\""Genomic profiles"",""Therapy\""]""}"
"31006909","{""[\""Magnetic Resonance Imaging\""]"",""[\""MRI\""]""}"
"31012754","{""Audio\""]"",""[\""semi-structured interviews\""]"",""[\""Text""}"
"31026023","{""[\""RNA sequencing\""]"",""[\""Transcriptome\""]""}"
"31061005","{""age\""]"",""Age\""]"",""[\""text"",""[\""Text""}"
"31071228","{""[\""3D ultrasound images\""]"",""[\""Ultrasound\""]""}"
"31075395","{""[\""Imaging\""]""}"
"31077314","{""[\""Cognitive"",""[\""cognitive measures"",""structural measurements\""]"",""Structural neuroimaging\""]""}"
"31077500","{""[\""Arterial spin labeling (ASL) MRI\""]"",""[\""MRI\""]""}"
"31085302","{""[\""image\""]"",""[\""Image\""]""}"
"31101443","{""Brightness-mode\""]"",""brightness-mode (B-mode)\""]"",""[\""Radiofrequency"",""[\""radiofrequency (RF)""}"
"31106580","{[],""Image\""]"",""[\""Text""}"
"31133782","{""{\""ECG\"": true, \""EMG\"": true, \""SCL\"": true}"",""Electrocardiogram (ECG)\""]"",""[\""Electromyogram (EMG)"",""Skin Conductance Levels (SCL)""}"
"31158822","{""Multichannel PSG recordings\""]"",""[\""Polysomnographic (PSG) signals"",""[\""Polysomnographic (PSG) signals\""]""}"
"31163373","{""[\""handgrip"",""ramp-hold\""]"",""[\""transcranial magnetic stimulation\""]""}"
"31174510","{""[\""Heart rate\""]"",""Modality\"": \""Image Data\""}]"",""Modality\"": \""Text Data\""}, {\""Type\"": \""Sleep Stage Classification"",""[{\""Type\"": \""Survey Responses""}"
"31186508","{""[\""Spectra\""]""}"
"31191926","{""[\""classification"",""[\""motion\""]"",""segmentation\""]""}"
"31194873","{""[\""actigraphy"",""[\""Actigraphy"",""polysomnography\""]"",""Polysomnography\""]""}"
"31219947","{""[\""16S rRNA gene amplification"",""[\""Bacterial taxa\""]"",""Whole-genome sequencing\""]""}"
"31255408","{""[\""Sensor data\""]"",""[\""wearable sensors\""]""}"
"31285340","{""[\""3D microscopy"",""image analysis\""]"",""Image analysis\""]"",""[\""Microscopy""}"
"31285702","{""[\""Media reports"",""Official reports"",""Social media"",""[\""text\""]"",""Twitter\""]""}"
"31286534","{""[\""Computed Tomography"",""[\""CT scan\""]"",""Random Forest\""]""}"
"31318580","{""Label\"": \""METHODS"",""Label\"": \""RESULTS"",""[\""Medical procedures\""]"",""NlmCategory\"": \""METHODS\""}]"",""NlmCategory\"": \""RESULTS\""}, {\""Text\"": \""A nonrandomized two-group pre- and posttest design was used to compare pain and fear of children before and after intervention versus standard care."",""[{\""Text\"": \""Children (n=18), who interacted with the robot before and during a procedure, and their parents reported significantly lower levels of fear and pain than did children (n=28) and their parents in standard care,""}"
"31320356","{""[\""auditory"",""[\""electroencephalogram (EEG)\""]"",""visual\""]""}"
"31325722","{""[\""Ultrasound\""]"",""{\""Ultrasound\"": true}""}"
"31369338","{""[\""Unstructured Clinical Text\""]""}"
"31357650","{""[\""Electromyography\""]"",""[\""Electromyography (EMG)\""]""}"
"31365273","{""[\""Administrative data"",""[\""Administrative pharmacy data\"", null]"",""Pharmacy records\""]""}"
"31404130","{""[\""facial expressions"",""[\""Facial expressions"",""physiotherapy examination\""]"",""Physiotherapy examination\""]""}"
"31404972","{""lower inference quantization"",""[\""Sensor Data\""]"",""sensor failure\""]"",""[\""thermal noise""}"
"31405148","{genetic,""protein expression\""]"",""[\""radiomic"",""[\""tumor volumes\""]""}"
"31406675","{""[\""Brightfield images\""]"",""[\""Image"",""Text\""]""}"
"31428758","{""depth\""]"",""[\""Video\""]"",""[\""vision""}"
"31438207","{""[\""dialogue"",medications,""symptoms\""]"",""[\""Text\""]""}"
"31438445","{}"
"31449531","{""[\""Microscopy images\""]"",""[\""Super-resolution microscopy images\""]""}"
"31455518","{""Demographic Data\""]"",""[\""Magnetic Resonance Imaging\""]"",""[\""MRI""}"
"31456317","{""ADC map\""]"",""[\""MRI""}"
"31465977","{""[\""IMU"",""[\""Inertial Measurement Unit (IMU)"",""sEMG\""]"",""Surface Electromyography (sEMG)\""]""}"
"31472262","{""[\""FLAIR MRI\""]""}"
"31473518","{""[\""Anterior-posterior (AP)"",""[\""Anterior-posterior (AP) view"",""Lateral (LAT)\""]"",""Lateral (LAT) view\""]""}"
"31476750","{""3D\""]"",""[\""Dynamic imaging"",""[\""Magnetic Resonance Imaging\""]""}"
"31507022","{""[\""FDG-PET images\""]"",""[\""PET images\""]""}"
"31513622","{""[\""EEG\""]""}"
"31517022","{""[\""MRI\""]""}"
"31518278","{""RAI-HC\""]"",""[\""Wearable"",""[\""Wearable Sensor Data\""]""}"
"31520320","{""Clinical\""]"",""[\""Image"",""[\""Neuropsychological"",""Text\""]""}"
"31525468","{""Clinical\""]"",""[\""Image""}"
"31526255","{""[\""Dual-energy x-ray absorptiometry\""]"",""[\""Dual-Energy X-ray Absorptiometry"",""Vertebral Fracture Assessment\""]""}"
"31542453","{""[\""Respiratory\""]"",""[\""Spirometry\""]""}"
"31576001","{""Digital Slides\""]"",""[\""Images\""]"",""[\""Whole Slide Images""}"
"31581142","{""[\""Electrical signals"",""[\""Electrophysiology\""]"",""Mechanical stimuli\""]""}"
"31599345","{""Clinical\""]"",""Modified Ashworth Scale\""]"",""[\""Neurological"",""[\""soleus Hoffmann reflexes""}"
"31609046","{""[\""Image"",""[\""Image\""]"",""MRI\""]""}"
"31615566","{""[\""Age"",""Blood pressure\""]"",""Body mass index"",""demographic data\""]"",""Fasting blood glucose"",""High-density lipoprotein"",""[\""laboratory results"",Sex,Triglycerides}"
"31633863","{""[\""MRI\""]"",""[\""T1-weighted MRI\""]""}"
"31638491","{""[\""CT"",""MRI\""]""}"
"31650017","{""[\""retina\""]""}"
"31655612","{""kinesthetic\""]"",""[{\""Modality_Name\"": \""Motor\""}]"",""[\""motor""}"
"31666135","{""Proprioception\""]"",""Robotics\""]"",""[\""Vision""}"
"31675444","{""[\""Computed Tomography (CT)"",""Fluence\""]"",""[\""Image"",""Three-Dimensional\""]""}"
"31683260","{""[\""Computed-Tomography (CT)"",""[\""Head and Neck CT images\""]"",""Images\""]""}"
"31694835","{""Exome sequencing"",""[\""Histology"",""[\""Histology and molecularly characterized by cytology and histology, exome sequencing, and RNA-sequencing analysis\""]"",""RNA-sequencing analysis\""]""}"
"31723436","{""Brain parenchymal fraction\""]"",""Demographics\""]"",""[\""EDSS"",""[\""Imaging"",MSFC,""T2 lesion volume""}"
"31730620","{""[\""Gene expression values (≈ words)"",microarrays,""microarrays\""]"",""[\""mRNAseq"",""mRNAseq modality\""]""}"
"31737980","{""[\""3-dimensional T1-weighted MRI\""]"",""[\""T1-weighted MRI\""]""}"
"31746764","{""[\""App Use"",""Pain Statistics\""]"",""{\""Text\"": null, \""Audio\"": null}""}"
"31758044","{""[\""EEG"",""ERP\""]""}"
"31795063","{""[\""Fluorodeoxyglucose positron emission tomography\""]"",""[\""MRI"",""Positron Emission Tomography\""]""}"
"31797592","{""[\""text\""]""}"
"31798403","{""[\""EEG\""]""}"
"31800431","{""Surgical simulation\""]"",""[\""Virtual reality"",""[\""Virtual Reality\""]""}"
"31812131","{""[\""Magnetic Resonance (MR)\""]"",""[\""MR images\""]""}"
"31816503","{""[\""image data"",""[\""Medical Imaging\""]"",""text data\""]""}"
"31822130","{""audio\""]"",""[\""robotic pet seal"",""[\""video"",""video recording\""]""}"
"31832652","{""Artificial Intelligence\""]"",""[\""Virtual Reality""}"
"35174892","{""[\""Imaging"",""[\""MR\""]"",""Ultrasound\""]""}"
"31860899","{""Fluoroscopy\""]"",""[\""Ultrasound"",""[\""Ultrasound\""]""}"
"31863034","{""[\""Diffusion-Weighted Magnetic Resonance Imaging (DWI)\""]"",""[\""Imaging\""]""}"
"31867331","{""Calcium homeostasis"",""Mitochondrial function\""]"",""[\""Text""}"
"31883208","{""[\""Ankle proprioception\""]"",""gait speed\""]"",""[\""torque perturbations""}"
"31918991","{cognitive,""[\""motor"",""sensory\""]"",""[\""Upper limb sensorimotor and cognition functions\""]""}"
"31950862","{""[\""3D multiple object tracking\""]"",""[\""NeuroTracker\""]""}"
"31955415","{""2D\""]"",""3D\""]"",""[\""3D LGE-MR"",""[\""MRI""}"
"31964625","{""[\""Affiliation\""]"",""[{\""Modality\"": \""CD8[+] T cells\""}, {\""Modality\"": \""IL22-producing CD8[+] Tc22 subset\""}]""}"
"31967531","{""[\""Auditory"",""Auditory feedback"",""[\""Eye gaze"",""Vibrotactile\""]"",""Vibrotactile feedback\""]""}"
"31973994","{""Questionnaire\""]"",""[\""Survey""}"
"31989163","{""[\""blood"",""brain\""]"",""Clinical Deterioration\""]"",""[\""Gene Expression"",Neuropathology}"
"32003517","{""Clinical\""]"",""[\""MRI"",""[\""MRI\""]""}"
"32013871","{""[\""CT"",""[\""CT images\""]"",""Images\""]""}"
"32045708","{""logistic regression\""]"",""[\""machine learning"",""[\""mJOA score"",""SF-36 (MCS) and PCS\""]""}"
"32054511","{""[\""Robot\""]"",""[\""Sensorimotor_control"",""Visuospatial_skills\""]""}"
"32055239","{[]}"
"32056739","{""[\""Administrative\""]"",""[\""text\""]""}"
"32064241","{""[\""Sagittal"",""Ultrasound\""]"",""[\""Ultrasound images\""]""}"
"32076662","{""[\""Magnetic Resonance Imaging\""]"",""[{\""modality\"": \""image"",""quantity\"": 100}, {\""modality\"": \""video"",""quantity\"": 50}]""}"
"32088358","{[],""[\""symptom assessments\""]""}"
"32109360","{""[\""bacterial"",""fungal\""]"",""[{\""Modality\"": \""DNA sequencing\""}, {\""Modality\"": \""RNA sequencing\""}]""}"
"32111185","{""[\""Genomics"",""Machine learning\""]"",""[\""Whole-exome sequencing\""]""}"
"32130646","{""CT\""]"",""[\""ECG"",""[\""ECG-gated CT volumes\""]""}"
"32135531","{""[\""Magnetic Resonance Imaging\""]"",""[{\""Modality\"": \""MRI\""}]""}"
"32144629","{""[\""3D Surface Models"",""[\""Structured Light Scanning\""]"",""Texture Information\""]""}"
"32152777","{""Classification\""]"",""[\""Microvascular breast reconstructions\""]"",""[\""Text""}"
"32164378","{""[\""Apparent diffusion coefficient (ADC) imaging"",""CHB-DWI\""]"",""Computed high-b value diffusion weighted imaging (CHB-DWI)"",""Diffusion weighted imaging (DWI)\""]"",""[\""DWI""}"
"32164523","{""[\""Gene expression data\""]""}"
"32166265","{""[\""Clinical\""]"",""Laboratory values\""]"",""[\""Medical records""}"
"32166768","{""[\""3D Transrectal Ultrasound\""]"",""[\""3D transrectal ultrasound images\""]""}"
"32174253","{""{\""Image_Texture_Variables\"": 31}"",""[\""Ultrasound\""]""}"
"32179311","{""Coronary angiography\""]"",Echocardiography,""[\""Electrocardiography"",""electrocardiography, echocardiography, magnetic resonance imaging, and coronary angiography"",""Magnetic resonance imaging""}"
"32193665","{""[\""Computerized Tomography\""]"",""[\""CT scans"",""Histopathology\""]""}"
"32204950","{""[\""Clinical\""]"",""[\""detailed clinical information\""]""}"
"32208981","{""Other\""]"",""[\""Video"",""[\""Video-recordings\""]""}"
"32222642","{""[\""Dose\""]"",""[\""dose distributions"",""predicted dose distributions\""]""}"
"32232546","{""[\""16S rRNA-based high-throughput sequencing\""]"",""[{\""text\"": \""Fasting insulin and glucose levels\""}, {\""text\"": \""insulin resistance was calculated with the homeostasis model assessment of insulin resistance (HOMA-IR)\""}]""}"
"32246035","{""[\""Magnetoencephalography\""]"",""[\""MEG connectome profiles\""]""}"
"32248366","{""[\""CT\""]"",CT}"
"32250302","{""Clinical\""]"",""[\""Image"",""[\""Neuroimaging""}"
"32273836","{""[\""T1"",""[\""T1-weighted"",""T2\""]"",""T2-weighted\""]""}"
"32304875","{""[\""text\""]"",""text, structured data""}"
"32317241","{""[\""Dosimetry"",""[\""prostate brachytherapy\""]"",""Treatment plan modifications\""]""}"
"32319263","{""[\""Raman spectroscopy\""]""}"
"32328674","{""[\""Hand Radiographs\""]"",""[\""X-ray\""]""}"
"32329074","{""[\""Computed Tomography\""]""}"
"32356095","{""RF data\""]"",""[\""Ultrasound image\""]"",""[\""Ultrasound imaging""}"
"32361562","{""[\""demographic\""]""}"
"32365192","{""[\""blood\""]"",""[\""MicroRNA\""]""}"
"32369563","{""deep neural network\""]"",""[\""Tensor\""]"",""[\""tensor factorization""}"
"32379801","{""[\""marker positions on FOs surfaces\""]"",""Markers\""]"",""[\""Optoelectronic system""}"
"32387817","{[]}"
"32396346","{""[\""Metaproteomic"",""metaproteomics\""]"",""[\""proteomics"",""Proteomics\""]""}"
"32406850","{""[\""AI"",""Health Technology Assessment\""]"",""[\""Text\""]""}"
"32407457","{""Copy number alteration\""]"",""DNA methylation"",""Expression\""]"",""[\""Gene"",""[\""Gene expression""}"
"32426346","{""[\""3-dimensional (3D) trajectory data\""]"",""[\""3D trajectory data\""]""}"
"32441656","{""Body movements\""]"",""[\""Infrared Video\""]"",""[\""Video""}"
"32442307","{""Copy number"",""Gene expression"",""[\""Metabolomics"",""Mutation profiles\""]"",""[\""omics"",""pharmacological\""]""}"
"32449747","{""[{\""modality\"": \""microbiome data\""}, {\""modality\"": \""operational taxonomic units (OTUs)\""}]"",""[\""Operational Taxonomic Units\""]""}"
"32455927","{""[\""Accelerometer"",""Motion\""]"",""Motion data\""]""}"
"32474393","{""functional assessments\""]"",""[\""geriatric syndromes""}"
"36154454","{""[\""Surgical video\""]""}"
"32501805","{""[\""SMS text messaging\""]""}"
"32531021","{""[\""accelerometer\""]""}"
"32532358","{""anthropometric measures\""]"",""[\""force myography"",""[\""Force myography\""]""}"
"32544823","{""[\""Interview"",""Movement\""]""}"
"32554374","{Text,""[\""Text-based conversations\""]""}"
"32555410","{""[\""histologic tissue components"",""[\""Histopathology\""]"",""lumina maps\""]"",""nuclei maps""}"
"32561782","{""{\""adipokines/inflammatory factors\"": null}"",""[\""MRI"",""Serum\""]""}"
"32570691","{""[\""Patient Timestamp\""]""}"
"32583617","{""[\""Computed Tomography"",""[\""CTP"",""Dynamic Susceptibility Contrast Perfusion-Weighted MRI\""]"",""PWI\""]""}"
"32591639","{""[\""Genomics"",""Imaging\""]"",""[\""Molecular"",""Protein-protein interaction analysis\""]""}"
"32599279","{""[\""CT"",""[\""Image\""]"",""MRI\""]""}"
"32599552","{""[\""Arterial Spin Labelled fMRI"",""[\""Arterial Spin Labelling (ASL)"",""Blood Oxygen Level Dependent (BOLD)\""]"",""Blood Oxygen Level Dependent (BOLD) fMRI\""]""}"
"32604080","{""[\""Computed Tomography (CT)\""]"",""[\""CT scans\""]""}"
"32615979","{""cognitive\""]"",""[\""motor"",""[\""Robot-based\"", null]"",sensory}"
"32616912","{""[\""Computed Tomography\""]"",""[\""Textural analyses\""]""}"
"32622121","{""[\""CT scans"",""dosimetry data\""]"",""[\""Imaging data (CT scans), Dosimetry data\""]""}"
"32623366","{""[\""9-axis inertial sensor data\""]"",""[\""accelerometry\""]""}"
"32627049","{""[\""CT\""]""}"
"32640028","{""[\""Gram-negative bacteria\""]""}"
"32646685","{""[\""ultrasound\""]"",""[\""Ultrasound\""]""}"
"32650152","{""[\""EEG\""]"",""[\""Electroencephalogram\""]""}"
"32651401","{""physiological signals\""]"",""[\""temporal data""}"
"32662055","{""[\""CT\""]"",""[\""Dynamic CT angiography\""]""}"
"32664955","{""Haptic\""]"",""Motor\""]"",""[\""Visual""}"
"32672513","{""[\""motor"",""[\""Motor and sensory impairments\""]"",""sensory\""]""}"
"32686506","{}"
"32686681","{""[\""speech\""]""}"
"32688049","{""[\""MRI\""]"",MRI}"
"32696007","{""[\""blood\""]"",""[\""immunoassays"",""machine learning\""]""}"
"32701655","{""[\""Diffusion tensor imaging"",""Gaussian process classification\""]"",""Tractography\""]""}"
"32703973","{""[\""Computed Tomography"",""Positron Emission Tomography\""]""}"
"32715024","{""[\""histological"",""[\""Histopathology\""]"",""radiological\""]""}"
"32720647","{""[\""GPS\""]"",""[\""GPS data\""]""}"
"32740935","{""[\""IMAGE\""]"",""[\""Image acquisition\""]""}"
"32749585","{""CT\""]"",""[\""MRI""}"
"32750012","{""[\""text\""]"",""[\""Text\""]""}"
"32758649","{""[\""magnetic resonance imaging"",""[\""Magnetic Resonance Imaging"",""Ultrasonography\""]"",""ultraviolet fluorescence\""]"",""Ultraviolet Fluorescence""}"
"32761917","{""[\""Computed Tomography (CT)\""]"",""[\""CT scans\""]""}"
"32803448","{""[\""Breathing sounds\""]"",""[\""Breathing Sounds\""]""}"
"32818081","{""Enface images\""]"",""[\""Image"",""Image\""]"",""[\""Optical Coherence Tomography Angiography""}"
"32823970","{""[\""2D descriptors\""]""}"
"32833747","{[]}"
"32845249","{""[\""medical imaging"",""text\""]""}"
"32848533","{""[\""fMRI\""]"",""[\""Functional MRI\""]""}"
"32849918","{""[\""Imaging\""]"",""[{\""type\"": [\""MRI\""], \""features\"": 135}]""}"
"32855842","{""angiography\""]"",""[\""retinal imaging"",""[\""Retinal OCT-A\""]""}"
"32900610","{""Gait\""]"",""[\""Vision"",""[\""Vision-based markerless motion capture\""]""}"
"32903670","{""Audio\""]"",""[{\""Modality\"": \""Spatial presence\""}, {\""Modality\"": \""Engagement\""}]"",""[\""Visual""}"
"32904064","{""Blood sample\""]"",""[\""Protein\""]"",""[\""Proteomics""}"
"32915810","{""[\""Respiratory inductance plethysmography\""]"",""[\""Respiratory signals\""]""}"
"32928593","{""[\""Walking test\""]"",""[\""Wearable sensors\""]""}"
"32936770","{}"
"32943654","{""[\""CT\""]""}"
"32945910","{""[\""Anatomical\""]"",""[\""cortical thickness\""]""}"
"32957946","{[]}"
"32960180","{""[\""CGM devices"",""[\""Continous glucose monitoring"",""user input\""]"",""User interaction\""]""}"
"32972660","{""[\""Sensors\""]"",""[{\""Text\"": \""sensor data, knowledge-based models and tools\""}]""}"
"32975523","{""{\""Modality\"": [{\""Type\"": \""Health-related features\""}, {\""Type\"": \""Mortality Prediction\""}]}""}"
"32982920","{""[\""CT Angiography\""]"",""[\""Multi-phase CT Angiography\""]""}"
"33033492","{""[\""gene expression\""]"",""[\""Gene Expression\""]""}"
"33051513","{age,""[{\""modality\"": \""text\""}]"",""septic episode number\""]"",""[\""sex""}"
"33066454","{""[\""brain image\""]"",""[\""Brain Images"",""Deep Learning\""]""}"
"33068438","{""[\""ChIP-seq\""]"",""[\""Sperm-specific chromatin immunoprecipitation\""]""}"
"33068873","{""[\""Medical Imaging\""]"",""[\""MRI\""]""}"
"33074746","{""[\""Brain fMRI images\""]""}"
"33075640","{""[\""Image\""]"",""[\""MRI\""]""}"
"33112249","{""food identification\""]"",""[\""image recognition"",""[\""Image Recognition\""]""}"
"33113221","{""[\""Medical\""]"",""[\""None\""]""}"
"33116187","{Accelerometer,""[\""EEG"",""[\""EEG\""]"",""Gyroscope\""]""}"
"33131085","{""CINE\""]"",""Computed Tomography\""]"",""[\""Magnetic Resonance"",""[\""Native and Contrast-Enhanced T1-Mapping""}"
"33134953","{""[\""Blood samples\""]"",""[\""Metabolomics Profiling"",""Proton nuclear magnetic resonance\""]""}"
"33142939","{""[\""Thermal\""]"",""[\""Thermal images\""]""}"
"33144919","{""[\""Medical Imaging\""]"",""[\""Ultrasound\""]""}"
"33145781","{""[\""Audio\""]"",""[\""Vocal\""]""}"
"33151041","{""Flow cytometry\""]"",""[\""KB slides""}"
"33151087","{""[\""CT\""]""}"
