"pid","x","modalities","modalities2"
"29665537","[""Digital Breast Tomosynthesis""], [""2D Slices""]","[""Digital Breast Tomosynthesis""]","[""2D Slices""]"
"29673341","[""Pelvic acceleration""], [""pelvic acceleration"", ""kinematic data""]","[""Pelvic acceleration""]","[""pelvic acceleration"", ""kinematic data""]"
"29674371","[""NCCT""], [""CT""]","[""NCCT""]","[""CT""]"
"29678095","[""Artificial Intelligence"", ""Data Visualization"", ""Mobile Health Technologies""], [""mobile health technologies"", ""data visualization""]","[""Artificial Intelligence"", ""Data Visualization"", ""Mobile Health Technologies""]","[""mobile health technologies"", ""data visualization""]"
"29679492","[""DVHs"", ""organ-at-risk""], [""DVHs"", ""Clinical plans""]","[""DVHs"", ""organ-at-risk""]","[""DVHs"", ""Clinical plans""]"
"29688388","[""MRI"", ""Functional connectivity""], [""Grey Matter Volume"", ""Whole-Brain Resting State Functional Connectivity""]","[""MRI"", ""Functional connectivity""]","[""Grey Matter Volume"", ""Whole-Brain Resting State Functional Connectivity""]"
"29689632","[""Ultrasound""], [""Ultrasound""]","[""Ultrasound""]","[""Ultrasound""]"
"29693792","[""Proteomics""], [{""Description"": ""text data""}, {""Description"": ""image data""}, {""Description"": ""audio data""}]","[""Proteomics""]","[{""Description"": ""text data""}, {""Description"": ""image data""}, {""Description"": ""audio data""}]"
"29699511","[""Nil""], [{""type"": ""omics"", ""modality"": ""gene expression""}, {""type"": ""outcome"", ""modality"": ""clinical outcome""}]","[""Nil""]","[{""type"": ""omics"", ""modality"": ""gene expression""}, {""type"": ""outcome"", ""modality"": ""clinical outcome""}]"
"29704323","[""Genomics"", ""Exomes""], [""Genomics"", ""Exomics""]","[""Genomics"", ""Exomes""]","[""Genomics"", ""Exomics""]"
"29708944","[""Functional Connectivity""], [""brain imaging""]","[""Functional Connectivity""]","[""brain imaging""]"
"29717941",NULL,NULL,"[""Text""]"
"29747532","[""EEG""], [""EEG""]","[""EEG""]","[""EEG""]"
"29748112","[""Video""], [""Video""]","[""Video""]","[""Video""]"
"29753765","[""Imaging"", ""Cardiology""], [""CT"", ""MRI""]","[""Imaging"", ""Cardiology""]","[""CT"", ""MRI""]"
"29762023","[""Text""], [""SMILES string representation of molecules""]","[""Text""]","[""SMILES string representation of molecules""]"
"29766373","[""MRI""], [""MRI""]","[""MRI""]","[""MRI""]"
"29766490",NULL,NULL,NULL
"29766558","[""Text"", ""Numerical""], [""Text""]","[""Text"", ""Numerical""]","[""Text""]"
"29775951","[""Retinal Blood Vessel""], [""Image""]","[""Retinal Blood Vessel""]","[""Image""]"
"30123143","[null, ""Local field potentials (LFPs)""], [""EEG"", ""Brain Stim""]","[null, ""Local field potentials (LFPs)""]","[""EEG"", ""Brain Stim""]"
"29779671","[""Functional magnetic resonance imaging (fMRI)""], [""Psychological Data""]","[""Functional magnetic resonance imaging (fMRI)""]","[""Psychological Data""]"
"29780871","[""Audio"", ""Text""], [""Audio"", ""Text""]","[""Audio"", ""Text""]","[""Audio"", ""Text""]"
"29801696","[""Plain Text"", ""Structured Database""], [""Text"", ""Structured dataset""]","[""Plain Text"", ""Structured Database""]","[""Text"", ""Structured dataset""]"
"29803920","[""Anterior-posterior (AP)"", ""Lateral (LAT)""], [""Anterior-posterior (AP)"", ""Lateral (LAT)""]","[""Anterior-posterior (AP)"", ""Lateral (LAT)""]","[""Anterior-posterior (AP)"", ""Lateral (LAT)""]"
"29806042","[""QSAR"", ""molecular modeling""], [""Text""]","[""QSAR"", ""molecular modeling""]","[""Text""]"
"29844507","[""Macrostructural MRI"", ""Microstructural diffusion tensor imaging (DTI)""], [{""Modality"": ""Brain MRI""}, {""Modality"": ""Diffusion tensor imaging (DTI)""}]","[""Macrostructural MRI"", ""Microstructural diffusion tensor imaging (DTI)""]","[{""Modality"": ""Brain MRI""}, {""Modality"": ""Diffusion tensor imaging (DTI)""}]"
"29844511",NULL,NULL,NULL
"29847723","[""Electronic energies""], [""Electronic Energies""]","[""Electronic energies""]","[""Electronic Energies""]"
"29854259",NULL,NULL,NULL
"29860189","[""Nasal airflow""], [""Nasal airflow""]","[""Nasal airflow""]","[""Nasal airflow""]"
"29886760","[""Medical""], None","[""Medical""]","None"
"29869321","[""3D ultrasound""], [""3D ultrasound"", ""image""]","[""3D ultrasound""]","[""3D ultrasound"", ""image""]"
"29879201","[""nursing notes""], [""Text""]","[""nursing notes""]","[""Text""]"
"29886268","[""Ultrasound""], [""Ultrasound Images"", ""MRI Data"", ""Temporal Information""]","[""Ultrasound""]","[""Ultrasound Images"", ""MRI Data"", ""Temporal Information""]"
"29889330",NULL,NULL,"[""fMRI"", ""EEG""]"
"29890954","[""MRSA Colonization"", ""Electronic Records""], [""Text""]","[""MRSA Colonization"", ""Electronic Records""]","[""Text""]"
"29893482",NULL,NULL,"[""robot"", ""needle insertion""]"
"29902277","[""Tactile""], [""tactile"", ""neural network""]","[""Tactile""]","[""tactile"", ""neural network""]"
"29905649","[""Functional MRI""], [""MRI""]","[""Functional MRI""]","[""MRI""]"
"29905656","[""Functional magnetic resonance imaging""], [""Blood oxygenation-level-dependent (BOLD) signal"", ""Pain ratings"", ""Stimulus temperatures""]","[""Functional magnetic resonance imaging""]","[""Blood oxygenation-level-dependent (BOLD) signal"", ""Pain ratings"", ""Stimulus temperatures""]"
"29921920","[""Functional connectivity data""], [""Blood-Oxygen-Level Dependent Signals""]","[""Functional connectivity data""]","[""Blood-Oxygen-Level Dependent Signals""]"
"29923104","[""SPECT"", ""CT"", ""MRI""], [""Imaging""]","[""SPECT"", ""CT"", ""MRI""]","[""Imaging""]"
"29949021","[""2D"", ""3D""], [""2D and 3D images"", ""stereoradiographic 3D reconstruction""]","[""2D"", ""3D""]","[""2D and 3D images"", ""stereoradiographic 3D reconstruction""]"
"29964127","[""Microsoft Azure Machine Learning Studio""], [""Text""]","[""Microsoft Azure Machine Learning Studio""]","[""Text""]"
"29969172","[""Imaging""], [""Demographic"", ""Clinical"", ""Imaging and Operative Data""]","[""Imaging""]","[""Demographic"", ""Clinical"", ""Imaging and Operative Data""]"
"29971330","[""Neuroanatomical Maturity""], {""T1-weighted_magnetic_resonance_images"": true}","[""Neuroanatomical Maturity""]","{""T1-weighted_magnetic_resonance_images"": true}"
"29973250",NULL,NULL,"[""robotic therapy"", ""error-augmentation paradigm""]"
"29980214","[""Medical imaging"", ""Radiation therapy""], [""2D Dose Map"", ""3D Dose Data""]","[""Medical imaging"", ""Radiation therapy""]","[""2D Dose Map"", ""3D Dose Data""]"
"30005591","[""Gene Expression Omnibus""], [""genes"", ""proteins""]","[""Gene Expression Omnibus""]","[""genes"", ""proteins""]"
"30010088","[""Electrocardiogram""], [""ECG""]","[""Electrocardiogram""]","[""ECG""]"
"30012102","[""MRI"", ""Cerebrospinal fluid samples""], [""MRI"", ""CT scan""]","[""MRI"", ""Cerebrospinal fluid samples""]","[""MRI"", ""CT scan""]"
"30012686","[""Functional magnetic resonance imaging (fMRI)""], [""Brain Imaging""]","[""Functional magnetic resonance imaging (fMRI)""]","[""Brain Imaging""]"
"30015242",NULL,NULL,"[""Human"", ""Machine""]"
"30018571","[""Text"", ""Not specified""], [""Text""]","[""Text"", ""Not specified""]","[""Text""]"
"30020426","[""Plasma antibody responses"", ""Immunoglobulin A responses""], [""plasma antibody responses""]","[""Plasma antibody responses"", ""Immunoglobulin A responses""]","[""plasma antibody responses""]"
"30025851",NULL,"[""Neuroscience""]",NULL
"30032700","[""motor"", ""sensory"", ""cognitive""], [""Motor"", ""Sensory"", ""Cognitive""]","[""motor"", ""sensory"", ""cognitive""]","[""Motor"", ""Sensory"", ""Cognitive""]"
"30046955","[""3D ultrasound"", ""intensity""], [""Ultrasound""]","[""3D ultrasound"", ""intensity""]","[""Ultrasound""]"
"30060575","[""MRI""], [""MRI"", ""Apparent Diffusion Coefficient""]","[""MRI""]","[""MRI"", ""Apparent Diffusion Coefficient""]"
"30064263","[""dermoscopy"", ""hypodermoscopy""], [""Dermoscopy"", ""Hypodermoscopy""]","[""dermoscopy"", ""hypodermoscopy""]","[""Dermoscopy"", ""Hypodermoscopy""]"
"30064477","[""Audio"", ""Myoelectric""], [""Audio"", ""Robotics""]","[""Audio"", ""Myoelectric""]","[""Audio"", ""Robotics""]"
"30065177","[""Respiratory Signals""], [""Respiratory signals"", ""Machine learning""]","[""Respiratory Signals""]","[""Respiratory signals"", ""Machine learning""]"
"30084192","[""fMRI""], {""Department of Medical Biophysics, University of Western Ontario, London, ON, Canada."": null, ""Lawson Health Research Institute, London Health Sciences Centre, London, ON, Canada."": null, ""Department of Psychiatry, University of Western Ontario Schulich School of Medicine and Dentistry, London, ON, Canada."": null}","[""fMRI""]","{""Department of Medical Biophysics, University of Western Ontario, London, ON, Canada."": null, ""Lawson Health Research Institute, London Health Sciences Centre, London, ON, Canada."": null, ""Department of Psychiatry, University of Western Ontario Schulich School of Medicine and Dentistry, London, ON, Canada."": null}"
"30084388",NULL,NULL,"[""ground reaction forces"", ""angular velocity""]"
"30089110","[""thoracic phase signals""], [""electrophysiology""]","[""thoracic phase signals""]","[""electrophysiology""]"
"30089915","[""Genomics""], [""Genomics""]","[""Genomics""]","[""Genomics""]"
"30091677","[""ICP"", ""TCD""], [""transcranial Doppler"", ""intracranial pressure""]","[""ICP"", ""TCD""]","[""transcranial Doppler"", ""intracranial pressure""]"
"30098706","[""Echocardiography""], echocardiography","[""Echocardiography""]","echocardiography"
"30099076","[""Computerized tomography"", ""Magnetic resonance imaging""], [""Image"", ""Text"", ""Audio""]","[""Computerized tomography"", ""Magnetic resonance imaging""]","[""Image"", ""Text"", ""Audio""]"
"30104567",NULL,NULL,"[""text"", ""image""]"
"30111303",NULL,NULL,"[""Maternal characteristics"", ""Gestational weight gain""]"
"30114914","[""Chemical features""], [""Chemical features"", ""Continuous molecular descriptors""]","[""Chemical features""]","[""Chemical features"", ""Continuous molecular descriptors""]"
"30121208","[""magnetic resonance imaging"", ""transcranial magnetic stimulation""], [""TMS"", ""MRI""]","[""magnetic resonance imaging"", ""transcranial magnetic stimulation""]","[""TMS"", ""MRI""]"
"30132040","[""Functional magnetic resonance imaging (fMRI)""], [""Functional MRI""]","[""Functional magnetic resonance imaging (fMRI)""]","[""Functional MRI""]"
"30132089","[""Multiphase CT""], [""X-Ray"", ""CT Scan""]","[""Multiphase CT""]","[""X-Ray"", ""CT Scan""]"
"30135484","[""Microwave sensing""], [""microwave sensing""]","[""Microwave sensing""]","[""microwave sensing""]"
"30150560","[""3-dimensional (3D) linear accelerations""], [""linear accelerations"", ""3D""]","[""3-dimensional (3D) linear accelerations""]","[""linear accelerations"", ""3D""]"
"30153635",NULL,"[""Neuroimaging"", ""Peripheral gene expression""]",NULL
"30154742","[""Text"", ""Network""], [""text"", ""social media""]","[""Text"", ""Network""]","[""text"", ""social media""]"
"30155514","[""Cognitive"", ""Motor""], [{""Modality"": ""Cognitive"", ""Variables"": [""executive"", ""attentional"", ""visuoperceptive""]}, {""Modality"": ""Motor"", ""Variables"": null}]","[""Cognitive"", ""Motor""]","[{""Modality"": ""Cognitive"", ""Variables"": [""executive"", ""attentional"", ""visuoperceptive""]}, {""Modality"": ""Motor"", ""Variables"": null}]"
"30155789","[""Imaging""], [""Imaging""]","[""Imaging""]","[""Imaging""]"
"30170769","[""EEG"", ""EOG""], [""EEG"", ""EOG""]","[""EEG"", ""EOG""]","[""EEG"", ""EOG""]"
"30171211",NULL,"[""structural MRI""]",NULL
"30172227","[""EEG""], [""EEG""]","[""EEG""]","[""EEG""]"
"30185806","[""Fluorodeoxyglucose (FDG)"", ""Single photon emission computed tomography""], [""PET"", ""FDG""]","[""Fluorodeoxyglucose (FDG)"", ""Single photon emission computed tomography""]","[""PET"", ""FDG""]"
"30186761","[""Fluorodeoxyglucose positron emission tomography (FDG-PET)"", ""Imaging""], [""Fluorodeoxyglucose positron emission tomography (FDG-PET)"", ""Glucose metabolism""]","[""Fluorodeoxyglucose positron emission tomography (FDG-PET)"", ""Imaging""]","[""Fluorodeoxyglucose positron emission tomography (FDG-PET)"", ""Glucose metabolism""]"
"30187575","[""Dermatoscopic images"", ""Macroscopic images""], [""dermatoscopic image"", ""macroscopic image""]","[""Dermatoscopic images"", ""Macroscopic images""]","[""dermatoscopic image"", ""macroscopic image""]"
"30207594","[""Image""], [""Images""]","[""Image""]","[""Images""]"
"30209345","[], [""Computer Vision and Robotics (VICOROB)"", ""Medical Image Analysis Lab"", ""Department of Radiology, Children's Hospital""]","[]","[""Computer Vision and Robotics (VICOROB)"", ""Medical Image Analysis Lab"", ""Department of Radiology, Children's Hospital""]"
"30216140","[""Neural""], [""Neural features"", ""Intention to move in a direction""]","[""Neural""]","[""Neural features"", ""Intention to move in a direction""]"
"30216352","[""Magnetic resonance (MR) imaging"", ""Genetic"", ""Clinical""], [""Magnetic Resonance Imaging (MRI)"", ""Genetic variables"", ""Clinical variables""]","[""Magnetic resonance (MR) imaging"", ""Genetic"", ""Clinical""]","[""Magnetic Resonance Imaging (MRI)"", ""Genetic variables"", ""Clinical variables""]"
"30216362","[""microarray""], [""Image data"", ""Clinical data""]","[""microarray""]","[""Image data"", ""Clinical data""]"
"30218110","[""Magnetic Resonance Imaging""], [""MRI"", ""clinical data""]","[""Magnetic Resonance Imaging""]","[""MRI"", ""clinical data""]"
"30218900","[""Morphometric MRI""], [""MRI""]","[""Morphometric MRI""]","[""MRI""]"
"30220433","[""exome""], [""gnomAD database"", ""ClinVar-a rapidly growing database""]","[""exome""]","[""gnomAD database"", ""ClinVar-a rapidly growing database""]"
"30226903","[""Pelvic drop"", ""Ground contact time"", ""Braking"", ""Vertical oscillation of pelvis"", ""Pelvic rotation"", ""Cadence""], [""gait biomechanics"", ""pelvic drop"", ""ground contact time"", ""braking"", ""vertical oscillation of pelvis"", ""pelvic rotation"", ""cadence""]","[""Pelvic drop"", ""Ground contact time"", ""Braking"", ""Vertical oscillation of pelvis"", ""Pelvic rotation"", ""Cadence""]","[""gait biomechanics"", ""pelvic drop"", ""ground contact time"", ""braking"", ""vertical oscillation of pelvis"", ""pelvic rotation"", ""cadence""]"
"30229903",NULL,NULL,"[]"
"30243203","[""robotic technology"", ""Repeatable Battery for the Assessment of Neuropsychological Status (RBANS)""], [""Cognitive"", ""Sensorimotor""]","[""robotic technology"", ""Repeatable Battery for the Assessment of Neuropsychological Status (RBANS)""]","[""Cognitive"", ""Sensorimotor""]"
"30243670","[""MR""], [""MRI""]","[""MR""]","[""MRI""]"
"30252978","[""3.0T MRI"", ""T2 -weighted (T2 W) and multi-b-value diffusion-weighted (DW) sequences"", ""Apparent diffusion coefficient maps""], [""MRI"", ""T2-weighted images"", ""Diffusion-weighted images""]","[""3.0T MRI"", ""T2 -weighted (T2 W) and multi-b-value diffusion-weighted (DW) sequences"", ""Apparent diffusion coefficient maps""]","[""MRI"", ""T2-weighted images"", ""Diffusion-weighted images""]"
"30255819","[""single-nucleotide polymorphism (SNP) markers"", ""methylation (cytosine-phosphate-guanine [CpG]) markers""], [""genomic"", ""methylation""]","[""single-nucleotide polymorphism (SNP) markers"", ""methylation (cytosine-phosphate-guanine [CpG]) markers""]","[""genomic"", ""methylation""]"
"30262516","[""Medical Imaging"", ""Echocardiography""], [""Imaging"", ""Clinical""]","[""Medical Imaging"", ""Echocardiography""]","[""Imaging"", ""Clinical""]"
"30263040","[""DNA methylation""], [""DNAm""]","[""DNA methylation""]","[""DNAm""]"
"30267208","[""Doppler""], [""electrophysiological data"", ""pressure measurements""]","[""Doppler""]","[""electrophysiological data"", ""pressure measurements""]"
"30290728","[""IoT"", ""AI""], [""Machine Learning"", ""Complex Algorithms""]","[""IoT"", ""AI""]","[""Machine Learning"", ""Complex Algorithms""]"
"30300751","[""MRI""], [{""MRI"": ""Yes""}, {""CT"": ""No""}]","[""MRI""]","[{""MRI"": ""Yes""}, {""CT"": ""No""}]"
"30301895",NULL,NULL,"[""Image""]"
"30337065","[""echocardiograms""], [""echocardiogram""]","[""echocardiograms""]","[""echocardiogram""]"
"30306886","[""Resting-state mALFF"", ""Amygdala complex functional connectivity""], [""fMRI""]","[""Resting-state mALFF"", ""Amygdala complex functional connectivity""]","[""fMRI""]"
"30323170",NULL,NULL,NULL
"30336070","[""robot""], [""humanoid robot's mental state"", ""gaze cues""]","[""robot""]","[""humanoid robot's mental state"", ""gaze cues""]"
"30336363","[""3D spine models"", ""biplanar X-rays""], [""3D spine models"", ""X-rays""]","[""3D spine models"", ""biplanar X-rays""]","[""3D spine models"", ""X-rays""]"
"30337678",NULL,"[""Whole genome sequence""]",NULL
"30340027","[""Histopathology images""], [""Image""]","[""Histopathology images""]","[""Image""]"
"30352783","[""Magnetic Resonance Imaging""], [""MRI""]","[""Magnetic Resonance Imaging""]","[""MRI""]"
"30354561","[""Breath-by-breath"", ""Time-series""], [""Breath-by-Breath Data""]","[""Breath-by-breath"", ""Time-series""]","[""Breath-by-Breath Data""]"
"30367117","[""RNA-seq""], [""genomics"", ""epidemiology""]","[""RNA-seq""]","[""genomics"", ""epidemiology""]"
"30373211","[""Photoplethysmography"", ""Arterial Blood Pressure""], [""Photoplethysmography"", ""Arterial blood pressure""]","[""Photoplethysmography"", ""Arterial Blood Pressure""]","[""Photoplethysmography"", ""Arterial blood pressure""]"
"30381005",NULL,"[""Medical""]",NULL
"30381856","[""liquid chromatography coupled with mass spectrometry"", ""proton nuclear magnetic resonance spectroscopy-based metabolomics"", ""targeted proteomics analysis""], [""Metabolomics"", ""Proteomics""]","[""liquid chromatography coupled with mass spectrometry"", ""proton nuclear magnetic resonance spectroscopy-based metabolomics"", ""targeted proteomics analysis""]","[""Metabolomics"", ""Proteomics""]"
"30383850",NULL,NULL,"[""Demographic data""]"
"30409057","[""Acoustic"", ""Lip Movement"", ""Tongue Movement""], [""Acoustic"", ""Lip movement"", ""Tongue movement""]","[""Acoustic"", ""Lip Movement"", ""Tongue Movement""]","[""Acoustic"", ""Lip movement"", ""Tongue movement""]"
