"pid","title"
"36284402","Deep Learning of Coronary Calcium Scores From PET/CT Attenuation Maps Accurately Predicts Adverse Cardiovascular Events."
"30381856","Artificial intelligence and amniotic fluid multiomics: prediction of perinatal outcome in asymptomatic women with short cervix."
"30383850","Predicting hospital and emergency department utilization among community-dwelling older adults: Statistical and machine learning approaches."
"36324086","Dementia risk prediction in individuals with mild cognitive impairment: a comparison of Cox regression and machine learning models."
"36326618","Shuffle-ResNet: Deep learning for predicting LGG IDH1 mutation from multicenter anatomical MRI sequences."
"36327383","Learning the Treatment Process in Radiotherapy Using an Artificial Intelligence-Assisted Chatbot: Development Study."
"36329531","Towards a potential pan-cancer prognostic signature for gene expression based on probesets and ensemble machine learning."
"36332954","Traumatic stress symptoms in family caregivers of patients with acute leukaemia: protocol for a multisite mixed methods, longitudinal, observational study."
"36336953","Expression of TCF3 target genes defines a subclass of diffuse large B-cell lymphoma characterized by up-regulation of MYC target genes and poor clinical outcome following R-CHOP therapy."
"36339062","CAD-RADS™ 2.0 - 2022 Coronary Artery Disease - Reporting and Data System An Expert Consensus Document of the Society of Cardiovascular Computed Tomography (SCCT), the American College of Cardiology (ACC), the American College of Radiology (ACR) and the North America Society of Cardiovascular Imaging (NASCI)."
"30794559","Automatic classification of tissues on pelvic MRI based on relaxation times and support vector machine."
"36574245","Development and Validation of a Machine Learning Model to Estimate Risk of Adverse Outcomes Within 30 Days of Opioid Dispensation."
"28756487","Anatomo-functional correspondence in the superior temporal sulcus."
"28771699","Support vector machine-based differentiation between aggressive and chronic periodontitis using microbial profiles."
"28853237","Pixel classification method in optical coherence tomography for tumor segmentation and its complementary usage with OCT microangiography."
"28869436","Design and analysis of a novel fall prevention device for lower limbs rehabilitation robot."
"28952798","Patterns of blood pressure response during intensive BP lowering and clinical events: results from the secondary prevention of small subcortical strokes trial."
"28968847","Multidimensional Neuroanatomical Subtyping of Autism Spectrum Disorder."
"28981875","Predicting Response to Repetitive Transcranial Magnetic Stimulation in Patients With Schizophrenia Using Structural Magnetic Resonance Imaging: A Multisite Machine Learning Analysis."
"28987903","Full left ventricle quantification via deep multitask relationships learning."
"30807586","Patterns of joint involvement in juvenile idiopathic arthritis and prediction of disease course: A prospective study with multilayer non-negative matrix factorization."
"30809047","Deep learning in head  neck cancer outcome prediction."
"36756643","Ethical considerations for the use of consumer wearables in health research."
"36810139","Development and evaluation of a live birth prediction model for evaluating human blastocysts from a retrospective study."
"36812626","Interpretable machine learning for automated left ventricular scar quantification in hypertrophic cardiomyopathy patients."
"36812632","High resolution data modifies intensive care unit dialysis outcome predictions as compared with low resolution administrative data set."
"36812648","Longitudinally tracking personal physiomes for precision management of childhood epilepsy."
"36812932","Evaluation of Feature Selection Methods for Preserving Machine Learning Performance in the Presence of Temporal Dataset Shift in Clinical Medicine."
"36813095","Artificial intelligence in liver cancers: Decoding the impact of machine learning models in clinical diagnosis of primary liver cancers and liver cancer metastases."
"36817429","Genome-wide association study of the age of onset of type 1 diabetes reveals HTATIP2 as a novel T cell regulator."
"29043544","ICP Versus Laser Doppler Cerebrovascular Reactivity Indices to Assess Brain Autoregulatory Capacity."
"29065782","Use of Regression Tree Analysis for Predicting the Functional Outcome after Traumatic Spinal Cord Injury."
"29071211","Deep learning of joint myelin and T1w MRI features in normal-appearing brain tissue to distinguish between multiple sclerosis patients and healthy controls."
"29084099","Using Robotics to Quantify Impairments in Sensorimotor Ability, Visuospatial Attention, Working Memory, and Executive Function After Traumatic Brain Injury."
"29094375","Collaborative targeted learning using regression shrinkage."
"29098645","Neurocognitive Graphs of First-Episode Schizophrenia and Major Depression Based on Cognitive Features."
"29128490","Responders to rTMS for depression show increased fronto-midline theta and theta connectivity compared to non-responders."
"29145629","The Reactome Pathway Knowledgebase."
"29169029","Learning normalized inputs for iterative estimation in medical image segmentation."
"29193460","Corticospinal tract diffusion properties and robotic visually guided reaching in children with hemiparetic cerebral palsy."
"29194610","Estimating the Cost Savings of Preventive Dental Services Delivered to Medicaid-Enrolled Children in Six Southeastern States."
"38468224","Text analysis framework for identifying mutations among non-small cell lung cancer patients from laboratory data."
"38469689","Interaction of AI-Enabled Quantitative Coronary Plaque Volumes on Coronary CT Angiography, FFRCT, and Clinical Outcomes: A Retrospective Analysis of the ADVANCE Registry."
"38470880","Time series classification of multi-channel nerve cuff recordings using deep learning."
"30839433","Plasticity in the dynamic pain connectome associated with ketamine-induced neuropathic pain relief."
"38479730","Facilitators and barriers to codesigning social robots with older adults with dementia: a scoping review protocol."
"38480766","A pilot observation using ultrasonography and vowel articulation to investigate the influence of suspected obstructive sleep apnea on upper airway."
"38483388","Machine Learning to Predict Outcomes of Endovascular Intervention for Patients With PAD."
"38484398","Aleatoric and epistemic uncertainty extraction of patient-specific deep learning-based dose predictions in LDR prostate brachytherapy."
"30870597","Development of a classifier to identify patients with probable Lennox-Gastaut syndrome in health insurance claims databases via random forest methodology."
"31150083","Reexamination of the UN10 Rule to Discontinue Resuscitation During In-Hospital Cardiac Arrest."
"31150956","Cortical abnormalities in youth at clinical high-risk for psychosis: Findings from the NAPLS2 cohort."
"31151119","Deep learning-based electroencephalography analysis: a systematic review."
"31153115","Performance of QCT-Derived scapula finite element models in predicting local displacements using digital volume correlation."
"31154512","A novel single-sensor-based method for the detection of gait-cycle breakdown and freezing of gait in Parkinson's disease."
"37087135","Introduction to Radiomics and Artificial Intelligence: A Primer for Radiologists."
"37090433","Exploring the variable space of shallow machine learning models for reversed-phase retention time prediction."
"31158822","Hybrid scattering-LSTM networks for automated detection of sleep arousals."
"31161221","Temporal Stability and Prognostic Biomarker Potential of the Prostate Cancer Urine miRNA Transcriptome."
"31163373","Effect of repetitive transcranial magnetic stimulation combined with robot-assisted training on wrist muscle activation post-stroke."
"37231096","Integrating genetics with single-cell multiomic measurements across disease states identifies mechanisms of beta cell dysfunction in type 2 diabetes."
"37233646","Identification of Serum Metabolites as Prognostic Biomarkers Following Spinal Cord Injury: A Pilot Study."
"31164212","Feature-weighted survival learning machine for COPD failure prediction."
"37296806","Ensemble Deep Learning Derived from Transfer Learning for Classification of COVID-19 Patients on Hybrid Deep-Learning-Based Lung Segmentation: A Data Augmentation and Balancing Framework."
"37322132","Reconciling the biomedical data commons and the GDPR: three lessons from the EUCAN ELSI collaboratory."
"37322550","Immediate word recall in cognitive assessment can predict dementia using machine learning techniques."
"37323123","Random matrix theory tools for the predictive analysis of functional magnetic resonance imaging examinations."
"37323348","Genital and Extragenital Lichen Sclerosus et Atrophicus: A Case Series Written Using ChatGPT."
"37326960","Interpretable deep learning architectures for improving drug response prediction performance: myth or reality?"
"31191926","Classification-based Segmentation for Rehabilitation Exercise Monitoring."
"31194627","Effect of Instructional Format on Veterinary Students' Task Performance and Emotional State during a Simulation-Based Canine Endotracheal Intubation Laboratory: Handout versus Video."
"31194873","Actigraphic detection of periodic limb movements: development and validation of a potential device-independent algorithm. A proof of concept study."
"31196619","A Future Research Agenda for Digital Geriatric Mental Healthcare."
"31208434","Probabilistic modeling of personalized drug combinations from integrated chemical screen and molecular data in sarcoma."
"31216543","Collateral Automation for Triage in Stroke: Evaluating Automated Scoring of Collaterals in Acute Stroke on Computed Tomography Scans."
"31216619","The Current Research Landscape on the Artificial Intelligence Application in the Management of Depressive Disorders: A Bibliometric Analysis."
"31219947","Altered microbiome composition in individuals with fibromyalgia."
"31226518","Monitoring Breast Cancer Response to Neoadjuvant Chemotherapy Using Ultrasound Strain Elastography."
"31227653","A Phenotypic Description of Congenital Myotonic Dystrophy using PhenoStacks."
"31227879","Direct attenuation correction of brain PET images using only emission data via a deep convolutional encoder-decoder (Deep-DAC)."
"31228556","Automatic identification of atherosclerosis subjects in a heterogeneous MR brain imaging data set."
"32042111","PHTNet: Characterization and Deep Mining of Involuntary Pathological Hand Tremor using Recurrent Neural Network Models."
"37544983","Examination of fully automated mammographic density measures using LIBRA and breast cancer risk in a cohort of 21,000 non-Hispanic white women."
"32045708","Machine learning algorithms for prediction of health-related quality-of-life after surgery for mild degenerative cervical myelopathy."
"32053425","Toward an Automatic System for Computer-Aided Assessment in Facial Palsy."
"32054511","Assessment of bilateral motor skills and visuospatial attention in children with perinatal stroke using a robotic object hitting task."
"32055239","Discovery of a putative blood-based protein signature associated with response to ALK tyrosine kinase inhibition."
"37624384","International EANM-SNMMI-ISMRM consensus recommendation for PET/MRI in oncology."
"37625418","Evaluation of MR anatomically-guided PET reconstruction using a convolutional neural network in PSMA patients."
"37629214","When Eating Intuitively Is Not Always a Positive Response: Using Machine Learning to Better Unravel Eaters Profiles."
"31286534","Semi-automated infarct segmentation from follow-up noncontrast CT scans in patients with acute ischemic stroke."
"31287020","Multimorbidity states associated with higher mortality rates in organ dysfunction and sepsis: a data-driven analysis in critical care."
"32463180","The Banff 2019 Kidney Meeting Report (I): Updates on and clarification of criteria for T cell- and antibody-mediated rejection."
"32464565","Early detection of ankylosing spondylitis using texture features and statistical machine learning, and deep learning, with some patient age analysis."
"32467650","Interpretable multimodal deep learning for real-time pan-tissue pan-disease pathology search on social media."
"37658409","Development of machine learning models for the detection of surgical site infections following total hip and knee arthroplasty: a multicenter cohort study."
"37658890","Deep learning-based segmentation of whole-body fetal MRI and fetal weight estimation: assessing performance, repeatability, and reproducibility."
"37658963","Cerebrovascular disease case identification in inpatient electronic medical record data using natural language processing."
"29237237","Clinical judgement in the era of big data and predictive analytics."
"29244902","Feasibility of predicting tumor motion using online data acquired during treatment and a generalized neural network optimized with offline patient tumor trajectories."
"29251172","A method of gene expression data transfer from cell lines to cancer patients for machine-learning prediction of drug efficiency."
"29254878","The Early Psychosis Screener (EPS): Item development and qualitative validation."
"29268169","The first MICCAI challenge on PET tumor segmentation."
"29272464","Brain Age in Early Stages of Bipolar Disorders or Schizophrenia."
"29274736","Can we accurately classify schizophrenia patients from healthy controls using magnetic resonance imaging and machine learning? A multi-method and multi-dataset study."
"29288983","Automatic spinal cord localization, robust to MRI contrasts using global curve optimization."
"29753765","Maximization of the usage of coronary CTA derived plaque information using a machine learning based algorithm to improve risk stratification; insights from the CONFIRM registry."
"29762023","Reinforced Adversarial Neural Computer for de Novo Molecular Design."
"31405148","Integration of Radiomic and Multi-omic Analyses Predicts Survival of Newly Diagnosed IDH1 Wild-Type Glioblastoma."
"31406675","Prediction of DNA Integrity from Morphological Parameters Using a Single-Sperm DNA Fragmentation Index Assay."
"31414853","Scoring algorithms for a computer-based cognitive screening tool: An illustrative example of overfitting machine learning approaches and the impact on estimates of classification accuracy."
"32473064","Knowledge-based isocenter selection in radiosurgery planning."
"29294157","Spectral multi-energy CT texture analysis with machine learning for tissue classification: an investigation using classification of benign parotid tumours as a testing paradigm."
"29300432","Falls Risk Prediction for Older Inpatients in Acute Care Medical Wards: Is There an Interest to Combine an Early Nurse Assessment and the Artificial Neural Network Analysis?"
"29304138","The use of automated Ki67 analysis to predict Oncotype DX risk-of-recurrence categories in early-stage breast cancer."
"29306928","Four novel mutations of the BCKDHA, BCKDHB and DBT genes in Iranian patients with maple syrup urine disease."
"29321174","Addressing complexity in population health intervention research: the context/intervention interface."
"29321970","DeepIED: An epileptic discharge detector for EEG-fMRI based on deep learning."
"29334038","Robotic-Assisted and Image-Guided MRI-Compatible Stereoelectroencephalography."
"29334467","Robot-assisted upper extremity rehabilitation for cervical spinal cord injuries: a systematic scoping review."
"29335008","Multi-omics differentially classify disease state and treatment outcome in pediatric Crohn's disease."
"29336922","Segmentation-free direct tumor volume and metabolic activity estimation from PET scans."
"29340580","Population Specific Biomarkers of Human Aging: A Big Data Study Using South Korean, Canadian, and Eastern European Patient Populations."
"29344313","DNA methylation as a predictor of fetal alcohol spectrum disorder."
"29346286","A More Efficient Transportable and Scalable System for Real-Time Activities and Exercises Recognition."
"29354080","Modeling Music Emotion Judgments Using Machine Learning Methods."
"29355792","Does the application site of spinal manipulative therapy alter spinal tissues loading?"
"29356281","Episode forecasting in bipolar disorder: Is energy better than mood?"
"29356346","Predicting the hearing outcome in sudden sensorineural hearing loss via machine learning models."
"29377156","Guided undersampling classification for automated radiation therapy quality assurance of prostate cancer treatment."
"29378522","Auditory repetition suppression alterations in relation to cognitive functioning in fragile X syndrome: a combined EEG and machine learning approach."
"29380275","In Schizophrenia, Depression, Anxiety, and Physiosomatic Symptoms Are Strongly Related to Psychotic Symptoms and Excitation, Impairments in Episodic Memory, and Increased Production of Neurotoxic Tryptophan Catabolites: a Multivariate and Machine Learning Study."
"31505292","Noninvasive O6 Methylguanine-DNA Methyltransferase Status Prediction in Glioblastoma Multiforme Cancer Using Magnetic Resonance Imaging Radiomics Features: Univariate and Multivariate Radiogenomics Analysis."
"31507022","Quantifying brain metabolism from FDG-PET images into a probability of Alzheimer's dementia score."
"31508207","Evaluation of methods to assign cell type labels to cell clusters from single-cell RNA-sequencing data."
"31508367","MRI-Derived Radiomics to Guide Post-operative Management for High-Risk Prostate Cancer."
"32473385","Identifying circulating miRNA biomarkers for early diagnosis and monitoring of lung cancer."
"32474393","Predicting hospital admission for older emergency department patients: Insights from machine learning."
"32475986","Automated syndrome diagnosis by three-dimensional facial imaging."
"29391513","A Systematic Machine Learning Based Approach for the Diagnosis of Non-Alcoholic Fatty Liver Disease Risk and Progression."
"29398207","Effective connectivity within a triple network brain system discriminates schizophrenia spectrum disorders from psychotic bipolar disorder at the single-subject level."
"29407288","GWAS-based machine learning approach to predict duloxetine response in major depressive disorder."
"29450848","Automated Pathogenesis-Based Diagnosis of Lumbar Neural Foraminal Stenosis via Deep Multiscale Multitask Learning."
"29454222","Obesity, dyslipidemia and brain age in first-episode psychosis."
"38486013","High-performance prediction of epilepsy surgical outcomes based on the genetic neural networks and hybrid iEEG marker."
"38486268","Flow starvation during square-flow assisted ventilation detected by supervised deep learning techniques."
"38487766","Evaluation of a machine-learning-driven active-passive upper-limb exoskeleton robot: Experimental human-in-the-loop study."
"38492206","Optimization of Ganciclovir and Valganciclovir Starting Dose in Children by Machine Learning."
"38493562","Material characterization of human middle ear using machine-learning-based surrogate models."
"38494468","What Is Hot and New in Basic and Translational Science in Liver Transplantation in 2023? Report of the Basic and Translational Research Committee of the International Liver Transplantation Society."
"29502031","Multiscale deep neural network based analysis of FDG-PET images for the early diagnosis of Alzheimer's disease."
"32477638","A Review of Challenges and Opportunities in Machine Learning for Health."
"32477683","A Machine Learning Approach for Long-Term Prognosis of Bladder Cancer based on Clinical and Molecular Features."
"29539639","DNA methylation-based classification of central nervous system tumours."
"29540617","Illusory movement perception improves motor control for prosthetic hands."
"29543895","A novel learning algorithm to predict individual survival after liver transplantation for primary sclerosing cholangitis."
"38497716","Application of MALDI-TOF MS and machine learning for the detection of SARS-CoV-2 and non-SARS-CoV-2 respiratory infections."
"38734697","A fully autonomous robotic ultrasound system for thyroid scanning."
"38739557","A multifaceted suite of metrics for comparative myoelectric prosthesis controller research."
"29546805","A deep neural network to assess spontaneous pain from mouse facial expressions."
"29548746","Opposite Molecular Signatures of Depression in Men and Women."
"29550305","Deep Learning for Prediction of Obstructive Disease From Fast Myocardial Perfusion SPECT: A Multicenter Study."
"29558208","Anterolateral Knee Extra-articular Stabilizers: A Robotic Sectioning Study of the Anterolateral Ligament and Distal Iliotibial Band Kaplan Fibers."
"29571749","Detecting agitation and aggression in people with dementia using sensors-A systematic review."
"29581092","Detecting Motor Impairment in Early Parkinson's Disease via Natural Typing Interaction With Keyboards: Validation of the neuroQWERTY Approach in an Uncontrolled At-Home Setting."
"32634140","Drones and digital adherence monitoring for community-based tuberculosis control in remote Madagascar: A cost-effectiveness analysis."
"32635216","Potential Added Value of PET/CT Radiomics for Survival Prognostication beyond AJCC 8th Edition Staging in Oropharyngeal Squamous Cell Carcinoma."
"32636008","Characterizing forearm muscle activity in university-aged males during dynamic radial-ulnar deviation of the wrist using a wrist robot."
"32636768","Machine Learning for Differential Diagnosis Between Clinical Conditions With Social Difficulty: Autism Spectrum Disorder, Early Psychosis, and Social Anxiety Disorder."
"32637418","Comparative Effects Between Direct Oral Anticoagulants for Acute Venous Thromboembolism: Indirect Comparison From Randomized Controlled Trials."
"32640028","Improving Decision Making in Empiric Antibiotic Selection (IDEAS) for Gram-negative Bacteremia: A Prospective Clinical Implementation Study."
"32641740","A database of human gait performance on irregular and uneven surfaces collected by wearable sensors."
"29603092","MicroRNA Expression Levels Are Altered in the Cerebrospinal Fluid of Patients with Young-Onset Alzheimer's Disease."
"29606521","Pharmacological therapy selection of type 2 diabetes based on the SWARA and modified MULTIMOORA methods under a fuzzy environment."
"29662628","A gene expression signature predicts recurrence-free survival in meningioma."
"29664902","A general prediction model for the detection of ADHD and Autism using structural and functional MRI."
"29665537","Mass detection in digital breast tomosynthesis data using convolutional neural networks and multiple instance learning."
"29673341","Runners with patellofemoral pain demonstrate sub-groups of pelvic acceleration profiles using hierarchical cluster analysis: an exploratory cross-sectional study."
"29674371","Automation of CT-based haemorrhagic stroke assessment for improved clinical outcomes: study protocol and design."
"29766373","Prostate segmentation in MRI using a convolutional neural network architecture and training strategy based on statistical shape models."
"29678095","A Personalized Risk Stratification Platform for Population Lifetime Healthcare."
"29688388","Brain properties predict proximity to symptom onset in sporadic Alzheimer's disease."
"29689632","A Crossover Comparison of Standard and Telerobotic Approaches to Prenatal Sonography."
"29693792","Comparative proteomic analyses of human adipose extracellular matrices decellularized using alternative procedures."
"29699511","Genes and functions from breast cancer signatures."
"29704323","Machine learning in schizophrenia genomics, a case-control study using 5,090 exomes."
"38446445","Deep Learning-Augmented ECG Analysis for Screening and Genotype Prediction of Congenital Long QT Syndrome."
