"pid","combined_modalities"
"33760390","{""[\""biomechanical data"",""[\""Gait data"",""In vivo knee loads\""]"",""magnetic resonance imaging\""]""}"
"33770525","{""[\""Neuroimaging\""]"",""[null, null, null, null, null, null, null, null, null, null, null, null]""}"
"33811557","{""Blood pressure\""]"",""[\""ECG""}"
"33850128","{""[\""Neuroimaging"",""Phenotypic data\""]"",""Transcriptomics\""]""}"
"33870190","{""[\""brain imaging\""]"",""[\""motor items\""]""}"
"33895632","{""[{\""Tag\"": null, \""Country\"": \""Portugal\""}, {\""Tag\"": null, \""Country\"": \""United Kingdom\""}, {\""Tag\"": null, \""Country\"": \""Canada\""}, {\""Tag\"": null, \""Country\"": \""Germany\""}]""}"
"33909990","{}"
"33962603","{""[\""Affiliation\""]"",""[{\""tags\"": null, \""Country\"": \""Australia\""}, {\""tags\"": null, \""Country\"": \""Germany\""}, {\""tags\"": null, \""Country\"": \""India\""}, {\""tags\"": null, \""Country\"": \""Turkey\""}, {\""tags\"": null, \""Country\"": \""South Korea\""}, {\""tags\"": null, \""Country\"": \""Tunisia\""}, {\""tags\"": null, \""Country\"": \""Ecuador\""}, {\""tags\"": null, \""Country\"": \""Greece\""}, {\""tags\"": null, \""Country\"": \""Morocco\""}, {\""tags\"": null, \""Country\"": \""Thailand\""}, {\""tags\"": null, \""Country\"": \""USA\""}, {\""tags\"": null, \""Country\"": \""Austria\""}, {\""tags\"": null, \""Country\"": \""Spain\""}]""}"
"33963192","{}"
"33976261","{""[\""MRI\""]"",""[\""structural and functional MRI\""]""}"
"33991581","{[]}"
"34048901","{""[\""EEG"",""fMRI\""]""}"
"34078897","{""[\""Imaging\"", null]"",""Neurology\""]"",""[\""Radiology""}"
"34214980","{[null]}"
"34229308","{""[\""EEG\""]"",""heart rate variability\""]"",""[\""sensorimotor rhythms (SMRs)""}"
"34255727","{""[\""Mobile App"",""Remote Assessment\""]"",""[\""text\""]""}"
"34255973","{""image\""]"",""[\""text""}"
"34285187","{""Image\""]"",""[null, null]"",""[\""Text""}"
"34322947","{}"
"34339947","{""EEG\""]"",""Genetics\""]"",""[\""MRI"",""[\""Temporalology""}"
"34353531","{""[\""Cardiology\""]"",""[\""MRI\"", null]""}"
"34441340","{""{\""A\"": [\""India\""], \""M\"": [\""USA\""], \""S\"": [\""USA\""], \""V\"": [\""USA\""], \""Z\"": [\""Hungary\""], \""GD\"": [\""UK\""], \""JS\"": [\""USA\""], \""SK\"": [\""USA\""]}""}"
"34463636","{""[\""Binary\""]"",""[\""Infection\""]""}"
"34463809","{""Clinical data\""]"",""[\""Imaging"",""Low-Dose CT\""]"",""[\""PET/CT""}"
"34508027","{""{\""text\"": null, \""image\"": null, \""video\"": null}""}"
"34526639","{""[\""Compression ultrasound"",""[\""ultrasound"",""Ultrasound videos\""]"",""video\""]""}"
"34526654","{""[\""fMRI"",""[\""Functional Magnetic Resonance Imaging (fMRI)\""]"",""structural MRI\""]""}"
"34561528","{""Brain Computed Tomography (CT) Scans\""]"",""[\""Chest Radiographs"",""Computed Tomography (CT)\""]"",""[\""Image""}"
"34606915","{[]}"
"34620391","{""[\""Echocardiographic"",""[\""echocardiography"",""Hemodynamic\""]"",""hemodynamics\""]""}"
"34635910","{""[\""Gastroenterology"",""Surgery\""]""}"
"34680474","{""Clinical Variables\""]"",""[\""MRI"",""[\""MRI\""]""}"
"34791422","{""electronic health records"",""Electronic Health Records"",""[\""electronic monitoring"",""[\""Electronic Monitoring"",smartphones,""Smartphones\""]"",""wearables\""]""}"
"34823246","{""[\""Clinical\""]"",""ECG\""]"",""[\""Medical Images""}"
"34850171","{""CT\""]"",""[\""Diagnostic Imaging\""]"",""[\""MRI""}"
"34862541","{""CT\""]"",""[\""MRI"",""[\""Neuroimaging\""]""}"
"34867950","{""[\""Proteomics\""]"",""[\""SOMAscan platform\""]""}"
"34889978","{""[{\""ForeName\"": \""Simone"",""Initials\"": \""S"",""LastName\"": \""Furini\""}]"",""[\""Medical\""]""}"
"34921162","{""[\""Electrocardiogram\""]"",""Fetal ECG\""]"",""[\""Maternal abdominal electrocardiograms""}"
"34921746","{""EEG\""]"",""[\""fMRI"",""[\""Functional MRI"",""Neurofeedback\""]""}"
"34937750","{""[\""upper limb Fugl-Meyer (FM) scores\""]""}"
"34949699","{""[\""computed tomography\""]"",""[\""CT\""]""}"
"34957914","{""Clinical Outcomes\""]"",""[\""Medical Imaging"",""[\""Text\""]""}"
"34967848","{""image\""]"",""[\""text""}"
"35009639","{""Description\"": \""Electroencephalography\""}, {\""Modality\"": \""VR"",""Description\"": \""Virtual reality\""}]"",""[\""EEG\""]"",""[{\""Modality\"": \""EEG""}"
"35118777","{}"
"35121948","{""[\""Electronic Health Records (EHRs)"",""[\""health data"",""medical notes\""]""}"
"35138012","{""angiography\""]"",""Angiography\""]"",""[\""magnetic resonance imaging"",""[\""Structural Magnetic Resonance Imaging""}"
"35210316","{""[\""Imaging"",""Machine Learning\""]""}"
"35210331","{""Medicine\""]"",Neurology,""Neurology\""]"",""[\""Neuroradiology"",Radiology}"
"35225756","{""[null, null, null, null, null, null]""}"
"35264564","{}"
"35269470","{""image\""]"",""Medical\""]"",""[\""Research"",""[\""text""}"
"35294251","{""behavioral\""]"",""[\""brain functional magnetic resonance imaging"",""[\""fMRI\""]""}"
"35305545","{""[\""Image\""]"",""[\""MRI\""]""}"
"35360927","{""[\""text\""]""}"
"35391789","{}"
"35394862","{[],""[\""Text\""]""}"
"35474073","{""[\""ECG"",""[\""ECG\""]"",""Image\""]""}"
"35562794","{""[\""Flow Cytometry\""]""}"
"35616520","{""[{\""modality\"": \""None\""}, {\""modality\"": \""Department of Child and Adolescent Psychiatry and Psychotherapy, University Medical Centre Göttingen, Göttingen, Germany.\""}]""}"
"35658811","{""[\""Health satisfaction"",""[\""Imaging\""]"",""Subjective social standing\""]""}"
"35670996","{""[\""Neurology"",""Radiology\""]"",""[\""text\""]""}"
"35688143","{""[\""ECG"",""[\""Electrocardiograms\""]"",""Reduced-lead electrocardiograms\""]""}"
"35878565","{""functional connectivity\""]"",""Functional connectivity\""]"",""[\""Nonbrain"",""[\""non-brain data"",""structural MRI"",""Structural MRI""}"
"35912214","{""[\""Gadolinium-enhanced T1-weighted MRIs\""]"",""[\""MRI\""]""}"
"35953082","{}"
"35956358","{""clinical\""]"",""[\""metagenomic"",""[\""Stool DNA\""]""}"
"35970914","{""[\""Facial phenotyping"",""Medical records\""]"",""[\""photos"",""videos\""]""}"
"35990802","{""[\""text\""]"",""[\""Text"",Text,""Text\""]""}"
"36071172","{""[\""image"",""text\""]""}"
"36104854","{""[\""Brain_Structure_Function_Relationship"",""[\""gray matter volumes"",""resting-state functional connectivity\""]"",""Resting-State_Functional_Connectivity\""]""}"
"36183654","{""Latent class models\""]"",""[{\""Modality\"": \""Blood samples\""}]"",""[\""Serum samples""}"
"36228649","{""[\""Endoscopy\""]"",""Image\""]"",""[\""Video""}"
"36319708","{""blood serum\""]"",""[\""Blood serum\""]"",""[\""NlmCategory""}"
"36371527","{Anatomy,""Anatomy\""]"",Etiologies,""Imaging\""]"",Immunohistochemistry,""[\""Microscopy""}"
"36470898","{""[{\""modality\"": \""image\""}, {\""modality\"": \""text\""}]""}"
"36481929","{}"
"36497479","{""[\""Affymetrix gene expression"",""FDG-PET signals\""]"",""[\""gene expression""}"
"36597110","{""[\""mobilization\""]""}"
"36607506","{""CT\""]"",""FLAIR MRI\""]"",""[\""MRI"",""[\""NCCT""}"
"36632188","{""[\""Anatomical features"",""Histological and molecular features\""]"",""[\""histopathologic"",""molecular\""]""}"
"36641812","{""[\""Images\""]"",""[\""Nailfold video capillaroscopy\""]""}"
"36716998","{""[\""Text\""]""}"
"36867224","{}"
"36921404","{""cognitive assessment battery\""]"",""[\""functional magnetic resonance imaging"",""[\""image"",""text\""]""}"
"37002267","{""[\""anatomical lesion patterns"",""[\""Anatomical lesion patterns\""]"",""language performance\""]""}"
"37158607","{""[{\""category\"": \""text"",""subcategory\"": null}]"",""subcategory\"": null}, {\""category\"": \""bacterial_abundance_data"",""[\""time series data\""]""}"
"37202113","{""[\""Computed Tomography\""]"",""[\""Intracranial\""]""}"
"37219619","{""[\""MRI\""]"",""[\""radiology"",""rheumatology\""]""}"
"37231096","{""[\""genetics"",""Image\""]"",""single-cell\""]"",""[\""Text""}"
"37257824","{""[\""Histopathology"",""[\""Histopathology\""]"",""Whole slide images\""]""}"
"37292770","{""[\""image"",""[\""Medical Images"",""Medical Text Reports\""]"",""quantitative\""]""}"
"37343696","{""[\""Proteomic Dynamics\""]""}"
"37516990","{""[\""Speech\""]""}"
"37537362","{""[\""CT scans"",""[\""Imaging"",""Mass Spectrometry\""]"",""Mass spectrometry imaging\""]""}"
"37573418","{""lumbar spinal tissue"",""[\""nervous system"",""psychosocial factors\""]""}"
"37594523","{""CT\""]"",""[\""MRI"",""[\""MRI\""]""}"
"37612309","{""[\""Image"",""[\""Image\""]"",""Photograph\""]""}"
"37641619","{""[\""annualized relapse rates"",""Machine Learning Methods\""]"",""[\""Registry Data"",""time to first relapse\""]""}"
"37855075","{""[\""functional magnetic resonance imaging\""]"",""[\""Functional Magnetic Resonance Imaging\""]""}"
"37858907","{""Behavioral\""]"",EEG,""[\""MRI"",""[\""Questionnaire"",""Survey Data\""]""}"
"38014199","{""[\""fMRI\""]"",""[\""Functional MRI\""]""}"
"38019168","{""Clinical\""]"",""[\""Demographic"",""[{\""Modality\"": \""demographics\""}, {\""Modality\"": \""clinical indicators\""}]""}"
"38123557","{""[\""Mass Spectrometry\""]"",""{\""Modality1\"": 0.7, \""Modality2\"": 0.3}""}"
"38133915","{""[\""Image\""]""}"
"38156913","{""[\""N/A\""]"",""[\""Text\""]""}"
"38159275","{""[\""brain imaging\""]"",""[\""Functional magnetic resonance imaging"",""Structural magnetic resonance imaging\""]""}"
"38185882","{""ASL\""]"",MRI,""MRI\""]"",""[\""PET""}"
"38193866","{""[\""histological tumour type"",""lymphovascular invasion"",""[\""Pathology data\""]"",""tumour grade\""]""}"
"38212349","{""Image\""]"",""[\""Text""}"
"38234807","{""[\""Whole-Genome Sequencing\""]""}"
"38234857","{""[\""Image"",""Text\""]""}"
"38266105","{[],""[\""Medical\""]""}"
"38324597","{""Audio\""], null, null, null, null, null]"",""CT Scan\""], null, [\""X-Ray"",""EEG\""], [\""Speech"",""MRI\""], [\""ECG"",""Text\""], [\""Video"",""[[\""X-Ray\""], [\""MRI""}"
"38326559","{""[\""Imaging"",""Psychiatry\""]""}"
"38332374","{""[\""brain structural neuroimaging\""]""}"
"38402362","{""[\""EHR"",""image\""]"",""Lab data\""]"",""[\""text""}"
"38444851","{""image\""]"",""[\""Immunology\""]"",""[\""text""}"
"38446766","{}"
"38509230","{Cognitive,""Global Functioning\""]"",""[\""Sensorimotor""}"
"38532015","{""[\""Cell\""]"",""[\""Image"",""Text\""]""}"
"38537536","{""[\""CT\""]"",""[\""CT perfusion imaging"",MRI,""Ultrasound\""]""}"
"38544181","{audio,""Audio\""]"",""physiological data\""]"",""[\""video"",""[\""Video""}"
"38547927","{""[\""Endoscopy videos\""]"",""Text\""]"",""[\""Video""}"
"38604736","{""[\""MR\""]"",""{\""size\"": {\""count\"": 1}, \""type\"": {\""count\"": null}}""}"
"38664377","{Clinical,""clinical data\""]"",""Genetic\""]"",""[\""MRI"",Sociodemographic,""[\""Structural MRI""}"
"38669487","{""Medical Imaging\""]"",""[\""Medical Records"",""[\""musculoskeletal\""]""}"
"38707712","{Auditory,""Cognitive\""]"",""Executive control\""]"",""[\""Language"",""[\""Visual""}"
"38727827","{[],""Electronic Health Records\""]"",""[\""Survey""}"
"38769334","{""[\""Medical"",""Pharmacology\""]""}"
"38842257","{""Ileocolonoscopy\""]"",""Magnetic resonance enterography"",""[\""Serum metabolites"",""[\""Serum metabolites\""]""}"
"38842593","{""[\""Metabolomic"",""[\""Metabolomics\""]"",""Xenobiotic\""]""}"
"38848770","{""[\""Computed Tomography\""]"",""[\""Image data\""]""}"
"38926357","{""[\""Histopathology images"",""[\""Histopathology images\""]"",""Whole genome sequencing\""]""}"
"39013848","{""Brain Imaging\""]"",""[\""Magnetic Resonance""}"
"31926806","{""[null, null, null, null, null]""}"
