"pid","countries","x","modalities","modalities2"
"29274736","[""Canada"", ""Mexico"", ""United Kingdom""]","[""Tissue Density Estimates"", ""Cortical Thickness""], [""magnetic resonance images""]","[""Tissue Density Estimates"", ""Cortical Thickness""]","[""magnetic resonance images""]"
"29288983","[""Canada"", ""France"", ""United States""]","[""T2-weighted"", ""T1-weighted"", ""T2* weighted"", ""Diffusion-weighted""], [""MRI""]","[""T2-weighted"", ""T1-weighted"", ""T2* weighted"", ""Diffusion-weighted""]","[""MRI""]"
"29294157","[""Canada""]","[""Computed Tomography""], [""CT scans""]","[""Computed Tomography""]","[""CT scans""]"
"29300432","[""Canada""]",NULL,"[""Bedside clinical assessment""]",NULL
"29304138","[""Canada""]","[""Histopathological images"", ""Ki67 scores""], [""image"", ""pathology""]","[""Histopathological images"", ""Ki67 scores""]","[""image"", ""pathology""]"
"29306928","[""Canada"", ""Iran"", ""United States""]",NULL,"[""Genetic data""]",NULL
"29321970","[""Canada"", ""Japan""]","[""EEG"", ""fMRI""], [""EEG"", ""fMRI""]","[""EEG"", ""fMRI""]","[""EEG"", ""fMRI""]"
"29334038","[""Canada""]","[""MRI""], [""MRI"", ""Neuronavigation""]","[""MRI""]","[""MRI"", ""Neuronavigation""]"
"29335008","[""Australia"", ""Canada"", ""United Kingdom""]","[""16S"", ""Shotgun metagenomics""], [""16S rRNA gene"", ""shotgun metagenomics""]","[""16S"", ""Shotgun metagenomics""]","[""16S rRNA gene"", ""shotgun metagenomics""]"
"29336922","[""Canada""]","[""PET""], [""Images""]","[""PET""]","[""Images""]"
"29340580","[""Canada"", ""Denmark"", ""Russia"", ""South Korea"", ""United Kingdom"", ""United States""]","[""Blood Samples""], [""Hematological""]","[""Blood Samples""]","[""Hematological""]"
"29344313","[""Canada""]","[""Genomic Data""], [""DNA methylation""]","[""Genomic Data""]","[""DNA methylation""]"
"29346286","[""Canada""]",NULL,NULL,"[]"
"29354080","[""Canada""]","[""Audio"", ""Physiological""], [""audio"", ""physiological""]","[""Audio"", ""Physiological""]","[""audio"", ""physiological""]"
"29355792","[""Canada""]","[""Biomechanical"", ""Robotic""], [""force"", ""movement""]","[""Biomechanical"", ""Robotic""]","[""force"", ""movement""]"
"29356281","[""Canada"", ""United States""]","[""Physiological""], [""Energy"", ""Mood""]","[""Physiological""]","[""Energy"", ""Mood""]"
"29356346","[""Canada"", ""China""]","[""Audiogram"", ""Initial Hearing Level"", ""Time Elapse between Symptom Onset and Study Entry""], [""Audiogram"", ""Hearing level""]","[""Audiogram"", ""Initial Hearing Level"", ""Time Elapse between Symptom Onset and Study Entry""]","[""Audiogram"", ""Hearing level""]"
"29377156","[""Canada"", ""Korea, Republic of"", ""United States""]","[""prostate cancer treatment"", ""radiation therapy""], [""radiation therapy"", ""computed tomography""]","[""prostate cancer treatment"", ""radiation therapy""]","[""radiation therapy"", ""computed tomography""]"
"29378522","[""Canada""]","[""EEG""], [""Electroencephalography""]","[""EEG""]","[""Electroencephalography""]"
"29380275","[""Australia"", ""Bulgaria"", ""Canada"", ""France"", ""Thailand""]","[""Psychiatric""], [""Text""]","[""Psychiatric""]","[""Text""]"
"29391513","[""Canada"", ""Pakistan""]",NULL,"[""Medical Records""]",NULL
"29398207","[""Canada"", ""United Kingdom"", ""United States""]","[""Functional magnetic resonance imaging""], [""functional MRI""]","[""Functional magnetic resonance imaging""]","[""functional MRI""]"
"29407288","[""Canada""]",NULL,NULL,"[""Genome-wide data"", ""Self-reporting""]"
"29450848","[""Canada"", ""China""]","[""MRI""], [""T1/T2-weighted MRI scans""]","[""MRI""]","[""T1/T2-weighted MRI scans""]"
"29454222","[""Canada"", ""Czechia"", ""Germany"", ""Turkey""]","[""Magnetic Resonance Imaging"", ""Lipids and body mass index""], [""structural MRI"", ""fasting lipids"", ""body mass index""]","[""Magnetic Resonance Imaging"", ""Lipids and body mass index""]","[""structural MRI"", ""fasting lipids"", ""body mass index""]"
"29502031","[""Canada""]","[""FDG-PET""], [""FDG-PET metabolism imaging""]","[""FDG-PET""]","[""FDG-PET metabolism imaging""]"
"29539639","[""Australia"", ""Austria"", ""Canada"", ""Denmark"", ""France"", ""Germany"", ""Ireland"", ""Italy"", ""Luxembourg"", ""Netherlands"", ""Norway"", ""Russia"", ""Switzerland"", ""United Kingdom"", ""United States""]","[""DNA methylation""], [""text"", ""image"", ""audio""]","[""DNA methylation""]","[""text"", ""image"", ""audio""]"
"29540617","[""Canada"", ""United States""]",NULL,NULL,"[{""Modality"": ""Kinesthetic feedback""}, {""Modality"": ""Vision""}, {""Modality"": ""Intent""}]"
"29543895","[""Canada"", ""Switzerland""]","[""Registry data""], [""software tool"", ""model""]","[""Registry data""]","[""software tool"", ""model""]"
"29548746","[""Canada"", ""United States""]","[""Gene expression""], [""gene expression"", ""brain transcriptional profile""]","[""Gene expression""]","[""gene expression"", ""brain transcriptional profile""]"
"29550305","[""Canada"", ""Israel"", ""Switzerland"", ""United States""]","[""Medical Imaging""], [""image"", ""text""]","[""Medical Imaging""]","[""image"", ""text""]"
"29558208","[""Canada"", ""Norway"", ""United States""]","[""knee kinematics"", ""tibial internal rotation""], [""robotic testing system"", ""6 degrees of freedom""]","[""knee kinematics"", ""tibial internal rotation""]","[""robotic testing system"", ""6 degrees of freedom""]"
"29581092","[""Canada"", ""Spain"", ""United States""]","[""Typing""], [""typing""]","[""Typing""]","[""typing""]"
"29603092","[""Canada"", ""United States""]","[""CSF"", ""miRNA""], [""MicroRNA expression levels"", ""Cerebrospinal fluid""]","[""CSF"", ""miRNA""]","[""MicroRNA expression levels"", ""Cerebrospinal fluid""]"
"29606521","[""Canada"", ""France"", ""Iran""]",NULL,NULL,NULL
"29609039","[""Canada""]","[""MRI""], [""Brain MRI Images""]","[""MRI""]","[""Brain MRI Images""]"
"29616521","[""Canada""]","[""Near-infrared spectrometer""], [""Cerebral oxygenation"", ""Neurological function""]","[""Near-infrared spectrometer""]","[""Cerebral oxygenation"", ""Neurological function""]"
"29632364","[""Canada""]","[""MR"", ""PET""], [""structural MR"", ""FDG-PET images""]","[""MR"", ""PET""]","[""structural MR"", ""FDG-PET images""]"
"29636016","[""Canada"", ""Czechia"", ""Germany"", ""Turkey""]","[""Diffusion Tensor Imaging""], [""MRI""]","[""Diffusion Tensor Imaging""]","[""MRI""]"
"29642656","[""Canada""]",NULL,NULL,NULL
"29662628","[""Canada"", ""United States""]","[""gene expression""], [""gene expression""]","[""gene expression""]","[""gene expression""]"
"29664902","[""Canada""]","[""Structural"", ""Functional""], [""Structural MRI"", ""Functional MRI""]","[""Structural"", ""Functional""]","[""Structural MRI"", ""Functional MRI""]"
"29665537","[""Canada""]","[""Digital Breast Tomosynthesis""], [""2D Slices""]","[""Digital Breast Tomosynthesis""]","[""2D Slices""]"
"29673341","[""Brazil"", ""Canada""]","[""Pelvic acceleration""], [""pelvic acceleration"", ""kinematic data""]","[""Pelvic acceleration""]","[""pelvic acceleration"", ""kinematic data""]"
"29674371","[""Canada"", ""China""]","[""NCCT""], [""CT""]","[""NCCT""]","[""CT""]"
"29679492","[""Canada""]","[""DVHs"", ""organ-at-risk""], [""DVHs"", ""Clinical plans""]","[""DVHs"", ""organ-at-risk""]","[""DVHs"", ""Clinical plans""]"
"29688388","[""Canada"", ""United States""]","[""MRI"", ""Functional connectivity""], [""Grey Matter Volume"", ""Whole-Brain Resting State Functional Connectivity""]","[""MRI"", ""Functional connectivity""]","[""Grey Matter Volume"", ""Whole-Brain Resting State Functional Connectivity""]"
"29689632","[""Canada""]","[""Ultrasound""], [""Ultrasound""]","[""Ultrasound""]","[""Ultrasound""]"
"29693792","[""Brazil"", ""Canada"", ""China"", ""United States""]","[""Proteomics""], [{""Description"": ""text data""}, {""Description"": ""image data""}, {""Description"": ""audio data""}]","[""Proteomics""]","[{""Description"": ""text data""}, {""Description"": ""image data""}, {""Description"": ""audio data""}]"
"29708944","[""Canada"", ""Turkey"", ""United States""]","[""Functional Connectivity""], [""brain imaging""]","[""Functional Connectivity""]","[""brain imaging""]"
"29747532","[""Belgium"", ""Canada"", ""Netherlands"", ""United Kingdom""]","[""EEG""], [""EEG""]","[""EEG""]","[""EEG""]"
"29748112","[""Canada""]","[""Video""], [""Video""]","[""Video""]","[""Video""]"
"29753765","[""Austria"", ""Canada"", ""Germany"", ""Israel"", ""Italy"", ""Netherlands"", ""Portugal"", ""Saudi Arabia"", ""South Korea"", ""Switzerland"", ""United States""]","[""Imaging"", ""Cardiology""], [""CT"", ""MRI""]","[""Imaging"", ""Cardiology""]","[""CT"", ""MRI""]"
"29766373","[""Canada""]","[""MRI""], [""MRI""]","[""MRI""]","[""MRI""]"
"29766490","[""Canada"", ""France"", ""Monaco""]",NULL,NULL,NULL
"29766558","[""Canada"", ""United States""]","[""Text"", ""Numerical""], [""Text""]","[""Text"", ""Numerical""]","[""Text""]"
"29775951","[""Canada""]","[""Retinal Blood Vessel""], [""Image""]","[""Retinal Blood Vessel""]","[""Image""]"
"29779671","[""Canada"", ""Georgia"", ""United States""]","[""Functional magnetic resonance imaging (fMRI)""], [""Psychological Data""]","[""Functional magnetic resonance imaging (fMRI)""]","[""Psychological Data""]"
"29780871","[""Canada"", ""Mexico""]","[""Audio"", ""Text""], [""Audio"", ""Text""]","[""Audio"", ""Text""]","[""Audio"", ""Text""]"
"29801696","[""Canada"", ""China""]","[""Plain Text"", ""Structured Database""], [""Text"", ""Structured dataset""]","[""Plain Text"", ""Structured Database""]","[""Text"", ""Structured dataset""]"
"29803920","[""Canada""]","[""Anterior-posterior (AP)"", ""Lateral (LAT)""], [""Anterior-posterior (AP)"", ""Lateral (LAT)""]","[""Anterior-posterior (AP)"", ""Lateral (LAT)""]","[""Anterior-posterior (AP)"", ""Lateral (LAT)""]"
"29844507","[""Canada"", ""South Korea"", ""United States""]","[""Macrostructural MRI"", ""Microstructural diffusion tensor imaging (DTI)""], [{""Modality"": ""Brain MRI""}, {""Modality"": ""Diffusion tensor imaging (DTI)""}]","[""Macrostructural MRI"", ""Microstructural diffusion tensor imaging (DTI)""]","[{""Modality"": ""Brain MRI""}, {""Modality"": ""Diffusion tensor imaging (DTI)""}]"
"29844511","[""Canada"", ""China""]",NULL,NULL,NULL
"29860189","[""Canada""]","[""Nasal airflow""], [""Nasal airflow""]","[""Nasal airflow""]","[""Nasal airflow""]"
"29886760","[""Canada"", ""United States""]","[""Medical""], None","[""Medical""]","None"
"29869321","[""Canada"", ""Japan"", ""Portugal"", ""United States""]","[""3D ultrasound""], [""3D ultrasound"", ""image""]","[""3D ultrasound""]","[""3D ultrasound"", ""image""]"
"29879201","[""Canada""]","[""nursing notes""], [""Text""]","[""nursing notes""]","[""Text""]"
"29886268","[""Canada"", ""United States""]","[""Ultrasound""], [""Ultrasound Images"", ""MRI Data"", ""Temporal Information""]","[""Ultrasound""]","[""Ultrasound Images"", ""MRI Data"", ""Temporal Information""]"
"29889330","[""Austria"", ""Canada"", ""France"", ""Germany"", ""Ireland"", ""United Kingdom"", ""United States""]",NULL,NULL,"[""fMRI"", ""EEG""]"
"29890954","[""Canada""]","[""MRSA Colonization"", ""Electronic Records""], [""Text""]","[""MRSA Colonization"", ""Electronic Records""]","[""Text""]"
"29893482","[""Canada""]",NULL,NULL,"[""robot"", ""needle insertion""]"
"29905649","[""Canada""]","[""Functional MRI""], [""MRI""]","[""Functional MRI""]","[""MRI""]"
"29905656","[""Canada"", ""United States""]","[""Functional magnetic resonance imaging""], [""Blood oxygenation-level-dependent (BOLD) signal"", ""Pain ratings"", ""Stimulus temperatures""]","[""Functional magnetic resonance imaging""]","[""Blood oxygenation-level-dependent (BOLD) signal"", ""Pain ratings"", ""Stimulus temperatures""]"
"29921920","[""Canada"", ""China"", ""United States""]","[""Functional connectivity data""], [""Blood-Oxygen-Level Dependent Signals""]","[""Functional connectivity data""]","[""Blood-Oxygen-Level Dependent Signals""]"
"29923104","[""Canada"", ""Israel"", ""Taiwan"", ""United States""]","[""SPECT"", ""CT"", ""MRI""], [""Imaging""]","[""SPECT"", ""CT"", ""MRI""]","[""Imaging""]"
"29949021","[""Canada"", ""Mexico""]","[""2D"", ""3D""], [""2D and 3D images"", ""stereoradiographic 3D reconstruction""]","[""2D"", ""3D""]","[""2D and 3D images"", ""stereoradiographic 3D reconstruction""]"
"29964127","[""Canada""]","[""Microsoft Azure Machine Learning Studio""], [""Text""]","[""Microsoft Azure Machine Learning Studio""]","[""Text""]"
"29969172","[""Canada""]","[""Imaging""], [""Demographic"", ""Clinical"", ""Imaging and Operative Data""]","[""Imaging""]","[""Demographic"", ""Clinical"", ""Imaging and Operative Data""]"
"29971330","[""Canada"", ""Georgia"", ""Israel"", ""United States""]","[""Neuroanatomical Maturity""], {""T1-weighted_magnetic_resonance_images"": true}","[""Neuroanatomical Maturity""]","{""T1-weighted_magnetic_resonance_images"": true}"
"29980214","[""Canada"", ""China"", ""United States""]","[""Medical imaging"", ""Radiation therapy""], [""2D Dose Map"", ""3D Dose Data""]","[""Medical imaging"", ""Radiation therapy""]","[""2D Dose Map"", ""3D Dose Data""]"
"30005591","[""Canada"", ""Japan""]","[""Gene Expression Omnibus""], [""genes"", ""proteins""]","[""Gene Expression Omnibus""]","[""genes"", ""proteins""]"
"30010088","[""Canada""]","[""Electrocardiogram""], [""ECG""]","[""Electrocardiogram""]","[""ECG""]"
"30012102","[""Canada""]","[""MRI"", ""Cerebrospinal fluid samples""], [""MRI"", ""CT scan""]","[""MRI"", ""Cerebrospinal fluid samples""]","[""MRI"", ""CT scan""]"
"30012686","[""Canada""]","[""Functional magnetic resonance imaging (fMRI)""], [""Brain Imaging""]","[""Functional magnetic resonance imaging (fMRI)""]","[""Brain Imaging""]"
"30015242","[""Canada""]",NULL,NULL,"[""Human"", ""Machine""]"
"30020426","[""Bangladesh"", ""Canada"", ""Nepal"", ""Turkey"", ""United States""]","[""Plasma antibody responses"", ""Immunoglobulin A responses""], [""plasma antibody responses""]","[""Plasma antibody responses"", ""Immunoglobulin A responses""]","[""plasma antibody responses""]"
"30025851","[""Canada"", ""China"", ""Czechia"", ""Finland"", ""France"", ""Germany"", ""Italy"", ""Romania"", ""Spain"", ""United Kingdom""]",NULL,"[""Neuroscience""]",NULL
"30046955","[""Canada"", ""China""]","[""3D ultrasound"", ""intensity""], [""Ultrasound""]","[""3D ultrasound"", ""intensity""]","[""Ultrasound""]"
"30060575","[""Canada""]","[""MRI""], [""MRI"", ""Apparent Diffusion Coefficient""]","[""MRI""]","[""MRI"", ""Apparent Diffusion Coefficient""]"
"30064263","[""Canada""]","[""dermoscopy"", ""hypodermoscopy""], [""Dermoscopy"", ""Hypodermoscopy""]","[""dermoscopy"", ""hypodermoscopy""]","[""Dermoscopy"", ""Hypodermoscopy""]"
"30064477","[""Canada"", ""Italy""]","[""Audio"", ""Myoelectric""], [""Audio"", ""Robotics""]","[""Audio"", ""Myoelectric""]","[""Audio"", ""Robotics""]"
"30084192","[""Canada"", ""China"", ""Mexico"", ""United States""]","[""fMRI""], {""Department of Medical Biophysics, University of Western Ontario, London, ON, Canada."": null, ""Lawson Health Research Institute, London Health Sciences Centre, London, ON, Canada."": null, ""Department of Psychiatry, University of Western Ontario Schulich School of Medicine and Dentistry, London, ON, Canada."": null}","[""fMRI""]","{""Department of Medical Biophysics, University of Western Ontario, London, ON, Canada."": null, ""Lawson Health Research Institute, London Health Sciences Centre, London, ON, Canada."": null, ""Department of Psychiatry, University of Western Ontario Schulich School of Medicine and Dentistry, London, ON, Canada."": null}"
"30089110","[""Canada"", ""Georgia"", ""United States""]","[""thoracic phase signals""], [""electrophysiology""]","[""thoracic phase signals""]","[""electrophysiology""]"
"30089915","[""Canada"", ""Finland"", ""United States""]","[""Genomics""], [""Genomics""]","[""Genomics""]","[""Genomics""]"
"30091677","[""Canada"", ""Poland"", ""United Kingdom""]","[""ICP"", ""TCD""], [""transcranial Doppler"", ""intracranial pressure""]","[""ICP"", ""TCD""]","[""transcranial Doppler"", ""intracranial pressure""]"
"30099076","[""Australia"", ""Canada"", ""Denmark"", ""France"", ""Japan"", ""Mexico"", ""Spain"", ""United States""]","[""Computerized tomography"", ""Magnetic resonance imaging""], [""Image"", ""Text"", ""Audio""]","[""Computerized tomography"", ""Magnetic resonance imaging""]","[""Image"", ""Text"", ""Audio""]"
"30104567","[""Austria"", ""Canada"", ""China"", ""Czechia"", ""Denmark"", ""France"", ""Germany"", ""Greece"", ""Israel"", ""Italy"", ""Korea, Republic of"", ""Netherlands"", ""Norway"", ""Poland"", ""Romania"", ""Serbia"", ""Singapore"", ""Spain"", ""Sweden"", ""United Kingdom"", ""United States""]",NULL,NULL,"[""text"", ""image""]"
"30111303","[""Canada""]",NULL,NULL,"[""Maternal characteristics"", ""Gestational weight gain""]"
"30114914","[""Canada"", ""United States""]","[""Chemical features""], [""Chemical features"", ""Continuous molecular descriptors""]","[""Chemical features""]","[""Chemical features"", ""Continuous molecular descriptors""]"
"30121208","[""Canada""]","[""magnetic resonance imaging"", ""transcranial magnetic stimulation""], [""TMS"", ""MRI""]","[""magnetic resonance imaging"", ""transcranial magnetic stimulation""]","[""TMS"", ""MRI""]"
"30132040","[""Canada"", ""Switzerland"", ""United States""]","[""Functional magnetic resonance imaging (fMRI)""], [""Functional MRI""]","[""Functional magnetic resonance imaging (fMRI)""]","[""Functional MRI""]"
"30132089","[""Australia"", ""Canada""]","[""Multiphase CT""], [""X-Ray"", ""CT Scan""]","[""Multiphase CT""]","[""X-Ray"", ""CT Scan""]"
"30135484","[""Canada"", ""Saudi Arabia"", ""Yemen""]","[""Microwave sensing""], [""microwave sensing""]","[""Microwave sensing""]","[""microwave sensing""]"
"30150560","[""Canada""]","[""3-dimensional (3D) linear accelerations""], [""linear accelerations"", ""3D""]","[""3-dimensional (3D) linear accelerations""]","[""linear accelerations"", ""3D""]"
"30155514","[""Canada""]","[""Cognitive"", ""Motor""], [{""Modality"": ""Cognitive"", ""Variables"": [""executive"", ""attentional"", ""visuoperceptive""]}, {""Modality"": ""Motor"", ""Variables"": null}]","[""Cognitive"", ""Motor""]","[{""Modality"": ""Cognitive"", ""Variables"": [""executive"", ""attentional"", ""visuoperceptive""]}, {""Modality"": ""Motor"", ""Variables"": null}]"
"30155789","[""Canada"", ""France"", ""Germany"", ""Netherlands"", ""Spain"", ""Switzerland"", ""United Kingdom""]","[""Imaging""], [""Imaging""]","[""Imaging""]","[""Imaging""]"
"30170769","[""Bangladesh"", ""Canada""]","[""EEG"", ""EOG""], [""EEG"", ""EOG""]","[""EEG"", ""EOG""]","[""EEG"", ""EOG""]"
"30171211","[""Australia"", ""Brazil"", ""Canada"", ""Colombia"", ""France"", ""Germany"", ""Ireland"", ""Mexico"", ""Netherlands"", ""Norway"", ""South Africa"", ""Spain"", ""Sweden"", ""United Kingdom"", ""United States""]",NULL,"[""structural MRI""]",NULL
"30172227","[""Australia"", ""Canada""]","[""EEG""], [""EEG""]","[""EEG""]","[""EEG""]"
"30185806","[""Canada"", ""South Korea""]","[""Fluorodeoxyglucose (FDG)"", ""Single photon emission computed tomography""], [""PET"", ""FDG""]","[""Fluorodeoxyglucose (FDG)"", ""Single photon emission computed tomography""]","[""PET"", ""FDG""]"
"30186761","[""Canada"", ""Israel"", ""United States""]","[""Fluorodeoxyglucose positron emission tomography (FDG-PET)"", ""Imaging""], [""Fluorodeoxyglucose positron emission tomography (FDG-PET)"", ""Glucose metabolism""]","[""Fluorodeoxyglucose positron emission tomography (FDG-PET)"", ""Imaging""]","[""Fluorodeoxyglucose positron emission tomography (FDG-PET)"", ""Glucose metabolism""]"
"30187575","[""Austria"", ""Canada""]","[""Dermatoscopic images"", ""Macroscopic images""], [""dermatoscopic image"", ""macroscopic image""]","[""Dermatoscopic images"", ""Macroscopic images""]","[""dermatoscopic image"", ""macroscopic image""]"
"30207594","[""Canada"", ""Italy""]","[""Image""], [""Images""]","[""Image""]","[""Images""]"
"30209345","[""Brazil"", ""Canada"", ""France"", ""Spain"", ""Sweden"", ""Switzerland"", ""United States""]","[], [""Computer Vision and Robotics (VICOROB)"", ""Medical Image Analysis Lab"", ""Department of Radiology, Children's Hospital""]","[]","[""Computer Vision and Robotics (VICOROB)"", ""Medical Image Analysis Lab"", ""Department of Radiology, Children's Hospital""]"
"30216140","[""Canada"", ""Turkey"", ""United States""]","[""Neural""], [""Neural features"", ""Intention to move in a direction""]","[""Neural""]","[""Neural features"", ""Intention to move in a direction""]"
"30216352","[""Canada""]","[""Magnetic resonance (MR) imaging"", ""Genetic"", ""Clinical""], [""Magnetic Resonance Imaging (MRI)"", ""Genetic variables"", ""Clinical variables""]","[""Magnetic resonance (MR) imaging"", ""Genetic"", ""Clinical""]","[""Magnetic Resonance Imaging (MRI)"", ""Genetic variables"", ""Clinical variables""]"
"30216362","[""Canada""]","[""microarray""], [""Image data"", ""Clinical data""]","[""microarray""]","[""Image data"", ""Clinical data""]"
"30218110","[""Canada"", ""Germany""]","[""Magnetic Resonance Imaging""], [""MRI"", ""clinical data""]","[""Magnetic Resonance Imaging""]","[""MRI"", ""clinical data""]"
"30229903","[""Canada"", ""Germany"", ""Ireland"", ""Israel"", ""Italy"", ""Spain"", ""Sweden"", ""United Kingdom""]",NULL,NULL,"[]"
"30243203","[""Canada""]","[""robotic technology"", ""Repeatable Battery for the Assessment of Neuropsychological Status (RBANS)""], [""Cognitive"", ""Sensorimotor""]","[""robotic technology"", ""Repeatable Battery for the Assessment of Neuropsychological Status (RBANS)""]","[""Cognitive"", ""Sensorimotor""]"
"30243670","[""Canada""]","[""MR""], [""MRI""]","[""MR""]","[""MRI""]"
"30252978","[""Canada"", ""China"", ""United States""]","[""3.0T MRI"", ""T2 -weighted (T2 W) and multi-b-value diffusion-weighted (DW) sequences"", ""Apparent diffusion coefficient maps""], [""MRI"", ""T2-weighted images"", ""Diffusion-weighted images""]","[""3.0T MRI"", ""T2 -weighted (T2 W) and multi-b-value diffusion-weighted (DW) sequences"", ""Apparent diffusion coefficient maps""]","[""MRI"", ""T2-weighted images"", ""Diffusion-weighted images""]"
"30262516","[""Canada"", ""United States""]","[""Medical Imaging"", ""Echocardiography""], [""Imaging"", ""Clinical""]","[""Medical Imaging"", ""Echocardiography""]","[""Imaging"", ""Clinical""]"
"30267208","[""Canada"", ""Poland"", ""United Kingdom""]","[""Doppler""], [""electrophysiological data"", ""pressure measurements""]","[""Doppler""]","[""electrophysiological data"", ""pressure measurements""]"
"30300751","[""Canada"", ""China"", ""France"", ""Italy"", ""Japan"", ""Sweden"", ""United Kingdom"", ""United States""]","[""MRI""], [{""MRI"": ""Yes""}, {""CT"": ""No""}]","[""MRI""]","[{""MRI"": ""Yes""}, {""CT"": ""No""}]"
"30301895","[""Canada"", ""Germany"", ""Sweden"", ""United States""]",NULL,NULL,"[""Image""]"
