pid,diseases,modalities,disease_list,refined_general_category_final,stemmed_modalities,modality_category
35727872,"[""coronary artery disease""]","[""myocardial perfusion SPECT""]",['coronary artery disease'],Cardiovascular and Vascular Diseases,['myocardi perfus spect'],Imaging Data
37900603,"[""traumatic spinal cord injury""]","[""patient demographics"", ""baseline injury characteristics"", ""admission"", ""clinical data""]",['traumatic spinal cord injury'],Surgical and Trauma Conditions,"['patient demograph', 'baselin injuri characterist', 'admiss', 'clinic data']",Clinical and Health Records
35967110,"[""Chronic Kidney Disease""]","[""Clinical Data"", ""Laboratory Data"",""administrative data""]",['Chronic Kidney Disease'],Kidney and Renal Diseases,"['clinic data', 'laboratori data', 'administr data']",Clinical and Health Records
35990802,"[""COVID-19""]","[""Questionnaire data""]",['COVID-19'],Respiratory and Lung Conditions,['questionnair data'],Self-reported & Survey Data
38858500,"[""steatosis""]","[""ultrasound images""]",['steatosis'],Other,['ultrasound imag'],Imaging Data
36135395,"[""Dengue""]","[""Clinical data"", ""Laboratory data""]",['Dengue'],Infectious Diseases,"['clinic data', 'laboratori data']",Clinical and Health Records
36183620,"[""joint dislocations""]","[""radiographs""]",['joint dislocations'],Musculoskeletal and Rheumatic Disorders,['radiograph'],Imaging Data
38930089,"[""infertility""]","[""electronic medical records (EMR)""]",['infertility'],Reproductive Health,['electron medic record ( emr )'],Clinical and Health Records
36378672,"[""heart failure"", ""coronary artery disease"", ""elevated left ventricular end diastolic pressure (LVEDP)""]","[""orthogonal voltage gradient (OVG)"", ""photoplethysmography (PPG)""]","['heart failure', 'coronary artery disease', 'elevated left ventricular end diastolic pressure (LVEDP)']",Cardiovascular and Vascular Diseases,"['orthogon voltag gradient ( ovg )', 'photoplethysmographi ( ppg )']",Neurophysiological Data
36394938,,"[""survey"", ""qualitative interviews""]",[],Other,"['survey', 'qualit interview']",Self-reported & Survey Data
36442460,"[""Head and neck cancer""]","[""Clinical data"", ""CT scan""]",['Head and neck cancer'],Cancer and Oncology,"['clinic data', 'ct scan']",Clinical and Health Records
36469776,"[""Cancer""]","[""Plasma glycosaminoglycan profiles"", ""plasma and urine samples""]",['Cancer'],Cancer and Oncology,"['plasma glycosaminoglycan profil', 'plasma and urin sampl']",Laboratory Data
36470898,"[""Glioblastoma""]","[""MRI"",""multi-parametric magnetic resonance imaging (mpMRI)"",""T1-weighted"", ""T2-weighted""]",['Glioblastoma'],Cancer and Oncology,"['mri', 'multi-parametr magnet reson imag ( mpmri )', 't1-weight', 't2-weight']",Imaging Data
36508223,"[""traumatic anterior shoulder dislocations"",""recurrence after arthroscopic Bankart repair""]","[""demographics"", ""patient-specific factors"", ""disease-specific factors"", ""surgical characteristics""]","['traumatic anterior shoulder dislocations', 'recurrence after arthroscopic Bankart repair']",Surgical and Trauma Conditions,"['demograph', 'patient-specif factor', 'disease-specif factor', 'surgic characterist']",Clinical and Health Records
36538363,"[""Delirium""]","[""Electronic health records"", ""Laboratory tests"", ""Medical image reports""]",['Delirium'],Neurological Disorders,"['electron health record', 'laboratori test', 'medic imag report']",Clinical and Health Records
36544398,"[""Unfavorable cervical status"", ""High-risk pregnancies""]","[""Clinical data""]","['Unfavorable cervical status', 'High-risk pregnancies']",Neonatal and Pregnancy-Related Conditions,['clinic data'],Clinical and Health Records
36545250,"[""Chronic Kidney Disease"", ""Cardiovascular Disease""]","[""eGFR"", ""albuminuria"", ""demographics"", ""comorbid conditions""]","['Chronic Kidney Disease', 'Cardiovascular Disease']",Kidney and Renal Diseases,"['egfr', 'albuminuria', 'demograph', 'comorbid condit']",Clinical and Health Records
36652661,"[""non-small cell lung cancer""]","[""CT scans"", ""radiation dose plans"",""Clinical data""]",['non-small cell lung cancer'],Respiratory and Lung Conditions,"['ct scan', 'radiat dose plan', 'clinic data']",Imaging Data
30795962,"[""heart transplant rejection""]","[""molecular diagnostics"", ""biopsies"",""Clinical data""]",['heart transplant rejection'],Transplant and Surgery,"['molecular diagnost', 'biopsi', 'clinic data']",Genomic and Molecular Data
38212387,"[""asthma""]","[""Parental medical history"",""clinical data"",""Environmental data""]",['asthma'],Respiratory and Lung Conditions,"['parent medic histori', 'clinic data', 'environment data']",Clinical and Health Records
36867224,"[""mental health disorders"",""Depression"", ""Anxiety"", ""Suicidal tendencies""]","[""Sociodemographic data"",""Clinical mental health data"",""Beliefs and attitudes"",""Pandemic-specific factors""]","['mental health disorders', 'Depression', 'Anxiety', 'Suicidal tendencies']",Psychiatric and Mental Health Disorders,"['sociodemograph data', 'clinic mental health data', 'belief and attitud', 'pandemic-specif factor']",Clinical and Health Records
36921979,"[""ST elevation myocardial infarction"", ""cancer""]","[""clinical data"", ""administrative data""]","['ST elevation myocardial infarction', 'cancer']",Cardiovascular and Vascular Diseases,"['clinic data', 'administr data']",Clinical and Health Records
30872323,"[""transplant glomerulopathy""]","[""clinical data"", ""functional data"", ""immunologic data"", ""histologic data""]",['transplant glomerulopathy'],Transplant and Surgery,"['clinic data', 'function data', 'immunolog data', 'histolog data']",Clinical and Health Records
36975097,"[""COVID-19""]","[""Blood samples"", ""Clinical data"",""Omicron BA.4/5 spike protein""]",['COVID-19'],Respiratory and Lung Conditions,"['blood sampl', 'clinic data', 'omicron ba.4/5 spike protein']",Laboratory Data
36995714,"[""mental health and cognitive development""]","[""Wearable device""]",['mental health and cognitive development'],Psychiatric and Mental Health Disorders,['wearabl devic'],Digital Health & Wearable Devices
37001040,"[""Breast Cancer""]","[""Structured clinical data"", ""Patient-reported outcomes"",""Genomic data""]",['Breast Cancer'],Cancer and Oncology,"['structur clinic data', 'patient-report outcom', 'genom data']",Self-reported & Survey Data
37002267,"[""stroke"", ""aphasia""]","[""neuroimaging"", ""clinical data"",""MRI"",""diffusion-weighted imaging (DWI)"",""fluid-attenuated inversion recovery (FLAIR)""]","['stroke', 'aphasia']",Cardiovascular and Vascular Diseases,"['neuroimag', 'clinic data', 'mri', 'diffusion-weight imag ( dwi )', 'fluid-attenu invers recoveri ( flair )']",Imaging Data
37012019,"[""Acute aortic dissection""]","[""Clinical data"", ""Laboratory data"", ""Imaging data""]",['Acute aortic dissection'],Cardiovascular and Vascular Diseases,"['clinic data', 'laboratori data', 'imag data']",Clinical and Health Records
37021933,"[""cancer""]","[""gene expression"", ""drug signatures""]",['cancer'],Cancer and Oncology,"['gene express', 'drug signatur']",Genomic and Molecular Data
37964440,"[""Obstructive Sleep Apnea""]","[""payer-sourced medical claims"", ""objective PAP usage data""]",['Obstructive Sleep Apnea'],Other,"['payer-sourc medic claim', 'object pap usag data']",Digital Health & Wearable Devices
37268414,"[""Pulmonary emphysema""]","[""CT scans"",""genomic data""]",['Pulmonary emphysema'],Respiratory and Lung Conditions,"['ct scan', 'genom data']",Imaging Data
37358938,"[""brain metastasis""]","[""magnetic resonance imaging"", ""T1w contrast-enhanced MRI"", ""MRI""]",['brain metastasis'],Cancer and Oncology,"['magnet reson imag', 't1w contrast-enhanc mri', 'mri']",Imaging Data
38133915,"[""End-stage Kidney Disease"", ""Kidney Transplantation""]","[""Transplant data"", ""Clinical data"", ""Molecular-genetic matching"", ""Human Leukocyte Antigen (HLA)"", ""Donor-specific antibodies (DSA)"", ""Creatinine"", ""Proteinuria""]","['End-stage Kidney Disease', 'Kidney Transplantation']",Transplant and Surgery,"['transplant data', 'clinic data', 'molecular-genet match', 'human leukocyt antigen ( hla )', 'donor-specif antibodi ( dsa )', 'creatinin', 'proteinuria']",Clinical and Health Records
37397861,"[""Head and Neck Cancer""]","[""Radiographic Images"",""CT"",""Electronic Medical Records (EMR)""]",['Head and Neck Cancer'],Cancer and Oncology,"['radiograph imag', 'ct', 'electron medic record ( emr )']",Imaging Data
37410009,"[""Coronary artery disease"", ""Atherosclerosis""]","[""Coronary computed tomography angiography (CTA)"",""CT scans""]","['Coronary artery disease', 'Atherosclerosis']",Cardiovascular and Vascular Diseases,"['coronari comput tomographi angiographi ( cta )', 'ct scan']",Imaging Data
37422576,"[""Non-small cell lung cancer""]","[""CT scans"", ""Clinical data""]",['Non-small cell lung cancer'],Respiratory and Lung Conditions,"['ct scan', 'clinic data']",Imaging Data
37428478,"[""critical illness""]","[""electronic health records"",""clinical data""]",['critical illness'],Other,"['electron health record', 'clinic data']",Clinical and Health Records
37516990,"[""amyotrophic lateral sclerosis"", ""frontotemporal dementia""]","[""speech""]","['amyotrophic lateral sclerosis', 'frontotemporal dementia']",Neurological Disorders,['speech'],Neurophysiological Data
37543994,"[""COVID-19""]","[""Electronic health records""]",['COVID-19'],Respiratory and Lung Conditions,['electron health record'],Clinical and Health Records
37546399,"[""non-small cell lung cancer""]","[""CT scan"", ""radiomics""]",['non-small cell lung cancer'],Respiratory and Lung Conditions,"['ct scan', 'radiom']",Imaging Data
37555143,"[""Alzheimer's disease""]","[""Diffusion MRI""]","[""Alzheimer's disease""]",Neurological Disorders,['diffus mri'],Imaging Data
37555513,"[""Chronic Obstructive Pulmonary Disease (COPD)""]","[""Electronic Medical Record Data"",""Electronic Medical Records (EMR)""]",['Chronic Obstructive Pulmonary Disease (COPD)'],Respiratory and Lung Conditions,"['electron medic record data', 'electron medic record ( emr )']",Clinical and Health Records
37564037,"[""leprosy""]","[""clinical data"", ""demographic data"", ""genetic data""]",['leprosy'],Infectious Diseases,"['clinic data', 'demograph data', 'genet data']",Clinical and Health Records
37568646,"[""Non-Small Cell Lung Cancer""]","[""CT"", ""Radiomics""]",['Non-Small Cell Lung Cancer'],Respiratory and Lung Conditions,"['ct', 'radiom']",Imaging Data
37573646,"[""Amyotrophic Lateral Sclerosis""]","[""MRI"",""T1-weighted"", ""R2*"", ""FLAIR""]",['Amyotrophic Lateral Sclerosis'],Neurological Disorders,"['mri', 't1-weight', 'r2 *', 'flair']",Imaging Data
37574164,"[""community-acquired pneumonia""]","[""antibiotic treatments""",['community-acquired pneumonia'],Respiratory and Lung Conditions,[],Other
38174138,"[""cardiometabolic disease"", ""spinal cord injury or disease""]","[""surveys""]","['cardiometabolic disease', 'spinal cord injury or disease']",Cardiovascular and Vascular Diseases,['survey'],Self-reported & Survey Data
37651262,"[""acute respiratory distress syndrome""]","[""clinical data"", ""ventilatory and oxygenation descriptors"", ""comorbidities"", ""demographics""]",['acute respiratory distress syndrome'],Respiratory and Lung Conditions,"['clinic data', 'ventilatori and oxygen descriptor', 'comorbid', 'demograph']",Clinical and Health Records
37829182,"[""COVID-19""]","[""Administrative data"", ""Electronic health records"",""chest X-rays"",""laboratory data""]",['COVID-19'],Respiratory and Lung Conditions,"['administr data', 'electron health record', 'chest x-ray', 'laboratori data']",Clinical and Health Records
38604736,"[""Pediatric Low-Grade Neuroepithelial Tumor""]","[""MR imaging"", ""ADC imaging"",""MRI""]",['Pediatric Low-Grade Neuroepithelial Tumor'],Rare Diseases,"['mr imag', 'adc imag', 'mri']",Imaging Data
38605172,"[""psychosis"", ""schizophrenia""]","[""neuroimaging"", ""episodic memory"", ""social cognition"",""MRI""]","['psychosis', 'schizophrenia']",Psychiatric and Mental Health Disorders,"['neuroimag', 'episod memori', 'social cognit', 'mri']",Imaging Data
37872467,"[""heart disease""]","[""echocardiographic images""]",['heart disease'],Cardiovascular and Vascular Diseases,['echocardiograph imag'],Imaging Data
38200511,"[""non-small cell lung cancer (NSCLC)""]","[""CT scans"",""Radiomics""]",['non-small cell lung cancer (NSCLC)'],Respiratory and Lung Conditions,"['ct scan', 'radiom']",Imaging Data
38893608,"[""lung sliding artifact""]","[""ultrasound""]",['lung sliding artifact'],Respiratory and Lung Conditions,['ultrasound'],Imaging Data
38016622,"[""aortic arch surgery""]","[""patient characteristics"", ""intraoperative decisions"", ""mortality and stroke risk factors""]",['aortic arch surgery'],Surgical and Trauma Conditions,"['patient characterist', 'intraop decis', 'mortal and stroke risk factor']",Clinical and Health Records
38021248,"[""Obsessive-Compulsive Disorder""]","[""video teletherapy"", ""digital messaging""]",['Obsessive-Compulsive Disorder'],Neurological Disorders,"['video teletherapi', 'digit messag']",Digital Health & Wearable Devices
38066031,"[""cervical cancer""]","[""digital images""]",['cervical cancer'],Cancer and Oncology,['digit imag'],Imaging Data
38082372,"[""Alzheimer's disease""]","[""frailty factors""]","[""Alzheimer's disease""]",Neurological Disorders,['frailti factor'],Clinical and Health Records
